Hostname,ManagementIp,HwSku,Type,Protocol

# M0
ixs-7215-pizza4,152.148.150.202/21,Nokia-7215,DevSonic,
columbia,152.148.150.204/21,Nokia-7215,DevSonic,
ixs-7215-pizza3,152.148.150.30/21,Nokia-7215,DevSonic,
challenger,152.148.151.157/21,Nokia-7215,DevSonic,
atlantis,152.148.151.164/21,Nokia-7215,DevSonic,
ixs-7215-discovery,152.148.150.69,Nokia-7215,FanoutLeaf,
ixs-7215-pizza5,152.148.150.105/21,Nokia-7215,DevSonic,
ixs-7215-pizza6,152.148.150.106/21,Nokia-7215,FanoutLeaf,
ixs-7215-pizza7,152.148.150.203/21,Nokia-7215,DevSonic,
endeavor,152.148.150.109,Nokia-7215,FanoutLeaf,

# SASX fanouts
sasx_7210_2,152.148.150.37/21,Nokia-7210-SASX,FanoutRoot,
sasx_7210_1,152.148.150.11/21,Nokia-7210-SASX,FanoutRoot,
sasx_7250_1,152.148.151.128/21,Nokia-7210-SASX,FanoutRoot,

# Testbed servers
sonic-tb1,152.148.150.64/21,TestServ,Server,
sonic-tb2,152.148.146.32/21,TestServ,Server,
sonic-tb3,152.148.150.66/21,TestServ,Server,
sonic-tb4,152.148.146.34/21,TestServ,Server,
sonic-tb5,152.148.146.36/21,TestServ,Server,
sonic-tb6,152.148.146.40/21,TestServ,Server,
sonic-tb7,152.148.146.42/21,TestServ,Server,
sonic-tb8,152.148.146.44/21,TestServ,Server,
sonic-tb9,152.148.150.56/21,TestServ,Server,
sonic-tb10,152.148.150.58/21,TestServ,Server,
sonic-tb11,152.148.150.60/21,TestServ,Server,
sonic-tb12,152.148.146.63/21,TestServ,Server,
sonic-tb13,152.148.150.104/21,TestServ,Server,
sonic-tb14,152.148.150.108/21,TestServ,Server,

# D3
ixr7220D3pizza2,152.148.150.22/21,Nokia-7220-D3,FanoutLeaf,
ixr7220D3pizza3,152.148.151.164/21,Nokia-7220-D3,FanoutLeaf,
ixr7220D3pizza4,152.148.146.149/21,Nokia-7220-D3,FanoutLeaf,
ixr7220D3pizza5,152.148.150.221/21,Nokia-7220-D3,FanoutLeaf,
ixr7220D3pizza6,152.148.150.222/21,Nokia-7220-D3,FanoutLeaf,
ixr7220D3pizza7,152.148.150.223/21,Nokia-7220-D3,FanoutLeaf,

# D1
ixr7220D1pizza3,152.148.151.159/21,Nokia-7220-D1,FanoutLeaf,

# H3
