StartDevice,StartPort,EndDevice,EndPort,BandWidth,VlanID,VlanMode
# M0 pizza4
ixs-7215-pizza4,Ethernet0,ixs-7215-discovery,Ethernet0,1000,100,Access
ixs-7215-pizza4,Ethernet1,ixs-7215-discovery,Ethernet1,1000,101,Access
ixs-7215-pizza4,Ethernet2,ixs-7215-discovery,Ethernet2,1000,102,Access
ixs-7215-pizza4,Ethernet3,ixs-7215-discovery,Ethernet3,1000,103,Access
ixs-7215-pizza4,Ethernet4,ixs-7215-discovery,Ethernet4,1000,104,Access
ixs-7215-pizza4,Ethernet5,ixs-7215-discovery,Ethernet5,1000,105,Access
ixs-7215-pizza4,Ethernet6,ixs-7215-discovery,Ethernet6,1000,106,Access
ixs-7215-pizza4,Ethernet7,ixs-7215-discovery,Ethernet7,1000,107,Access
ixs-7215-pizza4,Ethernet8,ixs-7215-discovery,Ethernet8,1000,108,Access
ixs-7215-pizza4,Ethernet9,ixs-7215-discovery,Ethernet9,1000,109,Access
ixs-7215-pizza4,Ethernet10,ixs-7215-discovery,Ethernet10,1000,110,Access
ixs-7215-pizza4,Ethernet11,ixs-7215-discovery,Ethernet11,1000,111,Access
ixs-7215-pizza4,Ethernet12,ixs-7215-discovery,Ethernet12,1000,112,Access
ixs-7215-pizza4,Ethernet13,ixs-7215-discovery,Ethernet13,1000,113,Access
ixs-7215-pizza4,Ethernet14,ixs-7215-discovery,Ethernet14,1000,114,Access
ixs-7215-pizza4,Ethernet15,ixs-7215-discovery,Ethernet15,1000,115,Access
ixs-7215-pizza4,Ethernet16,ixs-7215-discovery,Ethernet16,1000,116,Access
ixs-7215-pizza4,Ethernet17,ixs-7215-discovery,Ethernet17,1000,117,Access
ixs-7215-pizza4,Ethernet18,ixs-7215-discovery,Ethernet18,1000,118,Access
ixs-7215-pizza4,Ethernet19,ixs-7215-discovery,Ethernet19,1000,119,Access
ixs-7215-pizza4,Ethernet20,ixs-7215-discovery,Ethernet20,1000,120,Access
ixs-7215-pizza4,Ethernet21,ixs-7215-discovery,Ethernet21,1000,121,Access
ixs-7215-pizza4,Ethernet22,ixs-7215-discovery,Ethernet22,1000,122,Access
