StartDevice,StartPort,EndDevice,Console_type,Console_menu_type,Proxy,BaudRate
bjw2-can-720dt-mc0-1,1,bjw2-can-720dt-mc0-2,ssh,sonic_config,sonicadmin,9600
bjw2-can-720dt-mc0-1,2,bjw2-can-7260-root-1,ssh,sonic_config,sonicadmin,9600
bjw2-can-720dt-mc0-1,3,bjw2-can-7260-leaf-25,ssh,sonic_config,sonicadmin,9600
bjw2-can-720dt-mc0-1,4,bjw2-can-7215a1-1,ssh,sonic_config,sonicadmin,9600
bjw2-can-720dt-mc0-1,5,bjw2-can-7215a1-leaf-1,ssh,sonic_config,sonicadmin,9600
bjw2-can-720dt-mc0-1,6,bjw2-can-7215a1-2,ssh,sonic_config,sonicadmin,9600
bjw2-can-720dt-mc0-1,7,bjw2-can-7215a1-leaf-2,ssh,sonic_config,sonicadmin,9600
bjw2-can-720dt-mc0-1,49,bjw2-can-8101-1,ssh,sonic_config,sonicadmin,9600
bjw2-can-720dt-mc0-1,50,bjw2-can-8101-leaf-1,ssh,sonic_config,sonicadmin,9600
bjw2-can-720dt-mc0-1,51,bjw2-can-8101-2,ssh,sonic_config,sonicadmin,9600
bjw2-can-720dt-mc0-1,52,bjw2-can-8101-leaf-2,ssh,sonic_config,sonicadmin,9600
bjw2-can-720dt-mc0-1,53,bjw2-can-8101-3,ssh,sonic_config,sonicadmin,9600
bjw2-can-720dt-mc0-1,54,bjw2-can-8101-leaf-3,ssh,sonic_config,sonicadmin,9600
bjw2-can-720dt-mc0-1,55,bjw2-can-8101-leaf-4,ssh,sonic_config,sonicadmin,9600
bjw2-can-720dt-mc0-1,56,bjw2-can-8101-4,ssh,sonic_config,sonicadmin,9600
bjw2-can-720dt-mc0-1,57,bjw2-can-8101-leaf-5,ssh,sonic_config,sonicadmin,9600
bjw2-can-720dt-mc0-2,1,bjw2-can-8102-1,ssh,sonic_config,sonicadmin,9600
bjw2-can-720dt-mc0-2,2,bjw2-can-7260-leaf-1,ssh,sonic_config,sonicadmin,9600
bjw2-can-720dt-mc0-2,3,bjw2-can-8102-2,ssh,sonic_config,sonicadmin,9600
bjw2-can-720dt-mc0-2,4,bjw2-can-7260-leaf-2,ssh,sonic_config,sonicadmin,9600
bjw2-can-720dt-mc0-2,5,bjw2-can-8102-3,ssh,sonic_config,sonicadmin,9600
bjw2-can-720dt-mc0-2,6,bjw2-can-7260-leaf-3,ssh,sonic_config,sonicadmin,9600
bjw2-can-720dt-mc0-2,7,bjw2-can-8102-4,ssh,sonic_config,sonicadmin,9600
bjw2-can-720dt-mc0-2,8,bjw2-can-7260-leaf-4,ssh,sonic_config,sonicadmin,9600
bjw2-can-720dt-mc0-2,9,bjw2-can-8102-5,ssh,sonic_config,sonicadmin,9600
bjw2-can-720dt-mc0-2,10,bjw2-can-7260-leaf-5,ssh,sonic_config,sonicadmin,9600
bjw2-can-720dt-mc0-2,11,bjw2-can-8102-6,ssh,sonic_config,sonicadmin,9600
bjw2-can-720dt-mc0-2,12,bjw2-can-7260-leaf-6,ssh,sonic_config,sonicadmin,9600
bjw2-can-720dt-mc0-2,13,bjw2-can-4600c-1,ssh,sonic_config,sonicadmin,9600
bjw2-can-720dt-mc0-2,14,bjw2-can-7260-leaf-7,ssh,sonic_config,sonicadmin,9600
bjw2-can-720dt-mc0-2,15,bjw2-can-4600c-2,ssh,sonic_config,sonicadmin,9600
bjw2-can-720dt-mc0-2,16,bjw2-can-7260-leaf-8,ssh,sonic_config,sonicadmin,9600
bjw2-can-720dt-mc0-2,17,bjw2-can-4600c-3,ssh,sonic_config,sonicadmin,9600
bjw2-can-720dt-mc0-2,18,bjw2-can-7260-leaf-9,ssh,sonic_config,sonicadmin,9600
