Hostname,ManagementIp,HwSku,Type,Protocol,Os
bjw2-can-7260-root-1,10.150.22.21/23,Arista-7260CX3-64,FanoutRoot,,
bjw2-can-7260-leaf-25,10.150.22.22/23,Arista-7260CX3,FanoutLeaf,,
bjw2-can-720dt-leaf-1,10.150.22.168/23,Arista-720DT-G48S4,FanoutLeafSonic,,sonic
bjw2-can-720dt-leaf-2,10.150.22.170/23,Arista-720DT-G48S4,FanoutLeafSonic,,sonic
bjw2-can-720dt-leaf-3,10.150.22.172/23,Arista-720DT-G48S4,FanoutLeafSonic,,sonic
bjw2-can-720dt-leaf-4,10.150.22.174/23,Arista-720DT-G48S4,FanoutLeafSonic,,sonic
bjw2-can-720dt-leaf-5,10.150.22.176/23,Arista-720DT-G48S4,FanoutLeafSonic,,sonic
bjw2-can-720dt-leaf-6,10.150.22.178/23,Arista-720DT-G48S4,FanoutLeafSonic,,sonic
bjw2-can-720dt-leaf-7,10.150.22.180/23,Arista-720DT-G48S4,FanoutLeafSonic,,sonic
bjw2-can-720dt-leaf-8,10.150.22.182/23,Arista-720DT-G48S4,FanoutLeafSonic,,sonic
bjw2-can-720dt-leaf-9,10.150.22.184/23,Arista-720DT-G48S4,FanoutLeafSonic,,sonic
bjw2-can-720dt-leaf-10,10.150.22.186/23,Arista-720DT-G48S4,FanoutLeafSonic,,sonic
bjw2-can-720dt-leaf-11,10.150.22.188/23,Arista-720DT-G48S4,FanoutLeafSonic,,sonic
bjw2-can-720dt-leaf-12,10.150.22.190/23,Arista-720DT-G48S4,FanoutLeafSonic,,sonic
bjw2-can-720dt-leaf-13,10.150.22.192/23,Arista-720DT-G48S4,FanoutLeafSonic,,sonic
bjw2-can-720dt-leaf-14,10.150.22.194/23,Arista-720DT-G48S4,FanoutLeafSonic,,sonic
bjw2-can-720dt-leaf-15,10.150.22.196/23,Arista-720DT-G48S4,FanoutLeafSonic,,sonic
bjw2-can-720dt-leaf-16,10.150.22.198/23,Arista-720DT-G48S4,FanoutLeafSonic,,sonic
bjw2-can-7215a1-leaf-1,10.150.22.212/23,Nokia-7215-A1,FanoutLeafSonic,,sonic
bjw2-can-7215a1-leaf-2,10.150.22.214/23,Nokia-7215-A1,FanoutLeafSonic,,sonic
bjw2-can-7260-leaf-1,10.150.22.44/23,Arista-7260CX3,FanoutLeaf,,
bjw2-can-7260-leaf-2,10.150.22.46/23,Arista-7260CX3,FanoutLeaf,,
bjw2-can-7260-leaf-3,10.150.22.48/23,Arista-7260CX3,FanoutLeaf,,
bjw2-can-7260-leaf-4,10.150.22.50/23,Arista-7260CX3,FanoutLeaf,,
bjw2-can-7260-leaf-5,10.150.22.52/23,Arista-7260CX3,FanoutLeaf,,
bjw2-can-7260-leaf-6,10.150.22.54/23,Arista-7260CX3,FanoutLeaf,,
bjw2-can-7260-leaf-7,10.150.22.200/23,Arista-7260CX3,FanoutLeaf,,
bjw2-can-7260-leaf-8,10.150.22.202/23,Arista-7260CX3,FanoutLeaf,,
bjw2-can-7260-leaf-9,10.150.22.204/23,Arista-7260CX3,FanoutLeaf,,
bjw2-can-7260-leaf-10,10.150.22.206/23,Arista-7260CX3,FanoutLeaf,,
bjw2-can-7260-leaf-11,10.150.22.208/23,Arista-7260CX3,FanoutLeaf,,
bjw2-can-7260-leaf-12,10.150.22.210/23,Arista-7260CX3,FanoutLeaf,,
bjw2-can-7260-leaf-13,10.150.22.32/23,Arista-7260CX3,FanoutLeaf,,
bjw2-can-7260-leaf-14,10.150.22.34/23,Arista-7260CX3,FanoutLeaf,,
bjw2-can-7260-leaf-15,10.150.22.36/23,Arista-7260CX3,FanoutLeaf,,
bjw2-can-7260-leaf-16,10.150.22.38/23,Arista-7260CX3,FanoutLeaf,,
bjw2-can-7260-leaf-17,10.150.22.40/23,Arista-7260CX3,FanoutLeaf,,
bjw2-can-7260-leaf-18,10.150.22.42/23,Arista-7260CX3,FanoutLeaf,,
bjw2-can-8101-leaf-1,10.150.22.56/23,Cisco-8101-O32,FanoutLeafSonic,,sonic
bjw2-can-8101-leaf-2,10.150.22.58/23,Cisco-8101-O32,FanoutLeafSonic,,sonic
bjw2-can-8101-leaf-3,10.150.22.60/23,Cisco-8101-O8C48,FanoutLeafSonic,,sonic
bjw2-can-8101-leaf-4,10.150.22.61/23,Cisco-8101-O32,FanoutLeafSonic,,sonic
bjw2-can-8101-leaf-5,10.150.22.63/23,Cisco-8101-O8C48,FanoutLeafSonic,,sonic
bjw2-can-7215-1,10.150.22.167/23,Nokia-7215,DevSonic,,sonic
bjw2-can-7215-2,10.150.22.169/23,Nokia-7215,DevSonic,,sonic
bjw2-can-7215-3,10.150.22.171/23,Nokia-7215,DevSonic,,sonic
bjw2-can-7215-4,10.150.22.173/23,Nokia-7215,DevSonic,,sonic
bjw2-can-7215-5,10.150.22.175/23,Nokia-M0-7215,DevSonic,,sonic
bjw2-can-7215-6,10.150.22.177/23,Nokia-M0-7215,DevSonic,,sonic
bjw2-can-7215-7,10.150.22.179/23,Nokia-M0-7215,DevSonic,,sonic
bjw2-can-7215-8,10.150.22.181/23,Nokia-M0-7215,DevSonic,,sonic
bjw2-can-7215a1-1,10.150.22.211/23,Nokia-7215-A1,DevSonic,,sonic
bjw2-can-7215a1-2,10.150.22.213/23,Nokia-7215-A1,DevSonic,,sonic
bjw2-can-720dt-1,10.150.22.183/23,Arista-720DT-G48S4,DevSonic,,sonic
bjw2-can-720dt-2,10.150.22.185/23,Arista-720DT-G48S4,DevSonic,,sonic
bjw2-can-720dt-3,10.150.22.187/23,Arista-720DT-G48S4,DevSonic,,sonic
bjw2-can-720dt-4,10.150.22.189/23,Arista-720DT-G48S4,DevSonic,,sonic
bjw2-can-720dt-5,10.150.22.191/23,Arista-720DT-G48S4,DevSonic,,sonic
bjw2-can-720dt-6,10.150.22.193/23,Arista-720DT-G48S4,DevSonic,,sonic
bjw2-can-720dt-7,10.150.22.195/23,Arista-720DT-G48S4,DevSonic,,sonic
bjw2-can-720dt-8,10.150.22.197/23,Arista-720DT-G48S4,DevSonic,,sonic
bjw2-can-4600c-1,10.150.22.199/23,Mellanox-SN4600C-C64,DevSonic,,sonic
bjw2-can-4600c-2,10.150.22.201/23,Mellanox-SN4600C-C64,DevSonic,,sonic
bjw2-can-4600c-3,10.150.22.203/23,Mellanox-SN4600C-C64,DevSonic,,sonic
bjw2-can-4600c-4,10.150.22.205/23,Mellanox-SN4600C-C64,DevSonic,,sonic
bjw2-can-4600c-5,10.150.22.207/23,Mellanox-SN4600C-C64,DevSonic,,sonic
bjw2-can-4600c-6,10.150.22.209/23,Mellanox-SN4600C-C64,DevSonic,,sonic
bjw2-can-8102-1,10.150.22.43/23,Cisco-8102-C64,DevSonic,,sonic
bjw2-can-8102-2,10.150.22.45/23,Cisco-8102-C64,DevSonic,,sonic
bjw2-can-8102-3,10.150.22.47/23,Cisco-8102-C64,DevSonic,,sonic
bjw2-can-8102-4,10.150.22.49/23,Cisco-8102-C64,DevSonic,,sonic
bjw2-can-8102-5,10.150.22.51/23,Cisco-8102-C64,DevSonic,,sonic
bjw2-can-8102-6,10.150.22.53/23,Cisco-8102-C64,DevSonic,,sonic
bjw2-can-7260-1,10.150.22.31/23,Arista-7260CX3-D108C8,DevSonic,,sonic
bjw2-can-7260-2,10.150.22.33/23,Arista-7260CX3-D108C8,DevSonic,,sonic
bjw2-can-7260-3,10.150.22.35/23,Arista-7260CX3-D108C8,DevSonic,,sonic
bjw2-can-7260-4,10.150.22.37/23,Arista-7260CX3-D108C8,DevSonic,,sonic
bjw2-can-7260-5,10.150.22.39/23,Arista-7260CX3-C64,DevSonic,,sonic
bjw2-can-7260-6,10.150.22.41/23,Arista-7260CX3-C64,DevSonic,,sonic
bjw2-can-8101-1,10.150.22.55/23,Cisco-8101-O32,DevSonic,,sonic
bjw2-can-8101-2,10.150.22.57/23,Cisco-8101-O32,DevSonic,,sonic
bjw2-can-8101-3,10.150.22.59/23,Cisco-8101-O8C48,DevSonic,,sonic
bjw2-can-8101-4,10.150.22.62/23,Cisco-8101-O8C48,DevSonic,,sonic
bjw2-pdu-127-166,10.150.127.166,Vertiv,Pdu,snmp,
bjw2-pdu-126-81,10.150.126.81,Vertiv,Pdu,snmp,
bjw2-pdu-126-82,10.150.126.82,Vertiv,Pdu,snmp,
bjw2-pdu-126-83,10.150.126.83,Vertiv,Pdu,snmp,
bjw2-pdu-126-84,10.150.126.84,Vertiv,Pdu,snmp,
bjw2-pdu-126-85,10.150.126.85,Vertiv,Pdu,snmp,
bjw2-pdu-126-86,10.150.126.86,Vertiv,Pdu,snmp,
bjw2-pdu-126-87,10.150.126.87,Vertiv,Pdu,snmp,
bjw2-pdu-126-88,10.150.126.88,Vertiv,Pdu,snmp,
bjw2-pdu-126-89,10.150.126.89,Vertiv,Pdu,snmp,
bjw2-pdu-126-90,10.150.126.90,Vertiv,Pdu,snmp,
bjw2-pdu-126-91,10.150.126.91,Vertiv,Pdu,snmp,
bjw2-pdu-126-92,10.150.126.92,Vertiv,Pdu,snmp,
bjw2-pdu-126-93,10.150.126.93,Vertiv,Pdu,snmp,
bjw2-pdu-126-94,10.150.126.94,Vertiv,Pdu,snmp,
bjw2-pdu-126-95,10.150.126.95,Vertiv,Pdu,snmp,
bjw2-can-serv-1,10.150.22.238/23,TestServ,Server,,
bjw2-can-serv-2,10.150.22.239/23,TestServ,Server,,
bjw2-can-serv-3,10.150.22.240/23,TestServ,Server,,
bjw2-can-serv-4,10.150.22.241/23,TestServ,Server,,
bjw2-can-serv-5,10.150.22.242/23,TestServ,Server,,
bjw2-can-serv-6,10.150.22.243/23,TestServ,Server,,
bjw2-can-720dt-mc0-1,10.150.22.14/23,Arista-720DT-G48S4,MgmtTsToRRouter,ssh,sonic
bjw2-can-720dt-mc0-2,10.150.22.15/23,Arista-720DT-G48S4,ConsoleServer,ssh,sonic
