StartDevice,StartPort,EndDevice,EndPort,BandWidth,VlanID,VlanMode
bjw2-can-7215-1,etp1,bjw2-can-720dt-leaf-1,etp1,1000,201,Access
bjw2-can-7215-1,etp2,bjw2-can-720dt-leaf-1,etp2,1000,202,Access
bjw2-can-7215-1,etp3,bjw2-can-720dt-leaf-1,etp3,1000,203,Access
bjw2-can-7215-1,etp4,bjw2-can-720dt-leaf-1,etp4,1000,204,Access
bjw2-can-7215-1,etp5,bjw2-can-720dt-leaf-1,etp5,1000,205,Access
bjw2-can-7215-1,etp6,bjw2-can-720dt-leaf-1,etp6,1000,206,Access
bjw2-can-7215-1,etp7,bjw2-can-720dt-leaf-1,etp7,1000,207,Access
bjw2-can-7215-1,etp8,bjw2-can-720dt-leaf-1,etp8,1000,208,Access
bjw2-can-7215-1,etp9,bjw2-can-720dt-leaf-1,etp9,1000,209,Access
bjw2-can-7215-1,etp10,bjw2-can-720dt-leaf-1,etp10,1000,210,Access
bjw2-can-7215-1,etp11,bjw2-can-720dt-leaf-1,etp11,1000,211,Access
bjw2-can-7215-1,etp12,bjw2-can-720dt-leaf-1,etp12,1000,212,Access
bjw2-can-7215-1,etp13,bjw2-can-720dt-leaf-1,etp13,1000,213,Access
bjw2-can-7215-1,etp14,bjw2-can-720dt-leaf-1,etp14,1000,214,Access
bjw2-can-7215-1,etp15,bjw2-can-720dt-leaf-1,etp15,1000,215,Access
bjw2-can-7215-1,etp16,bjw2-can-720dt-leaf-1,etp16,1000,216,Access
bjw2-can-7215-1,etp17,bjw2-can-720dt-leaf-1,etp17,1000,217,Access
bjw2-can-7215-1,etp18,bjw2-can-720dt-leaf-1,etp18,1000,218,Access
bjw2-can-7215-1,etp19,bjw2-can-720dt-leaf-1,etp19,1000,219,Access
bjw2-can-7215-1,etp20,bjw2-can-720dt-leaf-1,etp20,1000,220,Access
bjw2-can-7215-1,etp21,bjw2-can-720dt-leaf-1,etp21,1000,221,Access
bjw2-can-7215-1,etp22,bjw2-can-720dt-leaf-1,etp22,1000,222,Access
bjw2-can-7215-1,etp23,bjw2-can-720dt-leaf-1,etp23,1000,223,Access
bjw2-can-7215-1,etp24,bjw2-can-720dt-leaf-1,etp24,1000,224,Access
bjw2-can-7215-1,etp25,bjw2-can-720dt-leaf-1,etp25,1000,225,Access
bjw2-can-7215-1,etp26,bjw2-can-720dt-leaf-1,etp26,1000,226,Access
bjw2-can-7215-1,etp27,bjw2-can-720dt-leaf-1,etp27,1000,227,Access
bjw2-can-7215-1,etp28,bjw2-can-720dt-leaf-1,etp28,1000,228,Access
bjw2-can-7215-1,etp29,bjw2-can-720dt-leaf-1,etp29,1000,229,Access
bjw2-can-7215-1,etp30,bjw2-can-720dt-leaf-1,etp30,1000,230,Access
bjw2-can-7215-1,etp31,bjw2-can-720dt-leaf-1,etp31,1000,231,Access
