StartDevice,StartPort,EndDevice,EndPort,BandWidth,VlanID,VlanMode,AutoNeg
bjw3-can-7260-root-1,Ethernet1/1,bjw3-can-7050-leaf-1,Ethernet33,10000,2-129,Trunk,off
bjw3-can-7260-root-1,Ethernet1/2,bjw3-can-7050-leaf-2,Ethernet33,10000,130-257,Trunk,off
bjw3-can-7260-root-1,Ethernet1/3,bjw3-can-7050-leaf-3,Ethernet33,10000,258-385,Trunk,off
bjw3-can-7260-root-1,Ethernet17/1,bjw3-can-serv-1,ens4f1,100000,,Trunk,off
bjw3-can-7260-root-1,Ethernet18/1,bjw3-can-serv-2,ens4f1,100000,,Trunk,off
bjw3-can-7260-root-1,Ethernet19/1,bjw3-can-serv-3,ens4f1,100000,,Trunk,off
bjw3-can-7260-root-1,Ethernet20/1,bjw3-can-serv-4,ens4f1,100000,,Trunk,off
bjw3-can-7260-root-1,Ethernet21/1,bjw3-can-serv-5,ens4f1,100000,,Trunk,off
bjw3-can-7260-root-1,Ethernet45/1,bjw3-can-7260-leaf-25,Ethernet45/1,100000,,Trunk,off
bjw3-can-7050-9,Ethernet1/1,bjw3-can-7050-leaf-1,Ethernet1/1,10000,2,Access,off
bjw3-can-7050-9,Ethernet1/2,bjw3-can-7050-leaf-1,Ethernet1/2,10000,3,Access,off
bjw3-can-7050-9,Ethernet1/3,bjw3-can-7050-leaf-1,Ethernet1/3,10000,4,Access,off
bjw3-can-7050-9,Ethernet1/4,bjw3-can-7050-leaf-1,Ethernet1/4,10000,5,Access,off
bjw3-can-7050-9,Ethernet2/1,bjw3-can-7050-leaf-1,Ethernet2/1,10000,6,Access,off
bjw3-can-7050-9,Ethernet2/2,bjw3-can-7050-leaf-1,Ethernet2/2,10000,7,Access,off
bjw3-can-7050-9,Ethernet2/3,bjw3-can-7050-leaf-1,Ethernet2/3,10000,8,Access,off
bjw3-can-7050-9,Ethernet2/4,bjw3-can-7050-leaf-1,Ethernet2/4,10000,9,Access,off
bjw3-can-7050-9,Ethernet3/1,bjw3-can-7050-leaf-1,Ethernet3/1,10000,10,Access,off
bjw3-can-7050-9,Ethernet3/2,bjw3-can-7050-leaf-1,Ethernet3/2,10000,11,Access,off
bjw3-can-7050-9,Ethernet3/3,bjw3-can-7050-leaf-1,Ethernet3/3,10000,12,Access,off
bjw3-can-7050-9,Ethernet3/4,bjw3-can-7050-leaf-1,Ethernet3/4,10000,13,Access,off
bjw3-can-7050-9,Ethernet4/1,bjw3-can-7050-leaf-1,Ethernet4/1,10000,14,Access,off
bjw3-can-7050-9,Ethernet4/2,bjw3-can-7050-leaf-1,Ethernet4/2,10000,15,Access,off
bjw3-can-7050-9,Ethernet4/3,bjw3-can-7050-leaf-1,Ethernet4/3,10000,16,Access,off
bjw3-can-7050-9,Ethernet4/4,bjw3-can-7050-leaf-1,Ethernet4/4,10000,17,Access,off
bjw3-can-7050-9,Ethernet5/1,bjw3-can-7050-leaf-1,Ethernet5/1,10000,18,Access,off
bjw3-can-7050-9,Ethernet5/2,bjw3-can-7050-leaf-1,Ethernet5/2,10000,19,Access,off
bjw3-can-7050-9,Ethernet5/3,bjw3-can-7050-leaf-1,Ethernet5/3,10000,20,Access,off
bjw3-can-7050-9,Ethernet5/4,bjw3-can-7050-leaf-1,Ethernet5/4,10000,21,Access,off
bjw3-can-7050-9,Ethernet6/1,bjw3-can-7050-leaf-1,Ethernet6/1,10000,22,Access,off
bjw3-can-7050-9,Ethernet6/2,bjw3-can-7050-leaf-1,Ethernet6/2,10000,23,Access,off
bjw3-can-7050-9,Ethernet6/3,bjw3-can-7050-leaf-1,Ethernet6/3,10000,24,Access,off
bjw3-can-7050-9,Ethernet6/4,bjw3-can-7050-leaf-1,Ethernet6/4,10000,25,Access,off
bjw3-can-7050-9,Ethernet7/1,bjw3-can-7050-leaf-1,Ethernet7/1,10000,26,Access,off
bjw3-can-7050-9,Ethernet7/2,bjw3-can-7050-leaf-1,Ethernet7/2,10000,27,Access,off
bjw3-can-7050-9,Ethernet7/3,bjw3-can-7050-leaf-1,Ethernet7/3,10000,28,Access,off
bjw3-can-7050-9,Ethernet7/4,bjw3-can-7050-leaf-1,Ethernet7/4,10000,29,Access,off
bjw3-can-7050-9,Ethernet8/1,bjw3-can-7050-leaf-1,Ethernet8/1,10000,30,Access,off
bjw3-can-7050-9,Ethernet8/2,bjw3-can-7050-leaf-1,Ethernet8/2,10000,31,Access,off
bjw3-can-7050-9,Ethernet8/3,bjw3-can-7050-leaf-1,Ethernet8/3,10000,32,Access,off
bjw3-can-7050-9,Ethernet8/4,bjw3-can-7050-leaf-1,Ethernet8/4,10000,33,Access,off
bjw3-can-7050-9,Ethernet9/1,bjw3-can-7050-leaf-1,Ethernet9/1,10000,34,Access,off
bjw3-can-7050-9,Ethernet9/2,bjw3-can-7050-leaf-1,Ethernet9/2,10000,35,Access,off
bjw3-can-7050-9,Ethernet9/3,bjw3-can-7050-leaf-1,Ethernet9/3,10000,36,Access,off
bjw3-can-7050-9,Ethernet9/4,bjw3-can-7050-leaf-1,Ethernet9/4,10000,37,Access,off
bjw3-can-7050-9,Ethernet10/1,bjw3-can-7050-leaf-1,Ethernet10/1,10000,38,Access,off
bjw3-can-7050-9,Ethernet10/2,bjw3-can-7050-leaf-1,Ethernet10/2,10000,39,Access,off
bjw3-can-7050-9,Ethernet10/3,bjw3-can-7050-leaf-1,Ethernet10/3,10000,40,Access,off
bjw3-can-7050-9,Ethernet10/4,bjw3-can-7050-leaf-1,Ethernet10/4,10000,41,Access,off
bjw3-can-7050-9,Ethernet11/1,bjw3-can-7050-leaf-1,Ethernet11/1,10000,42,Access,off
bjw3-can-7050-9,Ethernet11/2,bjw3-can-7050-leaf-1,Ethernet11/2,10000,43,Access,off
bjw3-can-7050-9,Ethernet11/3,bjw3-can-7050-leaf-1,Ethernet11/3,10000,44,Access,off
bjw3-can-7050-9,Ethernet11/4,bjw3-can-7050-leaf-1,Ethernet11/4,10000,45,Access,off
bjw3-can-7050-9,Ethernet12/1,bjw3-can-7050-leaf-1,Ethernet12/1,10000,46,Access,off
bjw3-can-7050-9,Ethernet12/2,bjw3-can-7050-leaf-1,Ethernet12/2,10000,47,Access,off
bjw3-can-7050-9,Ethernet12/3,bjw3-can-7050-leaf-1,Ethernet12/3,10000,48,Access,off
bjw3-can-7050-9,Ethernet12/4,bjw3-can-7050-leaf-1,Ethernet12/4,10000,49,Access,off
bjw3-can-7050-9,Ethernet13/1,bjw3-can-7050-leaf-1,Ethernet13/1,10000,50,Access,off
