StartDevice,StartPort,EndDevice,EndPort,EndFeed
bjw3-pdu-126-62,5,bjw3-can-720dt-mc0-1,PSU1,
bjw3-pdu-126-63,5,bjw3-can-720dt-mc0-1,PSU2,
bjw3-pdu-126-64,3,bjw3-can-7050-9,PSU1,
bjw3-pdu-126-65,3,bjw3-can-7050-9,PSU2,
bjw3-pdu-126-64,7,bjw3-can-7050-leaf-1,PSU1,
bjw3-pdu-126-65,7,bjw3-can-7050-leaf-1,PSU2,
bjw3-pdu-126-64,9,bjw3-can-7050-10,PSU1,
bjw3-pdu-126-65,9,bjw3-can-7050-10,PSU2,
bjw3-pdu-126-64,11,bjw3-can-7050-leaf-2,PSU1,
bjw3-pdu-126-65,11,bjw3-can-7050-leaf-2,PSU2,
bjw3-pdu-126-64,13,bjw3-can-7050-11,PSU1,
bjw3-pdu-126-65,13,bjw3-can-7050-11,PSU2,
bjw3-pdu-126-64,15,bjw3-can-7050-leaf-3,PSU1,
bjw3-pdu-126-65,15,bjw3-can-7050-leaf-3,PSU2,
bjw3-pdu-126-68,5,bjw3-can-720dt-mc0-2,PSU1,
bjw3-pdu-126-69,5,bjw3-can-720dt-mc0-2,PSU2,
bjw3-pdu-126-68,7,bjw3-can-7260-root-1,PSU1,
bjw3-pdu-126-69,7,bjw3-can-7260-root-1,PSU2,
bjw3-pdu-126-68,9,bjw3-can-7260-leaf-25,PSU1,
bjw3-pdu-126-69,9,bjw3-can-7260-leaf-25,PSU2,
bjw3-pdu-126-68,15,bjw3-can-serv-1,PSU1,
bjw3-pdu-126-69,15,bjw3-can-serv-1,PSU2,
bjw3-pdu-126-68,18,bjw3-can-serv-2,PSU1,
bjw3-pdu-126-69,18,bjw3-can-serv-2,PSU2,
bjw3-pdu-126-68,19,bjw3-can-serv-3,PSU1,
bjw3-pdu-126-69,19,bjw3-can-serv-3,PSU2,
bjw3-pdu-126-68,21,bjw3-can-serv-4,PSU1,
bjw3-pdu-126-69,21,bjw3-can-serv-4,PSU2,
bjw3-pdu-126-68,23,bjw3-can-serv-5,PSU1,
bjw3-pdu-126-69,23,bjw3-can-serv-5,PSU2,
bjw3-pdu-126-74,5,bjw3-can-720dt-mc0-3,PSU1,
bjw3-pdu-126-75,5,bjw3-can-720dt-mc0-3,PSU2,
