Hostname,ManagementIp,HwSku,Type,Protocol,Os
bjw-can-7260-root-1,10.150.22.20/23,Arista-7260CX3-64,FanoutRoot,,
bjw-can-7060-fanout-1,10.150.22.30/23,Arista-7060CX-32S,FanoutLeaf,,
bjw-can-z9332f-2,10.150.22.120/23,DellEMC-Z9332f-C32,FanoutLeafSonic,,sonic
bjw-can-z9332f-3,10.150.22.126/23,DellEMC-Z9332f-C32,FanoutLeafSonic,,sonic
bjw-can-z9332f-5,10.150.22.141/23,DellEMC-Z9332f-O32,FanoutLeafSonic,,sonic
bjw-can-z9332f-6,10.150.22.142/23,DellEMC-Z9332f-O32,FanoutLeafSonic,,sonic
bjw-can-z9332f-7,10.150.22.143/23,DellEMC-Z9332f-O32,FanoutLeafSonic,,sonic
bjw-slx-can-1,10.150.22.104/23,Celestica-DX010-C32,FanoutLeafSonic,,sonic
bjw-slx-can-4,10.150.22.107/23,Celestica-DX010-C32,FanoutLeafSonic,,sonic
bjw-can-slx-5,10.150.22.100/23,Celestica-DX010-C32,FanoutLeafSonic,,sonic
bjw-can-slx-6,10.150.22.114/23,Celestica-DX010-C32,FanoutLeafSonic,,sonic
bjw-can-slx-7,10.150.22.116/23,Celestica-DX010-C32,FanoutLeafSonic,,sonic
bjw-can-slx-8,10.150.22.118/23,Celestica-DX010-C32,FanoutLeafSonic,,sonic
bjw-can-7215-2,10.150.22.111/23,Nokia-7215,FanoutLeafSonic,,sonic
bjw-can-7215-3,10.150.22.103/23,Nokia-7215,FanoutLeafSonic,,sonic
bjw-can-7215-4,10.150.22.102/23,Nokia-7215,FanoutLeafSonic,,sonic
bjw-can-7215-5,10.150.22.122/23,Nokia-7215,FanoutLeafSonic,,sonic
bjw-can-7215-7,10.150.22.123/23,Nokia-7215,FanoutLeafSonic,,sonic
bjw-can-7215-8,10.150.22.130/23,Nokia-7215,FanoutLeafSonic,,sonic
bjw-can-7215-12,10.150.22.133/23,Nokia-7215,FanoutLeafSonic,,sonic
bjw-can-7215-13,10.150.22.132/23,Nokia-7215,FanoutLeafSonic,,sonic
bjw-can-7260-1,10.150.22.147/23,Arista-7260CX3,FanoutLeaf,,
bjw-can-7260-2,10.150.22.148/23,Arista-7260CX3,FanoutLeaf,,
bjw-can-7260-3,10.150.22.149/23,Arista-7260CX3,FanoutLeaf,,
bjw-can-7260-4,10.150.22.150/23,Arista-7260CX3,FanoutLeaf,,
bjw-can-7260-5,10.150.22.151/23,Arista-7260CX3,FanoutLeaf,,
bjw-can-7260-6,10.150.22.152/23,Arista-7260CX3,FanoutLeaf,,
bjw-can-7260-7,10.150.22.127/23,Arista-7260CX3,FanoutLeaf,,
bjw-can-7260-9,10.150.22.155/23,Arista-7260CX3,FanoutLeaf,,
bjw-can-7260-10,10.150.22.156/23,Arista-7260CX3,FanoutLeaf,,
bjw-can-7260-13,10.150.22.159/23,Arista-7260CX3,FanoutLeaf,,
bjw-can-7260-15,10.150.22.161/23,Arista-7260CX3,FanoutLeaf,,
bjw-can-7260-17,10.150.22.163/23,Arista-7260CX3,FanoutLeaf,,
bjw-can-7260-18,10.150.22.165/23,Arista-7260CX3,FanoutLeaf,,
bjw-can-serv-1,10.150.22.222/23,TestServ,Server,,
bjw-can-serv-2,10.150.22.223/23,TestServ,Server,,
bjw-can-serv-3,10.150.22.224/23,TestServ,Server,,
bjw-can-serv-4,10.150.22.225/23,TestServ,Server,,
bjw-can-serv-5,10.150.22.226/23,TestServ,Server,,
bjw-can-serv-6,10.150.22.227/23,TestServ,Server,,
bjw-can-serv-7,10.150.22.228/23,TestServ,Server,,
bjw-can-serv-8,10.150.22.229/23,TestServ,Server,,
bjw-can-serv-9,10.150.22.230/23,TestServ,Server,,
bjw-can-serv-10,10.150.22.231/23,TestServ,Server,,
bjw-can-serv-11,10.150.22.232/23,TestServ,Server,,
bjw-can-serv-12,10.150.22.233/23,TestServ,Server,,
bjw-can-serv-13,10.150.22.234/23,TestServ,Server,,
bjw-can-serv-14,10.150.22.235/23,TestServ,Server,,
bjw-can-serv-15,10.150.22.236/23,TestServ,Server,,
bjw-can-serv-16,10.150.22.237/23,TestServ,Server,,
bjw-can-720dt-1,10.150.22.112/23,Arista-720DT-G48S4,DevSonic,,sonic
bjw-can-720dt-2,10.150.22.113/23,Arista-720DT-G48S4,DevSonic,,sonic
bjw-can-720dt-3,10.150.22.129/23,Arista-720DT-G48S4,DevSonic,,sonic
bjw-can-720dt-4,10.150.22.131/23,Arista-720DT-G48S4,DevSonic,,sonic
bjw-can-2700-1,10.150.22.101/23,Mellanox-SN2700,DevSonic,,sonic
bjw-can-2700-2,10.150.22.115/23,Mellanox-SN2700,DevSonic,,sonic
bjw-slx-can-3,10.150.22.106/23,Celestica-DX010-C32,DevSonic,,sonic
bjw-can-7215-1,10.150.22.110/23,Nokia-M0-7215,DevSonic,,sonic
bjw-can-7215-6,10.150.22.124/23,Nokia-M0-7215,DevSonic,,sonic
bjw-can-7215-11,10.150.22.134/23,Nokia-7215,DevSonic,,sonic
bjw-can-7050qx-1,10.150.22.117/23,Arista-7050QX32S-Q32,DevSonic,,sonic
bjw-can-7050qx-2,10.150.22.119/23,Arista-7050-QX-32S,DevSonic,,sonic
bjw-can-7050qx-3,10.150.22.121/23,Arista-7050-QX-32S,DevSonic,,sonic
bjw-can-e1031-1,10.150.22.125/23,Celestica-E1031-T48S4,DevSonic,,sonic
bjw-can-8102-1,10.150.22.128/23,Cisco-8102-C64,DevSonic,,sonic
bjw-can-3800-1,10.150.22.135/23,ACS-MSN3800,DevSonic,,sonic
bjw-can-3800-2,10.150.22.136/23,ACS-MSN3800,DevSonic,,sonic
bjw-can-4600c-1,10.150.22.137/23,Mellanox-SN4600C-C64,DevSonic,,sonic
bjw-can-4600c-2,10.150.22.138/23,Mellanox-SN4600C-C64,DevSonic,,sonic
bjw-can-2700-3,10.150.22.139/23,Mellanox-SN2700,DevSonic,,sonic
bjw-can-2700-4,10.150.22.140/23,Mellanox-SN2700,DevSonic,,sonic
bjw-can-7250-sup-1,10.150.22.144/23,Nokia-IXR7250E-SUP-10,DevSonic,,sonic
bjw-can-7250-lc1-1,10.150.22.145/23,Nokia-IXR7250E-36x400G,DevSonic,,sonic
bjw-can-7250-lc2-1,10.150.22.146/23,Nokia-IXR7250E-36x400G,DevSonic,,sonic
bjw-can-a7280cr3-1,10.150.22.153/23,Arista-7280CR3-C40,DevSonic,,sonic
bjw-can-7260-8,10.150.22.154/23,Arista-7260CX3-C64,DevSonic,,sonic
bjw-can-7260-11,10.150.22.157/23,Arista-7260CX3-D108C10,DevSonic,,sonic
bjw-can-7260-12,10.150.22.158/23,Arista-7260CX3-C64,DevSonic,,sonic
bjw-can-7260-14,10.150.22.160/23,Arista-7260CX3-C64,DevSonic,,sonic
bjw-can-7260-16,10.150.22.162/23,Arista-7260CX3-C64,DevSonic,,sonic
bjw-can-7060-1,10.150.22.164/23,Arista-7060CX-32S-C32,DevSonic,,sonic
bjw-can-7060-2,10.150.22.166/23,Arista-7060CX-32S-C32,DevSonic,,sonic
bjw-pdu-126-130,10.150.126.130,Vertiv,Pdu,snmp,
bjw-pdu-126-131,10.150.126.131,Vertiv,Pdu,snmp,
bjw-pdu-126-132,10.150.126.132,Vertiv,Pdu,snmp,
bjw-pdu-126-133,10.150.126.133,Vertiv,Pdu,snmp,
bjw-pdu-126-134,10.150.126.134,Vertiv,Pdu,snmp,
bjw-pdu-126-135,10.150.126.135,Vertiv,Pdu,snmp,
bjw-pdu-126-136,10.150.126.136,Vertiv,Pdu,snmp,
bjw-pdu-126-137,10.150.126.137,Vertiv,Pdu,snmp,
bjw-pdu-126-138,10.150.126.138,Vertiv,Pdu,snmp,
bjw-pdu-126-139,10.150.126.139,Vertiv,Pdu,snmp,
bjw-pdu-127-166,10.150.127.166,Vertiv,Pdu,snmp,
bjw-pdu-127-167,10.150.127.167,Vertiv,Pdu,snmp,
bjw-can-7215-10,10.150.22.10/23,Nokia-7215,MgmtTsToRRouter,ssh,sonic
bjw-can-7215-9,10.150.22.11/23,Nokia-7215,ConsoleServer,ssh,sonic
bjw-can-4kts-1,10.150.22.12/23,Cisco-4300,ConsoleServer,ssh,
bjw-can-e1031-2,10.150.22.13/23,Celestica-E1031-T48S4,ConsoleServer,ssh,sonic
bjw-96cbe-1a,10.150.22.66/23,MX960,Server,,
bjw-96cbe-1a-lc,10.150.22.67/23,MX960,Server,,
bjw-can-rome128q-1-a,10.150.22.220/23,ROME128Q,Server,,
bjw-can-rome128q-1-b,10.150.22.221/23,ROME128Q,Server,,
