StartDevice,StartPort,EndDevice,EndPort,BandWidth,VlanID,VlanMode
bjw-can-720dt-1,Ethernet0,bjw-can-720dt-2,Ethernet0,1000,201,Access
bjw-can-720dt-1,Ethernet1,bjw-can-720dt-2,Ethernet1,1000,202,Access
bjw-can-720dt-1,Ethernet2,bjw-can-720dt-2,Ethernet2,1000,203,Access
bjw-can-720dt-1,Ethernet3,bjw-can-720dt-2,Ethernet3,1000,204,Access
bjw-can-720dt-1,Ethernet4,bjw-can-720dt-2,Ethernet4,1000,205,Access
bjw-can-720dt-1,Ethernet5,bjw-can-720dt-2,Ethernet5,1000,206,Access
bjw-can-720dt-1,Ethernet6,bjw-can-720dt-2,Ethernet6,1000,207,Access
bjw-can-720dt-1,Ethernet7,bjw-can-720dt-2,Ethernet7,1000,208,Access
bjw-can-720dt-1,Ethernet8,bjw-can-720dt-2,Ethernet8,1000,209,Access
bjw-can-720dt-1,Ethernet9,bjw-can-720dt-2,Ethernet9,1000,210,Access
bjw-can-720dt-1,Ethernet10,bjw-can-720dt-2,Ethernet10,1000,211,Access
bjw-can-720dt-1,Ethernet11,bjw-can-720dt-2,Ethernet11,1000,212,Access
bjw-can-720dt-1,Ethernet12,bjw-can-720dt-2,Ethernet12,1000,213,Access
bjw-can-720dt-1,Ethernet13,bjw-can-720dt-2,Ethernet13,1000,214,Access
bjw-can-720dt-1,Ethernet14,bjw-can-720dt-2,Ethernet14,1000,215,Access
bjw-can-720dt-1,Ethernet15,bjw-can-720dt-2,Ethernet15,1000,216,Access
bjw-can-720dt-1,Ethernet16,bjw-can-720dt-2,Ethernet16,1000,217,Access
bjw-can-720dt-1,Ethernet17,bjw-can-720dt-2,Ethernet17,1000,218,Access
bjw-can-720dt-1,Ethernet18,bjw-can-720dt-2,Ethernet18,1000,219,Access
bjw-can-720dt-1,Ethernet19,bjw-can-720dt-2,Ethernet19,1000,220,Access
bjw-can-720dt-1,Ethernet20,bjw-can-720dt-2,Ethernet20,1000,221,Access
bjw-can-720dt-1,Ethernet21,bjw-can-720dt-2,Ethernet21,1000,222,Access
bjw-can-720dt-1,Ethernet22,bjw-can-720dt-2,Ethernet22,1000,223,Access
bjw-can-720dt-1,Ethernet23,bjw-can-720dt-2,Ethernet23,1000,224,Access
bjw-can-720dt-1,Ethernet24,bjw-can-720dt-2,Ethernet24,1000,225,Access
bjw-can-720dt-1,Ethernet25,bjw-can-720dt-2,Ethernet25,1000,226,Access
bjw-can-720dt-1,Ethernet26,bjw-can-720dt-2,Ethernet26,1000,227,Access
bjw-can-720dt-1,Ethernet27,bjw-can-720dt-2,Ethernet27,1000,228,Access
bjw-can-720dt-1,Ethernet28,bjw-can-720dt-2,Ethernet28,1000,229,Access
bjw-can-720dt-1,Ethernet29,bjw-can-720dt-2,Ethernet29,1000,230,Access
bjw-can-720dt-1,Ethernet30,bjw-can-720dt-2,Ethernet30,1000,231,Access
bjw-can-720dt-1,Ethernet31,bjw-can-720dt-2,Ethernet31,1000,232,Access
bjw-can-720dt-1,Ethernet32,bjw-can-720dt-2,Ethernet32,1000,233,Access
bjw-can-720dt-1,Ethernet33,bjw-can-720dt-2,Ethernet33,1000,234,Access
bjw-can-720dt-1,Ethernet34,bjw-can-720dt-2,Ethernet34,1000,235,Access
bjw-can-720dt-1,Ethernet35,bjw-can-720dt-2,Ethernet35,1000,236,Access
bjw-can-720dt-1,Ethernet36,bjw-can-720dt-2,Ethernet36,1000,237,Access
bjw-can-720dt-1,Ethernet37,bjw-can-720dt-2,Ethernet37,1000,238,Access
bjw-can-720dt-1,Ethernet38,bjw-can-720dt-2,Ethernet38,1000,239,Access
bjw-can-720dt-1,Ethernet39,bjw-can-720dt-2,Ethernet39,1000,240,Access
bjw-can-720dt-1,Ethernet40,bjw-can-720dt-2,Ethernet40,1000,241,Access
bjw-can-720dt-1,Ethernet41,bjw-can-720dt-2,Ethernet41,1000,242,Access
bjw-can-720dt-1,Ethernet42,bjw-can-720dt-2,Ethernet42,1000,243,Access
bjw-can-720dt-1,Ethernet43,bjw-can-720dt-2,Ethernet43,1000,244,Access
bjw-can-720dt-1,Ethernet44,bjw-can-720dt-2,Ethernet44,1000,245,Access
bjw-can-720dt-1,Ethernet45,bjw-can-720dt-2,Ethernet45,1000,246,Access
bjw-can-720dt-1,Ethernet46,bjw-can-720dt-2,Ethernet46,1000,247,Access
bjw-can-720dt-1,Ethernet47,bjw-can-720dt-2,Ethernet47,1000,248,Access
bjw-can-720dt-1,Ethernet48,bjw-can-7060-fanout-1,Ethernet1/1,10000,249,Access
bjw-can-720dt-1,Ethernet49,bjw-can-7060-fanout-1,Ethernet1/2,10000,250,Access
bjw-can-720dt-1,Ethernet50,bjw-can-7060-fanout-1,Ethernet1/3,10000,251,Access
bjw-can-720dt-1,Ethernet51,bjw-can-7060-fanout-1,Ethernet1/4,10000,252,Access
bjw-can-ec9516-1,Ethernet0,bjw-can-z9332f-1,Ethernet0,400000,253,Access
bjw-can-ec9516-1,Ethernet8,bjw-can-z9332f-1,Ethernet8,400000,254,Access
bjw-can-ec9516-1,Ethernet16,bjw-can-z9332f-1,Ethernet16,400000,255,Access
bjw-can-ec9516-1,Ethernet24,bjw-can-z9332f-1,Ethernet24,400000,256,Access
bjw-can-ec9516-1,Ethernet32,bjw-can-z9332f-1,Ethernet32,400000,257,Access
bjw-can-ec9516-1,Ethernet40,bjw-can-z9332f-1,Ethernet40,400000,258,Access
bjw-can-ec9516-1,Ethernet48,bjw-can-z9332f-1,Ethernet48,400000,259,Access
bjw-can-ec9516-1,Ethernet56,bjw-can-z9332f-1,Ethernet56,400000,260,Access
bjw-can-ec9516-1,Ethernet64,bjw-can-z9332f-1,Ethernet64,400000,261,Access
bjw-can-ec9516-1,Ethernet72,bjw-can-z9332f-1,Ethernet72,400000,262,Access
bjw-can-ec9516-1,Ethernet80,bjw-can-z9332f-1,Ethernet80,400000,263,Access
bjw-can-ec9516-1,Ethernet88,bjw-can-z9332f-1,Ethernet88,400000,264,Access
bjw-can-ec9516-1,Ethernet96,bjw-can-z9332f-1,Ethernet96,400000,265,Access
bjw-can-ec9516-1,Ethernet104,bjw-can-z9332f-1,Ethernet104,400000,266,Access
bjw-can-ec9516-1,Ethernet112,bjw-can-z9332f-1,Ethernet112,400000,267,Access
bjw-can-ec9516-1,Ethernet120,bjw-can-z9332f-1,Ethernet120,400000,268,Access
bjw-can-ec9516-1,Ethernet128,bjw-can-z9332f-1,Ethernet128,400000,269,Access
bjw-can-ec9516-1,Ethernet136,bjw-can-z9332f-1,Ethernet136,400000,270,Access
bjw-can-ec9516-1,Ethernet144,bjw-can-z9332f-1,Ethernet144,400000,271,Access
bjw-can-ec9516-1,Ethernet152,bjw-can-z9332f-1,Ethernet152,400000,272,Access
bjw-can-ec9516-1,Ethernet160,bjw-can-z9332f-1,Ethernet160,400000,273,Access
bjw-can-ec9516-1,Ethernet168,bjw-can-z9332f-1,Ethernet168,400000,274,Access
bjw-can-ec9516-1,Ethernet176,bjw-can-z9332f-1,Ethernet176,400000,275,Access
bjw-can-ec9516-1,Ethernet184,bjw-can-z9332f-1,Ethernet184,400000,276,Access
bjw-can-ec9516-1,Ethernet192,bjw-can-z9332f-1,Ethernet192,400000,277,Access
bjw-can-ec9516-1,Ethernet200,bjw-can-z9332f-1,Ethernet200,400000,278,Access
bjw-can-ec9516-1,Ethernet208,bjw-can-z9332f-1,Ethernet208,400000,279,Access
bjw-can-ec9516-1,Ethernet216,bjw-can-z9332f-1,Ethernet216,400000,280,Access
bjw-can-ec9516-1,Ethernet224,bjw-can-z9332f-1,Ethernet224,400000,281,Access
bjw-can-ec9516-1,Ethernet232,bjw-can-z9332f-1,Ethernet232,400000,282,Access
bjw-can-ec9516-1,Ethernet240,bjw-can-z9332f-1,Ethernet240,400000,283,Access
bjw-can-ec9516-1,Ethernet248,bjw-can-z9332f-1,Ethernet248,400000,284,Access
bjw-slx-can-1,Ethernet0,bjw-slx-can-2,etp1,100000,285,Access
bjw-slx-can-1,Ethernet4,bjw-slx-can-2,etp2,100000,286,Access
bjw-slx-can-1,Ethernet8,bjw-slx-can-2,etp3,100000,287,Access
bjw-slx-can-1,Ethernet12,bjw-slx-can-2,etp4,100000,288,Access
bjw-slx-can-1,Ethernet16,bjw-slx-can-2,etp5,100000,289,Access
bjw-slx-can-1,Ethernet20,bjw-slx-can-2,etp6,100000,290,Access
bjw-slx-can-1,Ethernet24,bjw-slx-can-2,etp7,100000,291,Access
bjw-slx-can-1,Ethernet28,bjw-slx-can-2,etp8,100000,292,Access
bjw-slx-can-1,Ethernet32,bjw-slx-can-2,etp9,100000,293,Access
bjw-slx-can-1,Ethernet36,bjw-slx-can-2,etp10,100000,294,Access
bjw-slx-can-1,Ethernet40,bjw-slx-can-2,etp11,100000,295,Access
bjw-slx-can-1,Ethernet44,bjw-slx-can-2,etp12,100000,296,Access
bjw-slx-can-1,Ethernet48,bjw-slx-can-2,etp13,100000,297,Access
bjw-slx-can-1,Ethernet52,bjw-slx-can-2,etp14,100000,298,Access
bjw-slx-can-1,Ethernet56,bjw-slx-can-2,etp15,100000,299,Access
bjw-slx-can-1,Ethernet60,bjw-slx-can-2,etp16,100000,300,Access
bjw-slx-can-1,Ethernet64,bjw-slx-can-2,etp17,100000,301,Access
bjw-slx-can-1,Ethernet68,bjw-slx-can-2,etp18,100000,302,Access
bjw-slx-can-1,Ethernet72,bjw-slx-can-2,etp19,100000,303,Access
