StartDevice,StartPort,EndDevice,Console_type,Console_menu_type,Proxy
console-194,16,str-7060x6-64pe-stress-01,ssh,cisco_config,
console-194,17,str-7060x6-64pe-stress-02,ssh,cisco_config,
console-194,13,str-7060x6-64pe-stress-03,ssh,cisco_config,
console-194,6,str-7060x6-64pe-stress-04,ssh,cisco_config,
console-194,20,str-7060x6-64pe-stress-11,ssh,cisco_config,
console-194,18,str-7060x6-64pe-stress-12,ssh,cisco_config,
console-185,7,msr-ixia-aresone-800ge-1,ssh,,
console-185,8,msr-ixia-aresone-800ge-2,ssh,,
console-185,9,msr-ixia-aresone-800ge-3,ssh,,
console-185,12,msr-ixia-aresone-800ge-4,ssh,,
console-185,17,msr-ixia-aresone-800ge-5,ssh,,
console-185,18,msr-ixia-aresone-800ge-6,ssh,,
console-185,22,msr-ixia-aresone-800ge-7,ssh,,
console-185,23,msr-ixia-aresone-800ge-8,ssh,,
console-201,6,str-sn5600-I11-U02,ssh,cisco_config,
console-201,7,str-sn5600-I11-U04,ssh,cisco_config,
console-201,9,str-sn5600-I11-U13,ssh,cisco_config,
console-201,10,str-sn5600-I11-U15,ssh,cisco_config,
console-201,13,str-sn5600-I11-U17,ssh,cisco_config,
console-201,32,str-sn5600-I11-U19,ssh,cisco_config,
