StartDevice,StartPort,EndDevice,EndPort
msr-ixia-aresone-800ge-1,Port1.1,str-ocs-dlx64-acs-10,1
msr-ixia-aresone-800ge-1,Port1.2,str-ocs-dlx64-acs-10,2
msr-ixia-aresone-800ge-1,Port1.3,str-ocs-dlx64-acs-10,3
msr-ixia-aresone-800ge-1,Port1.4,str-ocs-dlx64-acs-10,4
msr-ixia-aresone-800ge-1,Port1.5,str-ocs-dlx64-acs-10,5
msr-ixia-aresone-800ge-1,Port1.6,str-ocs-dlx64-acs-10,6
msr-ixia-aresone-800ge-1,Port1.7,str-ocs-dlx64-acs-10,7
msr-ixia-aresone-800ge-1,Port1.8,str-ocs-dlx64-acs-10,8
msr-ixia-aresone-800ge-1,Port2.1,str-ocs-dlx64-acs-10,9
msr-ixia-aresone-800ge-1,Port2.2,str-ocs-dlx64-acs-10,10
msr-ixia-aresone-800ge-1,Port2.3,str-ocs-dlx64-acs-10,11
msr-ixia-aresone-800ge-1,Port2.4,str-ocs-dlx64-acs-10,12
msr-ixia-aresone-800ge-1,Port2.5,str-ocs-dlx64-acs-10,13
msr-ixia-aresone-800ge-1,Port2.6,str-ocs-dlx64-acs-10,14
msr-ixia-aresone-800ge-1,Port2.7,str-ocs-dlx64-acs-10,15
msr-ixia-aresone-800ge-1,Port2.8,str-ocs-dlx64-acs-10,16
msr-ixia-aresone-800ge-1,Port3.1,str-ocs-dlx64-acs-11,1
msr-ixia-aresone-800ge-1,Port3.2,str-ocs-dlx64-acs-11,2
msr-ixia-aresone-800ge-1,Port3.3,str-ocs-dlx64-acs-11,3
msr-ixia-aresone-800ge-1,Port3.4,str-ocs-dlx64-acs-11,4
msr-ixia-aresone-800ge-1,Port3.5,str-ocs-dlx64-acs-11,5
msr-ixia-aresone-800ge-1,Port3.6,str-ocs-dlx64-acs-11,6
msr-ixia-aresone-800ge-1,Port3.7,str-ocs-dlx64-acs-11,7
msr-ixia-aresone-800ge-1,Port3.8,str-ocs-dlx64-acs-11,8
msr-ixia-aresone-800ge-1,Port4.1,str-ocs-dlx64-acs-11,9
msr-ixia-aresone-800ge-1,Port4.2,str-ocs-dlx64-acs-11,10
msr-ixia-aresone-800ge-1,Port4.3,str-ocs-dlx64-acs-11,11
msr-ixia-aresone-800ge-1,Port4.4,str-ocs-dlx64-acs-11,12
msr-ixia-aresone-800ge-1,Port4.5,str-ocs-dlx64-acs-11,13
msr-ixia-aresone-800ge-1,Port4.6,str-ocs-dlx64-acs-11,14
msr-ixia-aresone-800ge-1,Port4.7,str-ocs-dlx64-acs-11,15
msr-ixia-aresone-800ge-1,Port4.8,str-ocs-dlx64-acs-11,16
msr-ixia-aresone-800ge-7,Port1.1,str-ocs-dlx64-acs-02,1
msr-ixia-aresone-800ge-7,Port1.2,str-ocs-dlx64-acs-02,2
msr-ixia-aresone-800ge-7,Port1.3,str-ocs-dlx64-acs-02,3
msr-ixia-aresone-800ge-7,Port1.4,str-ocs-dlx64-acs-02,4
msr-ixia-aresone-800ge-7,Port1.5,str-ocs-dlx64-acs-02,5
msr-ixia-aresone-800ge-7,Port1.6,str-ocs-dlx64-acs-02,6
msr-ixia-aresone-800ge-7,Port1.7,str-ocs-dlx64-acs-02,7
msr-ixia-aresone-800ge-7,Port1.8,str-ocs-dlx64-acs-02,8
msr-ixia-aresone-800ge-7,Port2.1,str-ocs-dlx64-acs-02,9
msr-ixia-aresone-800ge-7,Port2.2,str-ocs-dlx64-acs-02,10
msr-ixia-aresone-800ge-7,Port2.3,str-ocs-dlx64-acs-02,11
msr-ixia-aresone-800ge-7,Port2.4,str-ocs-dlx64-acs-02,12
msr-ixia-aresone-800ge-7,Port2.5,str-ocs-dlx64-acs-02,13
msr-ixia-aresone-800ge-7,Port2.6,str-ocs-dlx64-acs-02,14
msr-ixia-aresone-800ge-7,Port2.7,str-ocs-dlx64-acs-02,15
msr-ixia-aresone-800ge-7,Port2.8,str-ocs-dlx64-acs-02,16
msr-ixia-aresone-800ge-7,Port3.1,str-ocs-dlx64-acs-03,1
msr-ixia-aresone-800ge-7,Port3.2,str-ocs-dlx64-acs-03,2
msr-ixia-aresone-800ge-7,Port3.3,str-ocs-dlx64-acs-03,3
msr-ixia-aresone-800ge-7,Port3.4,str-ocs-dlx64-acs-03,4
msr-ixia-aresone-800ge-7,Port3.5,str-ocs-dlx64-acs-03,5
msr-ixia-aresone-800ge-7,Port3.6,str-ocs-dlx64-acs-03,6
msr-ixia-aresone-800ge-7,Port3.7,str-ocs-dlx64-acs-03,7
msr-ixia-aresone-800ge-7,Port3.8,str-ocs-dlx64-acs-03,8
msr-ixia-aresone-800ge-7,Port4.1,str-ocs-dlx64-acs-03,9
msr-ixia-aresone-800ge-7,Port4.2,str-ocs-dlx64-acs-03,10
msr-ixia-aresone-800ge-7,Port4.3,str-ocs-dlx64-acs-03,11
msr-ixia-aresone-800ge-7,Port4.4,str-ocs-dlx64-acs-03,12
msr-ixia-aresone-800ge-7,Port4.5,str-ocs-dlx64-acs-03,13
msr-ixia-aresone-800ge-7,Port4.6,str-ocs-dlx64-acs-03,14
msr-ixia-aresone-800ge-7,Port4.7,str-ocs-dlx64-acs-03,15
msr-ixia-aresone-800ge-7,Port4.8,str-ocs-dlx64-acs-03,16
