StartDevice,StartPort,EndDevice,EndPort
pdu-109,45,str-7060x6-64pe-stress-01,PSU1
pdu-110,45,str-7060x6-64pe-stress-01,PSU2
pdu-109,44,str-7060x6-64pe-stress-02,PSU1
pdu-110,44,str-7060x6-64pe-stress-02,PSU2
pdu-109,21,str-7060x6-64pe-stress-03,PSU1
pdu-110,21,str-7060x6-64pe-stress-03,PSU2
pdu-109,19,str-7060x6-64pe-stress-04,PSU1
pdu-110,19,str-7060x6-64pe-stress-04,PSU2
pdu-109,43,str-7060x6-64pe-stress-11,PSU1
pdu-110,43,str-7060x6-64pe-stress-11,PSU2
pdu-109,42,str-7060x6-64pe-stress-12,PSU1
pdu-110,42,str-7060x6-64pe-stress-12,PSU2
pdu-113,15,msr-ixia-metronome-timing-0,PSU2
pdu-112,5,msr-ixia-aresone-800ge-1,PSU1
pdu-113,5,msr-ixia-aresone-800ge-1,PSU2
pdu-114,5,msr-ixia-aresone-800ge-1,PSU3
pdu-112,6,msr-ixia-aresone-800ge-2,PSU1
pdu-113,6,msr-ixia-aresone-800ge-2,PSU2
pdu-114,6,msr-ixia-aresone-800ge-2,PSU3
pdu-112,7,msr-ixia-aresone-800ge-3,PSU1
pdu-113,7,msr-ixia-aresone-800ge-3,PSU2
pdu-114,7,msr-ixia-aresone-800ge-3,PSU3
pdu-112,8,msr-ixia-aresone-800ge-4,PSU1
pdu-113,8,msr-ixia-aresone-800ge-4,PSU2
pdu-114,8,msr-ixia-aresone-800ge-4,PSU3
pdu-112,24,msr-ixia-aresone-800ge-5,PSU1
pdu-113,24,msr-ixia-aresone-800ge-5,PSU2
pdu-114,24,msr-ixia-aresone-800ge-5,PSU3
pdu-112,25,msr-ixia-aresone-800ge-6,PSU1
pdu-113,26,msr-ixia-aresone-800ge-6,PSU2
pdu-114,25,msr-ixia-aresone-800ge-6,PSU3
pdu-112,26,msr-ixia-aresone-800ge-7,PSU1
pdu-113,27,msr-ixia-aresone-800ge-7,PSU2
pdu-114,26,msr-ixia-aresone-800ge-7,PSU3
pdu-112,27,msr-ixia-aresone-800ge-8,PSU1
pdu-113,28,msr-ixia-aresone-800ge-8,PSU2
pdu-114,27,msr-ixia-aresone-800ge-8,PSU3
pdu-229,24,str-sn5600-I11-U02,PSU1
pdu-231,24,str-sn5600-I11-U02,PSU2
pdu-228,24,str-sn5600-I11-U04,PSU1
pdu-230,24,str-sn5600-I11-U04,PSU2
pdu-228,16,str-sn5600-I11-U13,PSU1
pdu-229,16,str-sn5600-I11-U13,PSU2
pdu-226,24,str-sn5600-I11-U15,PSU1
pdu-227,24,str-sn5600-I11-U15,PSU2
pdu-226,16,str-sn5600-I11-U17,PSU1
pdu-227,16,str-sn5600-I11-U17,PSU2
pdu-226,8,str-sn5600-I11-U19,PSU1
pdu-229,8,str-sn5600-I11-U19,PSU2
