StartDevice,StartPort,EndDevice,EndPort,BandWidth
str3-SN4700-D11-U39,Ethernet100,STR-W2W-SONIC-03-A,Q1,100000
str3-SN4700-D11-U39,Ethernet100,STR-W2W-SONIC-03-B,Q1,100000
str3-SN4700-D11-U39,Ethernet104,STR-W2W-SONIC-03-A,Q2,100000
str3-SN4700-D11-U39,Ethernet104,STR-W2W-SONIC-03-B,Q2,100000
str3-SN4700-D11-U39,Ethernet108,STR-W2W-SONIC-03-A,Q3,100000
str3-SN4700-D11-U39,Ethernet108,STR-W2W-SONIC-03-B,Q3,100000
str-msn2700-22,Ethernet100,STR-W2W-SONIC-03-A,Q4,100000
str-msn2700-22,Ethernet100,STR-W2W-SONIC-03-B,Q4,100000
str-msn2700-22,Ethernet104,STR-W2W-SONIC-03-A,Q5,100000
str-msn2700-22,Ethernet104,STR-W2W-SONIC-03-B,Q5,100000
str-msn2700-22,Ethernet108,STR-W2W-SONIC-03-A,Q6,100000
str-msn2700-22,Ethernet108,STR-W2W-SONIC-03-B,Q6,100000
str-sn5640-stress-01,Ethernet0,str-ocs-dlx64-acs-10,17B,100000
str-sn5640-stress-01,Ethernet1,str-ocs-dlx64-acs-10,18B,100000
str-sn5640-stress-01,Ethernet2,str-ocs-dlx64-acs-10,19B,100000
str-sn5640-stress-01,Ethernet3,str-ocs-dlx64-acs-10,20B,100000
str-sn5640-stress-01,Ethernet4,str-ocs-dlx64-acs-10,21B,100000
str-sn5640-stress-01,Ethernet5,str-ocs-dlx64-acs-10,22B,100000
str-sn5640-stress-01,Ethernet6,str-ocs-dlx64-acs-10,23B,100000
str-sn5640-stress-01,Ethernet7,str-ocs-dlx64-acs-10,24B,100000
str-sn5640-stress-01,Ethernet16,str-ocs-dlx64-acs-10,25B,100000
str-sn5640-stress-01,Ethernet17,str-ocs-dlx64-acs-10,26B,100000
str-sn5640-stress-01,Ethernet18,str-ocs-dlx64-acs-10,27B,100000
str-sn5640-stress-01,Ethernet19,str-ocs-dlx64-acs-10,28B,100000
str-sn5640-stress-01,Ethernet20,str-ocs-dlx64-acs-10,29B,100000
str-sn5640-stress-01,Ethernet21,str-ocs-dlx64-acs-10,30B,100000
str-sn5640-stress-01,Ethernet22,str-ocs-dlx64-acs-10,31B,100000
str-sn5640-stress-01,Ethernet23,str-ocs-dlx64-acs-10,32B,100000
str-sn5640-stress-01,Ethernet32,str-ocs-dlx64-acs-11,33B,100000
str-sn5640-stress-01,Ethernet33,str-ocs-dlx64-acs-11,34B,100000
str-sn5640-stress-01,Ethernet34,str-ocs-dlx64-acs-11,35B,100000
str-sn5640-stress-01,Ethernet35,str-ocs-dlx64-acs-11,36B,100000
str-sn5640-stress-01,Ethernet36,str-ocs-dlx64-acs-11,37B,100000
str-sn5640-stress-01,Ethernet37,str-ocs-dlx64-acs-11,38B,100000
str-sn5640-stress-01,Ethernet38,str-ocs-dlx64-acs-11,39B,100000
str-sn5640-stress-01,Ethernet39,str-ocs-dlx64-acs-11,40B,100000
str-sn5640-stress-01,Ethernet48,str-ocs-dlx64-acs-11,41B,100000
str-sn5640-stress-01,Ethernet49,str-ocs-dlx64-acs-11,42B,100000
str-sn5640-stress-01,Ethernet50,str-ocs-dlx64-acs-11,43B,100000
str-sn5640-stress-01,Ethernet51,str-ocs-dlx64-acs-11,44B,100000
str-sn5640-stress-01,Ethernet52,str-ocs-dlx64-acs-11,45B,100000
str-sn5640-stress-01,Ethernet53,str-ocs-dlx64-acs-11,46B,100000
str-sn5640-stress-01,Ethernet54,str-ocs-dlx64-acs-11,47B,100000
str-sn5640-stress-01,Ethernet55,str-ocs-dlx64-acs-11,48B,100000
