StartDevice,StartPort,EndDevice,Console_type,Proxy
console-212,48,str2-7260cx3-acs-fan-10,ssh,
console-212,46,str2-7260cx3-acs-fan-11,ssh,
console-212,44,str2-7260cx3-acs-fan-12,ssh,
console-212,36,str2-7260cx3-acs-fan-21,ssh,
console-199,48,str2-7260cx3-acs-fan-26,ssh,
console-199,47,str2-7260cx3-acs-fan-27,ssh,
console-199,35,str2-7260cx3-acs-fan-28,ssh,
console-199,46,str2-7260cx3-acs-fan-29,ssh,
console-199,40,str2-7260cx3-acs-fan-30,ssh,
console-199,41,str2-7260cx3-acs-fan-31,ssh,
console-199,43,str2-7260cx3-acs-fan-32,ssh,
console-199,36,str2-7260cx3-acs-fan-33,ssh,
console-212,18,str2-7050cx3-acs-01,ssh,
console-212,24,str2-7050cx3-acs-02,ssh,
console-212,23,str2-7050cx3-acs-03,ssh,
console-212,49,str2-7050cx3-acs-06,ssh,
console-212,47,str2-7050cx3-acs-07,ssh,
console-212,45,str2-7050cx3-acs-08,ssh,
console-194,26,str2-7050cx3-acs-09,ssh,
console-199,15,str2-7050cx3-acs-10,ssh,
console-199,17,str2-7050cx3-acs-11,ssh,
console-182,4,str2-7050cx3-acs-12,ssh,
console-212,25,str2-7050cx3-acs-13,ssh,
console-194,13,str2-7050cx3-acs-14,ssh,
console-212,19,str2-7050qx-32s-acs-01,ssh,
console-212,21,str2-7060cx-32s-29,ssh,
console-199,5,str2-7260cx3-acs-9,ssh,
console-197,34,str2-7260cx3-acs-12,ssh,
console-199,42,str2-msn2700-spy-1,ssh,
console-212,26,str2-msn2700-spy-2,ssh,
console-80,45,str2-n3164-acs-1,ssh,
console-194,22,str2-n3164-acs-3,ssh,
console-194,21,str2-n3164-acs-4,ssh,
console-212,10,str2-sn3800-02,ssh,
console-212,13,str2-sn3800-azd,ssh,
console-199,8,str2-z9332f-05,ssh,
console-199,11,str2-z9332f-03,ssh,
console-199,7,str2-z9332f-02,ssh,
console-194,8,str2-7260cx3-64-19,ssh,
console-194,10,str2-dx010-acs-6,ssh,
console-194,31,str2-dx010-acs-7,ssh,
console-194,24,str2-msn4600c-acs-01,ssh,
console-194,33,str2-msn4600c-acs-02,ssh,
console-212,35,str2-msn4600c-acs-03,ssh,
console-212,34,str2-msn4600c-acs-04,ssh,
console-212,32,str2-7050cx3-acs-04,ssh,
console-199,32,str2-7050qx-32s-acs-02,ssh,
console-199,33,str2-7050qx-32s-acs-03,ssh,
console-199,3,str2-7215-acs-1,ssh,
console-212,37,str2-7215-acs-3,ssh,
console-212,38,str2-7215-acs-4,ssh,
console-199,24,str2-7260cx3-acs-10,ssh,
console-199,23,str2-7260cx3-acs-11,ssh,
console-212,41,str2-a7280cr3-3,ssh,
console-182,18,str2-pikez-acs-1,ssh,
console-182,16,str2-7215-acs-5,ssh,
console-185,32,str2-8111-06,ssh,
console-199,25,str2-8102-01,ssh,
console-199,26,str2-8102-02,ssh,
console-199,30,str2-8102-03,ssh,
console-199,29,str2-8102-04,ssh,
console-199,49,str2-7804-sup-1,ssh,
console-197,36,str2-7260cx3-acs-13,ssh,
console-194,23,str2-7260cx3-acs-fan-13,ssh,
console-197,37,str2-7260cx3-acs-fan-34,ssh,
console-194,27,str2-8800-sup-2,ssh,
console-194,27,str2-8800-sup-3,ssh,
console-179,27,str2-msn4700-05,ssh,
console-179,13,str2-msn4700-fanout-05,ssh,
console-179,14,str2-msn4700-06,ssh,
console-179,15,str2-msn4700-fanout-06,ssh,
