Hostname,ManagementIp,HwSku,Type
str2-7260cx3-acs-root02,10.3.146.104/23,Arista-7260CX3-64,FanoutRoot
str2-dx010-acs-2,10.3.146.236/23,Celestica-DX010-C32,FanoutLeafSonic
str2-7260cx3-acs-8,10.3.146.220/23,Arista-7260CX3,FanoutLeaf
str2-7260cx3-acs-fan-06,10.3.146.176/23,Arista-7260CX3,FanoutLeaf
str2-7260cx3-fan-07,10.3.146.244/23,Arista-7260CX3,FanoutLeaf
str2-7260cx3-fan-08,10.3.146.245/23,Arista-7260CX3,FanoutLeaf
str2-7260cx3-acs-fan-07,10.3.146.54/23,Arista-7260CX3,FanoutLeaf
str2-7260cx3-acs-fan-08,10.3.146.55/23,Arista-7260CX3,FanoutLeaf
str2-7263CX3-azd-01,10.3.146.32/23,Arista-7260CX3,FanoutLeaf
str2-7260cx3-64-19,10.3.146.150/23,Arista-7260CX3,FanoutLeaf
str2-7260cx3-acs-fan-09,10.3.146.157/23,Arista-7260CX3,FanoutLeaf
str2-7260cx3-acs-fan-10,10.3.147.25/23,Arista-7260CX3,FanoutLeaf
str2-7260cx3-acs-fan-11,10.3.147.23/23,Arista-7260CX3,FanoutLeaf
str2-7260cx3-acs-fan-12,10.3.147.21/23,Arista-7260CX3,FanoutLeaf
str2-7260cx3-acs-fan-13,10.3.147.14/23,Arista-7260CX3,FanoutLeaf
str2-msn2700-spy-1,10.3.146.242,Mellanox-SN2700,DevSonic
str2-msn2700-spy-2,10.3.146.243,Mellanox-SN2700,DevSonic
str2-a7060-spy-1,10.3.146.241,Arista-7060CX-32S-C32,DevSonic
str2-a7060-spy-2,10.3.146.240,Arista-7060CX-32S-C32,DevSonic
str2-7060cx-32s-29,10.3.146.57/23,Arista-7060CX-32S-Q32,DevSonic
str2-sn3800-azd,10.3.146.183/23,ACS-MSN3800,DevSonic
str2-sn3800-azd-2,10.3.146.238/23,ACS-MSN3800,DevSonic
str2-sn3800-02,10.3.146.232/23,Mellanox-SN3800-D112C8,DevSonic
str2-n3164-acs-4,10.3.146.124/23,Nexus-3164,DevSonic
str2-n3164-acs-3,10.3.146.132/23,Nexus-3164,DevSonic
str2-7050cx3-acs-01,10.3.146.85/23,Arista-7050CX3-32S-C32,DevSonic
str2-7050cx3-acs-02,10.3.146.187/23,Arista-7050CX3-32S-C32,DevSonic
str2-7050cx3-acs-03,10.3.146.185/23,Arista-7050CX3-32S-C32,DevSonic
str2-7050cx3-acs-06,10.3.147.26/23,Arista-7050CX3-32S-C32,DevSonic
str2-7050cx3-acs-07,10.3.147.24/23,Arista-7050CX3-32S-C32,DevSonic
str2-7050cx3-acs-08,10.3.147.22/23,Arista-7050CX3-32S-C32,DevSonic
str2-7050cx3-acs-09,10.3.147.20/23,Arista-7050CX3-32S-C32,DevSonic
str2-7050qx-32s-acs-01,10.3.146.158/23,Arista-7050-QX-32S,DevSonic
str2-msn4600c-acs-01,10.3.146.51/23,ACS-MSN4600C,DevSonic
str2-dx010-acs-6,10.64.246.100/23,Celestica-DX010-C32,DevSonic
str2-acs-serv-16,10.64.246.95/23,TestServ,Server
str2-acs-serv-17,10.64.246.96/23,TestServ,Server
str2-acs-serv-18,10.64.246.97/23,TestServ,Server
str2-acs-serv-19,10.64.246.111/23,TestServ,Server
str2-acs-serv-20,10.64.246.119/23,TestServ,Server
