Hostname,ManagementIp,HwSku,Type,Protocol
str3-7260cx3-acs-root03,10.3.146.152/23,Arista-7260CX3-64,FanoutRoot,
str3-acs-serv-61,10.64.246.96/23,TestServ,Server,
str3-7260cx3-acs-fan-01,10.3.146.33/23,Arista-7260CX3,FanoutLeaf,
str3-7260cx3-acs-fan-02,10.3.146.35/23,Arista-7260CX3,FanoutLeaf,
str3-7260cx3-acs-fan-03,10.3.146.32/23,Arista-7260CX3,FanoutLeaf,
str3-7260cx3-acs-fan-04,10.3.146.10/23,Arista-7260CX3,FanoutLeaf,
str2-7260cx3-acs-fan-23,10.3.146.114/23,Arista-7260CX3,FanoutLeaf,
str2-7260cx3-acs-fan-35,10.3.147.79/23,Arista-7260CX3,FanoutLeaf,
str3-8101-fanout-01,10.3.146.195/23,Cisco-8101-C64,FanoutLeaf,
str3-8101-fanout-02,10.3.146.193/23,Cisco-8101-C64,FanoutLeaf,
str3-8101-fanout-03,10.3.146.192/23,Cisco-8101-C48T8,FanoutLeaf,
str3-8102-01,10.3.146.120/23,Cisco-8102-C64,DevSonic,
str3-8102-05,10.3.146.121/23,Cisco-8102-C64,DevSonic,
str3-8102-06,10.3.146.78/23,Cisco-8102-C64,DevSonic,
str3-8101-32fh-01,10.3.146.189/23,Cisco-8101-T32,DevSonic,
str3-8101-01,10.3.146.194/23,Cisco-8101-C64,DevSonic,
str3-8101-02,10.3.146.191/23,Cisco-8101-C48T8,DevSonic,
str3-8800-sup-1,10.3.147.95/23,8800-RP-O,DevSonic,
str3-8800-lc1-1,10.3.147.78/23,8800-LC-48H-O,DevSonic,
str3-8800-lc2-1,10.3.147.97/23,8800-LC-48H-O,DevSonic,
str3-8800-lc3-1,10.3.147.98/23,8800-LC-48H-O,DevSonic,
str3-8800-lc4-1,10.3.146.98/23,88-LC0-36FH-MO,DevSonic,
pdu-90,10.3.155.90,Sentry,Pdu,snmp
pdu-91,10.3.155.91,Sentry,Pdu,snmp
pdu-92,10.3.155.92,Sentry,Pdu,snmp
pdu-115,10.3.155.115,Sentry,Pdu,snmp
pdu-116,10.3.155.116,Sentry,Pdu,snmp
pdu-118,10.3.155.118,Sentry,Pdu,snmp
pdu-122,10.3.155.122,Sentry,Pdu,snmp
pdu-123,10.3.155.123,Sentry,Pdu,snmp
console-194,10.3.145.194,Cisco,ConsoleServer,ssh
console-197,10.3.145.197,Cisco,ConsoleServer,ssh
str3-z9332f-01,10.3.146.248/23,DellEMC-Z9332f-O32,FanoutLeafSonic,
str3-z9332f-04,10.3.146.230/23,DellEMC-Z9332f-O32,FanoutLeafSonic,
str3-z9332f-06,10.3.146.7/23,DellEMC-Z9332f-O32,FanoutLeafSonic,
