StartDevice,StartPort,EndDevice,EndPort,BandWidth,VlanID,VlanMode
str3-7260cx3-acs-root03,Ethernet4/1,str3-acs-serv-61,enp59s0f1,100000,,Trunk
str3-7260cx3-acs-root03,Ethernet1/1,str3-7260cx3-acs-fan-01,Ethernet64/1,100000,201-260,Trunk
str3-7260cx3-acs-root03,Ethernet2/1,str3-7260cx3-acs-fan-02,Ethernet64/1,100000,261-320,Trunk
str3-7260cx3-acs-root03,Ethernet3/1,str3-7260cx3-acs-fan-03,Ethernet64/1,100000,"321-384,1159-1600,1613-1668,1699-1700",Trunk
str3-7260cx3-acs-root03,Ethernet8/1,str3-7260cx3-acs-fan-04,Ethernet64/1,100000,385-448,Trunk
str3-7260cx3-acs-root03,Ethernet10/1,str3-z9332f-04,etp33,10000,449-512,Trunk
str3-7260cx3-acs-root03,Ethernet9/1,str3-z9332f-01,etp34,10000,513-576,Trunk
str3-7260cx3-acs-root03,Ethernet11/1,str2-7260cx3-acs-fan-23,Ethernet64/1,100000,577-636,Trunk
str3-7260cx3-acs-root03,Ethernet12/1,str3-7260cx3-acs-fan-35,Ethernet64/1,100000,"637-672,1925-1928,1989-1992",Trunk
str3-7260cx3-acs-root03,Ethernet33/1,str3-7260cx3-acs-fan-37,Ethernet64/1,100000,1865-1924,Trunk
str3-7260cx3-acs-root03,Ethernet34/1,str3-7260cx3-acs-fan-38,Ethernet64/1,100000,1929-1988,Trunk
str3-7260cx3-acs-root03,Ethernet13/1,str3-z9332f-06,Ethernet257,10000,577-608,Trunk
str3-7260cx3-acs-root03,Ethernet5/1,str3-8101-fanout-02,etp54,100000,673-736,Trunk
str3-7260cx3-acs-root03,Ethernet7/1,str3-8101-fanout-03,etp54,100000,737-800,Trunk
str3-7260cx3-acs-root03,Ethernet6/1,str3-8101-fanout-01,etp62,100000,"801-864,1763,1796,1861-1864",Trunk
str3-7260cx3-acs-root03,Ethernet14/1,str3-acs-serv-62,ens4f0,100000,,Trunk
str3-7260cx3-acs-root03,Ethernet19/1,str3-z9332f-02,Ethernet257,10000,865-896,Trunk
str3-7260cx3-acs-root03,Ethernet15/1,str3-7260cx3-acs-fan-05,Ethernet64/1,100000,"897-923,1089-1120",Trunk
str3-7260cx3-acs-root03,Ethernet16/1,str3-7260cx3-acs-fan-06,Ethernet64/1,100000,924-978,Trunk
str3-7260cx3-acs-root03,Ethernet17/1,str3-7260cx3-acs-fan-07,Ethernet252,100000,979-1033,Trunk
str3-7260cx3-acs-root03,Ethernet18/1,str3-7260cx3-acs-fan-08,Ethernet64/1,100000,1034-1088,Trunk
str3-7260cx3-acs-root03,Ethernet22/1,str3-7060-acs-fan-01,Ethernet25/1,100000,"1157-1598,1601-1612",Trunk
str3-7260cx3-acs-root03,Ethernet24/1,str3-dx010-acs-1,etp32,100000,1669-1698,Trunk
str3-7260cx3-acs-root03,Ethernet25/1,str3-acs-serv-63,ens4f0,100000,"1157-1796,1801-1928,1929-1992",Trunk
str3-7260cx3-acs-root03,Ethernet59/1,str3-acs-serv-64,ens4f1,100000,2089-2142,Trunk
str3-7260cx3-acs-root03,Ethernet26/1,str3-8101-fanout-05,etp31,100000,"1701-1764",Trunk
str3-7260cx3-acs-root03,Ethernet27/1,str3-8101-fanout-06,etp31,100000,"1765-1796",Trunk
str3-7260cx3-acs-root03,Ethernet32/1,str3-msn4600c-acs-06,etp64,100000,1801-1863,Trunk
str3-7260cx3-acs-root03,Ethernet38/1,str3-msn4700-fanout-01,etp2a,100000,2089-2142,Trunk
str3-8102-01,Ethernet0,str3-7260cx3-acs-fan-04,Ethernet1/1,100000,385,Access
str3-8102-01,Ethernet4,str3-7260cx3-acs-fan-04,Ethernet2/1,100000,386,Access
str3-8102-01,Ethernet8,str3-7260cx3-acs-fan-04,Ethernet3/1,100000,387,Access
str3-8102-01,Ethernet12,str3-7260cx3-acs-fan-04,Ethernet4/1,100000,388,Access
str3-8102-01,Ethernet16,str3-7260cx3-acs-fan-04,Ethernet5/1,100000,389,Access
str3-8102-01,Ethernet20,str3-7260cx3-acs-fan-04,Ethernet6/1,100000,390,Access
str3-8102-01,Ethernet24,str3-7260cx3-acs-fan-04,Ethernet7/1,100000,391,Access
str3-8102-01,Ethernet28,str3-7260cx3-acs-fan-04,Ethernet8/1,100000,392,Access
str3-8102-01,Ethernet32,str3-7260cx3-acs-fan-04,Ethernet9/1,100000,393,Access
str3-8102-01,Ethernet36,str3-7260cx3-acs-fan-04,Ethernet10/1,100000,394,Access
str3-8102-01,Ethernet40,str3-7260cx3-acs-fan-04,Ethernet11/1,100000,395,Access
str3-8102-01,Ethernet44,str3-7260cx3-acs-fan-04,Ethernet12/1,100000,396,Access
str3-8102-01,Ethernet48,str3-7260cx3-acs-fan-04,Ethernet13/1,100000,397,Access
str3-8102-01,Ethernet52,str3-7260cx3-acs-fan-04,Ethernet14/1,100000,398,Access
str3-8102-01,Ethernet56,str3-7260cx3-acs-fan-04,Ethernet15/1,100000,399,Access
str3-8102-01,Ethernet60,str3-7260cx3-acs-fan-04,Ethernet16/1,100000,400,Access
str3-8102-01,Ethernet64,str3-7260cx3-acs-fan-04,Ethernet17/1,100000,401,Access
str3-8102-01,Ethernet68,str3-7260cx3-acs-fan-04,Ethernet18/1,100000,402,Access
str3-8102-01,Ethernet72,str3-7260cx3-acs-fan-04,Ethernet19/1,100000,403,Access
str3-8102-01,Ethernet76,str3-7260cx3-acs-fan-04,Ethernet20/1,100000,404,Access
str3-8102-01,Ethernet80,str3-7260cx3-acs-fan-04,Ethernet21/1,100000,405,Access
str3-8102-01,Ethernet84,str3-7260cx3-acs-fan-04,Ethernet22/1,100000,406,Access
str3-8102-01,Ethernet88,str3-7260cx3-acs-fan-04,Ethernet23/1,100000,407,Access
str3-8102-01,Ethernet92,str3-7260cx3-acs-fan-04,Ethernet24/1,100000,408,Access
str3-8102-01,Ethernet96,str3-7260cx3-acs-fan-04,Ethernet25/1,100000,409,Access
str3-8102-01,Ethernet100,str3-7260cx3-acs-fan-04,Ethernet26/1,100000,410,Access
str3-8102-01,Ethernet104,str3-7260cx3-acs-fan-04,Ethernet27/1,100000,411,Access
str3-8102-01,Ethernet108,str3-7260cx3-acs-fan-04,Ethernet28/1,100000,412,Access
str3-8102-01,Ethernet112,str3-7260cx3-acs-fan-04,Ethernet29/1,100000,413,Access
str3-8102-01,Ethernet116,str3-7260cx3-acs-fan-04,Ethernet30/1,100000,414,Access
str3-8102-01,Ethernet120,str3-7260cx3-acs-fan-04,Ethernet31/1,100000,415,Access
str3-8102-01,Ethernet124,str3-7260cx3-acs-fan-04,Ethernet32/1,100000,416,Access
str3-8102-01,Ethernet128,str3-7260cx3-acs-fan-04,Ethernet33/1,100000,417,Access
str3-8102-01,Ethernet132,str3-7260cx3-acs-fan-04,Ethernet34/1,100000,418,Access
str3-8102-01,Ethernet136,str3-7260cx3-acs-fan-04,Ethernet35/1,100000,419,Access
str3-8102-01,Ethernet140,str3-7260cx3-acs-fan-04,Ethernet36/1,100000,420,Access
str3-8102-01,Ethernet144,str3-7260cx3-acs-fan-04,Ethernet37/1,100000,421,Access
str3-8102-01,Ethernet148,str3-7260cx3-acs-fan-04,Ethernet38/1,100000,422,Access
str3-8102-01,Ethernet152,str3-7260cx3-acs-fan-04,Ethernet39/1,100000,423,Access
str3-8102-01,Ethernet156,str3-7260cx3-acs-fan-04,Ethernet40/1,100000,424,Access
str3-8102-01,Ethernet160,str3-7260cx3-acs-fan-04,Ethernet41/1,100000,425,Access
str3-8102-01,Ethernet164,str3-7260cx3-acs-fan-04,Ethernet42/1,100000,426,Access
str3-8102-01,Ethernet168,str3-7260cx3-acs-fan-04,Ethernet43/1,100000,427,Access
str3-8102-01,Ethernet172,str3-7260cx3-acs-fan-04,Ethernet44/1,100000,428,Access
str3-8102-01,Ethernet176,str3-7260cx3-acs-fan-04,Ethernet45/1,100000,429,Access
str3-8102-01,Ethernet180,str3-7260cx3-acs-fan-04,Ethernet46/1,100000,430,Access
str3-8102-01,Ethernet184,str3-7260cx3-acs-fan-04,Ethernet47/1,100000,431,Access
str3-8102-01,Ethernet188,str3-7260cx3-acs-fan-04,Ethernet48/1,100000,432,Access
str3-8102-01,Ethernet192,str3-7260cx3-acs-fan-04,Ethernet49/1,100000,433,Access
str3-8102-01,Ethernet196,str3-7260cx3-acs-fan-04,Ethernet50/1,100000,434,Access
str3-8102-01,Ethernet200,str3-7260cx3-acs-fan-04,Ethernet51/1,100000,435,Access
str3-8102-01,Ethernet204,str3-7260cx3-acs-fan-04,Ethernet52/1,100000,436,Access
str3-8102-01,Ethernet208,str3-7260cx3-acs-fan-04,Ethernet53/1,100000,437,Access
str3-8102-01,Ethernet212,str3-7260cx3-acs-fan-04,Ethernet54/1,100000,438,Access
str3-8102-01,Ethernet216,str3-7260cx3-acs-fan-04,Ethernet55/1,100000,439,Access
str3-8102-01,Ethernet220,str3-7260cx3-acs-fan-04,Ethernet56/1,100000,440,Access
str3-8102-01,Ethernet224,str3-7260cx3-acs-fan-04,Ethernet57/1,100000,441,Access
str3-8102-01,Ethernet228,str3-7260cx3-acs-fan-04,Ethernet58/1,100000,442,Access
str3-8102-01,Ethernet232,str3-7260cx3-acs-fan-04,Ethernet59/1,100000,443,Access
str3-8102-01,Ethernet236,str3-7260cx3-acs-fan-04,Ethernet60/1,100000,444,Access
str3-8102-01,Ethernet240,str3-7260cx3-acs-fan-03,Ethernet9/1,100000,329,Access
str3-8102-01,Ethernet244,str3-7260cx3-acs-fan-03,Ethernet10/1,100000,330,Access
str3-8102-01,Ethernet248,str3-7260cx3-acs-fan-03,Ethernet11/1,100000,331,Access
str3-8102-01,Ethernet252,str3-7260cx3-acs-fan-03,Ethernet12/1,100000,332,Access
str3-8102-05,Ethernet0,str3-7260cx3-acs-fan-01,Ethernet1/1,100000,201,Access
str3-8102-05,Ethernet4,str3-7260cx3-acs-fan-01,Ethernet2/1,100000,202,Access
str3-8102-05,Ethernet8,str3-7260cx3-acs-fan-01,Ethernet3/1,100000,203,Access
str3-8102-05,Ethernet12,str3-7260cx3-acs-fan-01,Ethernet4/1,100000,204,Access
str3-8102-05,Ethernet16,str3-7260cx3-acs-fan-01,Ethernet5/1,100000,205,Access
str3-8102-05,Ethernet20,str3-7260cx3-acs-fan-01,Ethernet6/1,100000,206,Access
str3-8102-05,Ethernet24,str3-7260cx3-acs-fan-01,Ethernet7/1,100000,207,Access
str3-8102-05,Ethernet28,str3-7260cx3-acs-fan-01,Ethernet8/1,100000,208,Access
str3-8102-05,Ethernet32,str3-7260cx3-acs-fan-01,Ethernet9/1,100000,209,Access
str3-8102-05,Ethernet36,str3-7260cx3-acs-fan-01,Ethernet10/1,100000,210,Access
str3-8102-05,Ethernet40,str3-7260cx3-acs-fan-01,Ethernet11/1,100000,211,Access
str3-8102-05,Ethernet44,str3-7260cx3-acs-fan-01,Ethernet12/1,100000,212,Access
str3-8102-05,Ethernet48,str3-7260cx3-acs-fan-01,Ethernet13/1,100000,213,Access
str3-8102-05,Ethernet52,str3-7260cx3-acs-fan-01,Ethernet14/1,100000,214,Access
str3-8102-05,Ethernet56,str3-7260cx3-acs-fan-01,Ethernet15/1,100000,215,Access
str3-8102-05,Ethernet60,str3-7260cx3-acs-fan-01,Ethernet16/1,100000,216,Access
str3-8102-05,Ethernet64,str3-7260cx3-acs-fan-01,Ethernet17/1,100000,217,Access
str3-8102-05,Ethernet68,str3-7260cx3-acs-fan-01,Ethernet18/1,100000,218,Access
str3-8102-05,Ethernet72,str3-7260cx3-acs-fan-01,Ethernet19/1,100000,219,Access
str3-8102-05,Ethernet76,str3-7260cx3-acs-fan-01,Ethernet20/1,100000,220,Access
str3-8102-05,Ethernet80,str3-7260cx3-acs-fan-01,Ethernet21/1,100000,221,Access
str3-8102-05,Ethernet84,str3-7260cx3-acs-fan-01,Ethernet22/1,100000,222,Access
str3-8102-05,Ethernet88,str3-7260cx3-acs-fan-01,Ethernet23/1,100000,223,Access
str3-8102-05,Ethernet92,str3-7260cx3-acs-fan-01,Ethernet24/1,100000,224,Access
