StartDevice,StartPort,EndDevice,Console_type,Console_menu_type,Proxy
str43-0101-0400-05c0,9,str4-7060x6-pe64-root,ssh,cisco_config,
str43-0101-0400-07c0,18,str4-acs-serv-76,ssh,cisco_config,
str43-0101-0400-07c0,13,str4-7060x6-64pe-2,ssh,cisco_config,
str43-0101-0400-05c0,4,str4-7060x6-64pe-fan-2,ssh,cisco_config,
console-196,7,str4-7060x6-64pe-fan-3,ssh,cisco_config,
str43-0101-0400-08c0,13,str4-7060x6-64pe-fan-13,ssh,cisco_config,
str43-0101-0400-07c0,16,str4-7060x6-64pe-fan-14,ssh,cisco_config,
str43-0101-0400-08c0,39,str4-7060x6-64pe-fan-4,ssh,cisco_config,
str43-0101-0400-05c0,13,str4-sn5600-1,ssh,cisco_config,
str43-0101-0400-05c0,14,str4-sn5600-fan-1,ssh,cisco_config,
str43-0101-0400-05c0,16,str4-sn5600-2,ssh,cisco_config,
str43-0101-0400-05c0,17,str4-sn5600-3,ssh,cisco_config,
console-196,6,str4-7060x6-64pe-fan-share-1,ssh,cisco_config,
console-196,13,str4-8122-04,ssh,cisco_config,
str43-0101-0400-08c0,10,str4-7050cx3-fan-1,ssh,cisco_config,
str43-0101-0400-08c0,11,str4-7050cx3-c28s4-1,ssh,cisco_config,
console-199,19,str4-7060x6-64pe-11,ssh,cisco_config,
console-199,32,str4-7060x6-64pe-fan-11,ssh,cisco_config,
console-175,14,str4-7060x6-512-1,ssh,cisco_config,
console-175,15,str4-7060x6-512-fan-1,ssh,cisco_config,
console-175,32,str4-7060x6-512-2,ssh,cisco_config,
console-197,32,str4-7060x6-512-fan-2,ssh,cisco_config,
str43-0101-0400-06c0,25,str4-sn5640-2,ssh,cisco_config,
str43-0101-0400-05c0,22,str4-sn5640-3,ssh,cisco_config,
str43-0101-0400-06c0,15,str4-sn5640-7,ssh,cisco_config,
console-196,26,str4-sn5640-fan-7,ssh,cisco_config,
str43-0101-0400-06c0,16,str4-7060x6-512-7,ssh,cisco_config,
str43-0101-0400-06c0,17,str4-7060x6-512-fan-7,ssh,cisco_config,
str43-0101-0400-08c0,39,str4-7060x6-512-8,ssh,cisco_config,
str43-0101-0400-07c0,15,str4-7060x6-512-9,ssh,cisco_config,
console-81,20,str4-7060x6-512-4,ssh,digi_config,
console-81,19,str4-7060x6-64pe-fan-5,ssh,digi_config,
console-197,16,STR43-7060x6-512-C17-U08,ssh,cisco_config,
console-197,9,STR43-7060x6-512-C17-U10,ssh,cisco_config,
str43-0101-0400-05c0,30,str4-sn5640-fan-2,ssh,cisco_config,
str43-0101-0400-05c0,31,str4-sn5640-fan-3,ssh,cisco_config,
str43-0101-0400-06c0,31,str4-sn5640-5,ssh,cisco_config,
str43-0101-0400-06c0,32,str4-sn5640-4,ssh,cisco_config,
str43-0101-0400-07c0,23,str4-7060x6-512-10,ssh,cisco_config,
str43-0101-0400-07c0,24,str4-7060x6-512-fan-10,ssh,cisco_config,
str43-0101-0400-07c0,29,str4-7060x6-512-11,ssh,cisco_config,
str43-0101-0400-07c0,22,str4-7060x6-512-fan-11,ssh,cisco_config,
console-175,29,str4-sn5640-6,ssh,cisco_config,
str43-0101-0400-06c0,13,str4-sn5640-fan-6,ssh,cisco_config,
str43-0101-0400-07c0,25,str4-7060x6-512-12,ssh,cisco_config,
str43-0101-0400-07c0,26,str4-7060x6-512-fan-12,ssh,cisco_config,
str43-0101-0400-07c0,27,str4-7060x6-512-13,ssh,cisco_config,
str43-0101-0400-07c0,28,str4-7060x6-512-fan-13,ssh,cisco_config,
