Hostname,ManagementIp,HwSku,Type,Protocol,Os
str4-7060x6-pe64-root,10.64.246.30/23,Arista-7060X6-64PE,FanoutRoot,,
str4-acs-serv-70,10.64.246.91/23,TestServ,Server,,
str4-acs-serv-71,10.64.246.92/23,TestServ,Server,,
str4-acs-serv-72,10.64.246.93/23,TestServ,Server,,
str4-acs-serv-73,10.64.246.94/23,TestServ,Server,,
str4-acs-serv-74,10.64.246.124/23,TestServ,Server,,
str4-acs-serv-75,10.64.246.100/23,TestServ,Server,,
str4-acs-serv-13,10.64.247.246/23,TestServ,Server,,
str4-7060x6-64pe-2,10.64.246.4/23,Arista-7060X6-64PE-C256S2,DevSonic,,sonic
str4-7060x6-64pe-fan-2,10.64.246.8/23,Arista-7060X6-64PE-C256S2,FanoutLeafSonic,,sonic
str4-7060x6-64pe-th5p-1,10.64.246.35/23,Arista-7060X6-64PE-C256S2,DevSonic,,sonic
str4-7060x6-64pe-th5p-fan-1,10.64.246.36/23,Arista-7060X6-64PE-C256S2,FanoutLeafSonic,,sonic
str4-sn5600-1,10.64.246.9/23,Mellanox-SN5600-C256X1,DevSonic,,sonic
str4-sn5600-fan-1,10.64.246.12/23,Mellanox-SN5600-C256X1,FanoutLeafSonic,,sonic
pdu-85,10.3.155.85,ApcRPDU,Pdu,snmp,
pdu-86,10.3.155.86,ApcRPDU,Pdu,snmp,
pdu-88,10.3.155.88,Sentry,Pdu,snmp,
pdu-89,10.3.155.89,ApcRPDU,Pdu,snmp,
pdu-90,10.3.155.90,ApcRPDU,Pdu,snmp,
pdu-91,10.3.155.91,ApcRPDU,Pdu,snmp,
pdu-92,10.3.155.92,ApcRPDU,Pdu,snmp,
pdu-93,10.3.155.93,ApcRPDU,Pdu,snmp,
pdu-94,10.3.155.94,Sentry,Pdu,snmp,
pdu-96,10.3.155.96,Sentry,Pdu,snmp,
pdu-97,10.3.155.97,Sentry,Pdu,snmp,
pdu-98,10.3.155.98,Sentry,Pdu,snmp,
pdu-99,10.3.155.99,Sentry4,Pdu,snmp,
pdu-100,10.3.155.100,Sentry4,Pdu,snmp,
pdu-101,10.3.155.101,Sentry4,Pdu,snmp,
pdu-102,10.3.155.102,Sentry4,Pdu,snmp,
pdu-103,10.3.155.103,Sentry4,Pdu,snmp,
pdu-105,10.3.155.105,Sentry4,Pdu,snmp,
pdu-106,10.3.155.106,Sentry4,Pdu,snmp,
pdu-108,10.3.155.108,Sentry4,Pdu,snmp,
pdu-115,10.3.155.115,Sentry,Pdu,snmp,
pdu-116,10.3.155.116,Sentry,Pdu,snmp,
pdu-118,10.3.155.118,Sentry,Pdu,snmp,
pdu-122,10.3.155.122,Sentry,Pdu,snmp,
pdu-123,10.3.155.123,Sentry,Pdu,snmp,
pdu-119,10.3.155.119,Sentry4,Pdu,snmp,
pdu-120,10.3.155.120,Sentry4,Pdu,snmp,
pdu-124,10.3.155.124,Sentry4,Pdu,snmp,
pdu-125,10.3.155.125,Sentry4,Pdu,snmp,
pdu-126,10.3.155.126,Sentry4,Pdu,snmp,
pdu-127,10.3.155.127,Sentry4,Pdu,snmp,
console-80,10.3.145.80,Cisco,ConsoleServer,ssh,
console-178,10.3.145.178,Cisco,ConsoleServer,ssh,
console-182,10.3.145.182,Cisco,ConsoleServer,ssh,
console-184,10.3.145.184,Cisco,ConsoleServer,ssh,
console-194,10.3.145.194,Cisco,ConsoleServer,ssh,
console-196,10.3.145.196,Cisco,ConsoleServer,ssh,
console-197,10.3.145.197,Cisco,ConsoleServer,ssh,
console-199,10.3.145.199,Cisco,ConsoleServer,ssh,
console-212,10.3.145.212,Cisco,ConsoleServer,ssh,
