StartDevice,StartPort,EndDevice,EndPort,BandWidth,VlanID,VlanMode,AutoNeg
str4-7060x6-pe64-root,Ethernet1/1,str4-sn5600-fan-1,Ethernet496,800000,"100-356",Trunk,off
str4-7060x6-pe64-root,Ethernet4/1,str4-8122-fanout-03,etp63a,400000,"357-486",Trunk,off
str4-7060x6-pe64-root,Ethernet2/1,str4-7060x6-64pe-fan-2,Ethernet496,100000,"",Trunk,off
str4-7060x6-pe64-root,Ethernet3/1,str4-7060x6-64pe-fan-3,Ethernet496,100000,"487-744",Trunk,off
str4-7060x6-pe64-root,Ethernet7/1,str4-7060x6-64pe-fan-7,Ethernet496,800000,"",Trunk,off
str4-7060x6-pe64-root,Ethernet8/1,str4-7060x6-64pe-fan-8,Ethernet496,800000,"",Trunk,off
str4-7060x6-pe64-root,Ethernet10/1,str4-7060x6-64pe-fan-share-1,Ethernet496,800000,"",Trunk,off
str4-7060x6-pe64-root,Ethernet49/1,str4-acs-serv-70,ens4f0,100000,"",Trunk,off
str4-7060x6-pe64-root,Ethernet50/1,str4-acs-serv-70,ens4f1,100000,"100-356,487-744",Trunk,off
str4-7060x6-pe64-root,Ethernet51/1,str4-acs-serv-71,enp130s0f0np0,100000,"",Trunk,off
str4-7060x6-pe64-root,Ethernet52/1,str4-acs-serv-71,enp130s0f0np1,100000,"",Trunk,off
str4-7060x6-pe64-root,Ethernet53/1,str4-acs-serv-72,enp130s0f0np0,100000,"",Trunk,off
str4-7060x6-pe64-root,Ethernet54/1,str4-acs-serv-72,enp130s0f0np1,100000,"",Trunk,off
str4-7060x6-pe64-root,Ethernet55/1,str4-acs-serv-73,enp130s0f0np0,100000,"",Trunk,off
str4-7060x6-pe64-root,Ethernet56/1,str4-acs-serv-73,enp130s0f0np1,100000,"",Trunk,off
str4-7060x6-pe64-root,Ethernet57/1,str4-acs-serv-74,enp130s0f0np0,100000,"",Trunk,off
str4-7060x6-pe64-root,Ethernet58/1,str4-acs-serv-74,enp130s0f0np1,100000,"",Trunk,off
str4-7060x6-pe64-root,Ethernet59/1,str4-acs-serv-75,enp130s0f0np0,100000,"",Trunk,off
str4-7060x6-pe64-root,Ethernet60/1,str4-acs-serv-75,enp130s0f0np1,100000,"",Trunk,off
str4-7060x6-pe64-root,Ethernet61/1,str4-acs-serv-13,enp130s0f0,100000,,Trunk,off
str4-7060x6-pe64-root,Ethernet62/1,str4-acs-serv-13,enp130s0f1,100000,,Trunk,off
str4-7060x6-64pe-2,Ethernet0,str4-7060x6-64pe-fan-2,Ethernet0,100000,3400,Access,off
str4-7060x6-64pe-2,Ethernet1,str4-7060x6-64pe-fan-2,Ethernet1,100000,3401,Access,off
str4-7060x6-64pe-2,Ethernet2,str4-7060x6-64pe-fan-2,Ethernet2,100000,3402,Access,off
str4-7060x6-64pe-2,Ethernet3,str4-7060x6-64pe-fan-2,Ethernet3,100000,3403,Access,off
str4-7060x6-64pe-2,Ethernet4,str4-7060x6-64pe-fan-2,Ethernet4,100000,3404,Access,off
str4-7060x6-64pe-2,Ethernet5,str4-7060x6-64pe-fan-2,Ethernet5,100000,3405,Access,off
str4-7060x6-64pe-2,Ethernet6,str4-7060x6-64pe-fan-2,Ethernet6,100000,3406,Access,off
str4-7060x6-64pe-2,Ethernet7,str4-7060x6-64pe-fan-2,Ethernet7,100000,3407,Access,off
str4-7060x6-64pe-2,Ethernet16,str4-7060x6-64pe-fan-2,Ethernet16,100000,3408,Access,off
str4-7060x6-64pe-2,Ethernet17,str4-7060x6-64pe-fan-2,Ethernet17,100000,3409,Access,off
str4-7060x6-64pe-2,Ethernet18,str4-7060x6-64pe-fan-2,Ethernet18,100000,3410,Access,off
str4-7060x6-64pe-2,Ethernet19,str4-7060x6-64pe-fan-2,Ethernet19,100000,3411,Access,off
str4-7060x6-64pe-2,Ethernet20,str4-7060x6-64pe-fan-2,Ethernet20,100000,3412,Access,off
str4-7060x6-64pe-2,Ethernet21,str4-7060x6-64pe-fan-2,Ethernet21,100000,3413,Access,off
str4-7060x6-64pe-2,Ethernet22,str4-7060x6-64pe-fan-2,Ethernet22,100000,3414,Access,off
str4-7060x6-64pe-2,Ethernet23,str4-7060x6-64pe-fan-2,Ethernet23,100000,3415,Access,off
str4-7060x6-64pe-2,Ethernet32,str4-7060x6-64pe-fan-2,Ethernet32,100000,3416,Access,off
str4-7060x6-64pe-2,Ethernet33,str4-7060x6-64pe-fan-2,Ethernet33,100000,3417,Access,off
str4-7060x6-64pe-2,Ethernet34,str4-7060x6-64pe-fan-2,Ethernet34,100000,3418,Access,off
str4-7060x6-64pe-2,Ethernet35,str4-7060x6-64pe-fan-2,Ethernet35,100000,3419,Access,off
str4-7060x6-64pe-2,Ethernet36,str4-7060x6-64pe-fan-2,Ethernet36,100000,3420,Access,off
str4-7060x6-64pe-2,Ethernet37,str4-7060x6-64pe-fan-2,Ethernet37,100000,3421,Access,off
str4-7060x6-64pe-2,Ethernet38,str4-7060x6-64pe-fan-2,Ethernet38,100000,3422,Access,off
str4-7060x6-64pe-2,Ethernet39,str4-7060x6-64pe-fan-2,Ethernet39,100000,3423,Access,off
str4-7060x6-64pe-2,Ethernet48,str4-7060x6-64pe-fan-2,Ethernet48,100000,3424,Access,off
str4-7060x6-64pe-2,Ethernet49,str4-7060x6-64pe-fan-2,Ethernet49,100000,3425,Access,off
str4-7060x6-64pe-2,Ethernet50,str4-7060x6-64pe-fan-2,Ethernet50,100000,3426,Access,off
str4-7060x6-64pe-2,Ethernet51,str4-7060x6-64pe-fan-2,Ethernet51,100000,3427,Access,off
str4-7060x6-64pe-2,Ethernet52,str4-7060x6-64pe-fan-2,Ethernet52,100000,3428,Access,off
str4-7060x6-64pe-2,Ethernet53,str4-7060x6-64pe-fan-2,Ethernet53,100000,3429,Access,off
str4-7060x6-64pe-2,Ethernet54,str4-7060x6-64pe-fan-2,Ethernet54,100000,3430,Access,off
str4-7060x6-64pe-2,Ethernet55,str4-7060x6-64pe-fan-2,Ethernet55,100000,3431,Access,off
str4-7060x6-64pe-2,Ethernet64,str4-7060x6-64pe-fan-2,Ethernet64,100000,3432,Access,off
str4-7060x6-64pe-2,Ethernet65,str4-7060x6-64pe-fan-2,Ethernet65,100000,3433,Access,off
str4-7060x6-64pe-2,Ethernet66,str4-7060x6-64pe-fan-2,Ethernet66,100000,3434,Access,off
str4-7060x6-64pe-2,Ethernet67,str4-7060x6-64pe-fan-2,Ethernet67,100000,3435,Access,off
str4-7060x6-64pe-2,Ethernet68,str4-7060x6-64pe-fan-2,Ethernet68,100000,3436,Access,off
str4-7060x6-64pe-2,Ethernet69,str4-7060x6-64pe-fan-2,Ethernet69,100000,3437,Access,off
str4-7060x6-64pe-2,Ethernet70,str4-7060x6-64pe-fan-2,Ethernet70,100000,3438,Access,off
str4-7060x6-64pe-2,Ethernet71,str4-7060x6-64pe-fan-2,Ethernet71,100000,3439,Access,off
str4-7060x6-64pe-2,Ethernet80,str4-7060x6-64pe-fan-2,Ethernet80,100000,3440,Access,off
str4-7060x6-64pe-2,Ethernet81,str4-7060x6-64pe-fan-2,Ethernet81,100000,3441,Access,off
str4-7060x6-64pe-2,Ethernet82,str4-7060x6-64pe-fan-2,Ethernet82,100000,3442,Access,off
str4-7060x6-64pe-2,Ethernet83,str4-7060x6-64pe-fan-2,Ethernet83,100000,3443,Access,off
str4-7060x6-64pe-2,Ethernet84,str4-7060x6-64pe-fan-2,Ethernet84,100000,3444,Access,off
str4-7060x6-64pe-2,Ethernet85,str4-7060x6-64pe-fan-2,Ethernet85,100000,3445,Access,off
str4-7060x6-64pe-2,Ethernet86,str4-7060x6-64pe-fan-2,Ethernet86,100000,3446,Access,off
str4-7060x6-64pe-2,Ethernet87,str4-7060x6-64pe-fan-2,Ethernet87,100000,3447,Access,off
str4-7060x6-64pe-2,Ethernet96,str4-7060x6-64pe-fan-2,Ethernet96,100000,3448,Access,off
str4-7060x6-64pe-2,Ethernet97,str4-7060x6-64pe-fan-2,Ethernet97,100000,3449,Access,off
str4-7060x6-64pe-2,Ethernet98,str4-7060x6-64pe-fan-2,Ethernet98,100000,3450,Access,off
str4-7060x6-64pe-2,Ethernet99,str4-7060x6-64pe-fan-2,Ethernet99,100000,3451,Access,off
str4-7060x6-64pe-2,Ethernet100,str4-7060x6-64pe-fan-2,Ethernet100,100000,3452,Access,off
str4-7060x6-64pe-2,Ethernet101,str4-7060x6-64pe-fan-2,Ethernet101,100000,3453,Access,off
str4-7060x6-64pe-2,Ethernet102,str4-7060x6-64pe-fan-2,Ethernet102,100000,3454,Access,off
str4-7060x6-64pe-2,Ethernet103,str4-7060x6-64pe-fan-2,Ethernet103,100000,3455,Access,off
str4-7060x6-64pe-2,Ethernet112,str4-7060x6-64pe-fan-2,Ethernet112,100000,3456,Access,off
