StartDevice,StartPort,EndDevice,EndPort
pdu-98,19,str4-7060x6-64pe-2,PSU1
pdu-99,19,str4-7060x6-64pe-2,PSU2
pdu-98,18,str4-7060x6-64pe-fan-2,PSU1
pdu-99,18,str4-7060x6-64pe-fan-2,PSU2
pdu-115,46,str4-7060x6-64pe-th5p-1,PSU1
pdu-116,46,str4-7060x6-64pe-th5p-1,PSU2
pdu-115,47,str4-7060x6-64pe-th5p-fan-1,PSU1
pdu-116,47,str4-7060x6-64pe-th5p-fan-1,PSU2
pdu-98,20,str4-sn5600-1,PSU1
pdu-99,20,str4-sn5600-1,PSU2
pdu-98,22,str4-sn5600-fan-1,PSU1
pdu-99,22,str4-sn5600-fan-1,PSU2
pdu-108,1,str4-acs-serv-70,PSU1
pdu-108,2,str4-acs-serv-71,PSU1
pdu-108,3,str4-acs-serv-72,PSU1
pdu-108,4,str4-acs-serv-73,PSU1
pdu-108,5,str4-acs-serv-74,PSU1
pdu-108,6,str4-acs-serv-75,PSU1
pdu-100,15,str4-acs-serv-13,PSU1
