StartDevice,StartPort,EndDevice,Console_type,Console_menu_type,Proxy
console-82,10,str-7170-acs-01,ssh,digi_config,
console-82,32,str-7170-acs-02,ssh,digi_config,
console-82,30,str-7260cx3-acs-1,ssh,digi_config,
console-82,1,str-a7050-acs-3,ssh,digi_config,
console-82,36,str-a7060cx-acs-1,ssh,digi_config,
console-82,18,str-a7060cx-acs-10,ssh,digi_config,
console-82,8,str-agc7648-acs-1,ssh,digi_config,
console-212,15,str-dcs-7050cx3m-32s-01,ssh,,
console-194,7,str-nokia-acs-1,ssh,,
console-81,8,str-msn2700-01,ssh,digi_config,
console-81,21,str-msn2700-02,ssh,digi_config,
console-179,3,str-msn2700-20,ssh,,
console-212,14,str-msn2700-22,ssh,,
console-80,15,str-n9232-acs-1,ssh,,
console-82,16,str-n9232-acs-3,ssh,digi_config,
console-80,48,str-dx010-acs-1,ssh,,
console-81,32,str-s6000-acs-10,ssh,digi_config,
console-81,30,str-s6000-acs-11,ssh,digi_config,
console-81,16,str-s6000-on-01,ssh,digi_config,
console-81,10,str-7050qx-32s-acs-04,ssh,digi_config,
console-81,28,str-s6100-acs-1,ssh,digi_config,
console-81,29,str-7260-18,ssh,digi_config,
console-81,9,str-7260-02,ssh,digi_config,
console-81,23,str-7260-08,ssh,digi_config,
console-81,31,str-7260-16,ssh,digi_config,
console-81,27,str-7260-17,ssh,digi_config,
console-80,14,str-7260cx3-11,ssh,,
console-212,16,str-dcs-7050cx3m-32s-02,ssh,,
console-213,22,str-msn4700-01,ssh,,
console-213,23,str-msn4700-fanout-01,ssh,,
console-179,7,str-msn2700a1-03,ssh,,
console-178,16,str-msn4700-02,ssh,cisco_config,
console-178,12,str-msn4700-fanout-02,ssh,cisco_config,
console-194,16,str-7060x6-64pe-stress-01,ssh,cisco_config,
console-194,17,str-7060x6-64pe-stress-02,ssh,cisco_config,
console-194,13,str-7060x6-64pe-stress-03,ssh,cisco_config,
console-194,6,str-7060x6-64pe-stress-04,ssh,cisco_config,
console-194,20,str-7060x6-64pe-stress-11,ssh,cisco_config,
console-194,18,str-7060x6-64pe-stress-12,ssh,cisco_config,
console-185,7,msr-ixia-aresone-800ge-1,ssh,,
console-185,8,msr-ixia-aresone-800ge-2,ssh,,
console-185,9,msr-ixia-aresone-800ge-3,ssh,,
console-185,12,msr-ixia-aresone-800ge-4,ssh,,
console-185,17,msr-ixia-aresone-800ge-5,ssh,,
console-185,18,msr-ixia-aresone-800ge-6,ssh,,
console-185,22,msr-ixia-aresone-800ge-7,ssh,,
console-185,23,msr-ixia-aresone-800ge-8,ssh,,
