Hostname,ManagementIp,HwSku,Type,Protocol,Os
str-msn2700-01,10.3.146.215/24,Mellanox-SN2700,DevSonic,,sonic
str-msn2700-02,10.3.146.163/24,Mellanox-SN2700,DevSonic,,sonic
str-msn2700a1-03,10.64.246.13/24,Mellanox-SN2700-A1,DevSonic,,sonic
str-a7060cx-acs-10,10.64.247.240/23,Arista-7060CX-32S-C32,DevSonic,,sonic
str-a7060cx-acs-1,10.64.247.14/23,Arista-7060CX-32S-D48C8,DevSonic,,sonic
str-7260cx3-acs-1,10.64.247.224/23,Arista-7260CX3-D108C8,DevSonic,,sonic
str-msn2700-20,10.64.247.235/23,Mellanox-SN2700-D48C8,DevSonic,,sonic
str-msn2700-22,10.64.247.236/23,Mellanox-SN2700,DevSonic,,sonic
str-agc7648-acs-1,10.64.246.40/23,Delta-AGC7648,DevSonic,,sonic
str-msn4700-01,10.3.146.206/24,Mellanox-SN4700-O32,DevSonic,,sonic
str-msn4700-fanout-01,10.3.146.204/24,Mellanox-SN4700-O32,FanoutLeafSonic,,sonic
str-msn4700-02,10.64.247.80/23,Mellanox-SN4700-O32,DevSonic,,sonic
str-msn4700-fanout-02,10.64.247.79/23,Mellanox-SN4700-O32,FanoutLeafSonic,,sonic
str-7060-cx32-1,10.3.146.165/23,Arista-7060CX-32S-D48C8,DevSonic,,sonic
str-7260-08,10.3.146.91/24,Arista-7260CX3,FanoutLeaf,,
str-7260cx3-11,10.3.146.223/24,Arista-7260CX3-64,FanoutRoot,,
str-7260-24,10.64.247.254/23,Arista-7260CX3,FanoutLeaf,,
str2-7260cx3-d21-u22,10.3.155.72/26,Arista-7260CX3,FanoutLeaf,,sonic
str-7250x3b-1,10.3.155.66/26,Nokia-IXR7250-X3B,DevSonic,,
str-7250x3b-2,10.3.155.67/26,Nokia-IXR7250-X3B,DevSonic,,
str-7280dr3-1,10.3.155.68/26,Arista-7280DR3AM-36,DevSonic,,
str-7280dr3-4,10.3.155.71/26,Arista-7280DR3AM-36,DevSonic,,
str-7060cx-32s-02,10.64.247.229/23,Arista-7060CX-32S,FanoutLeaf,,
str-7060cx-32s-03,10.64.247.230/23,Arista-7060CX-32S,FanoutLeaf,,
str-7060cx-32s-04,10.64.247.231/23,Arista-7060CX-32S,FanoutLeaf,,
str-7060cx-32s-05,10.64.247.232/23,Arista-7060CX-32S,FanoutLeaf,,
str-7060cx-32s-06,10.64.247.233/23,Arista-7060CX-32S,FanoutLeaf,,
str-7060cx-32s-07,10.64.247.234/23,Arista-7060CX-32S,FanoutLeaf,,
str-7060cx-32s-08,10.64.247.238/23,Arista-7060CX-32S-C32,FanoutLeafSonic,,sonic
str-7060cx-32s-17,10.64.247.13/23,Arista-7060CX-32S,FanoutLeaf,,
str-7060cx-32s-18,10.64.247.22/23,Arista-7060CX-32S,FanoutLeaf,,
str-7260cx3-fan-06,10.3.146.25/24,Arista-7260CX3,FanoutLeaf,,
str-acs-serv-01,10.3.146.67/24,TestServ,Server,,
str-acs-serv-02,10.3.146.73/24,TestServ,Server,,
str-acs-serv-03,10.64.247.45/23,TestServ,Server,,
str-acs-serv-05,10.64.246.29/23,TestServ,Server,,
str-acs-serv-06,10.64.247.1/23,TestServ,Server,,
str-acs-serv-07,10.64.246.28/23,TestServ,Server,,
str-acs-serv-08,10.64.247.0/23,TestServ,Server,,
str-acs-serv-11,10.64.247.244/23,TestServ,Server,,
str-acs-serv-14,10.64.247.30/23,TestServ,Server,,
str-acs-serv-15,10.64.247.31/23,TestServ,Server,,
str-dcs-7060x6-64pe-b-ehw-f-c09-u27,10.3.155.74/26,Arista-7060X6-64PE-B-P64,DevSonic,,sonic
str-dcs-7060x6-64pe-b-ehw-f-c09-u29,10.3.155.75/26,Arista-7060X6-64PE-B-P64,DevSonic,,sonic
pdu-96,10.3.155.96,Sentry4,Pdu,snmp,
pdu-97,10.3.154.98,Sentry4,Pdu,snmp,
pdu-98,10.3.154.99,Sentry4,Pdu,snmp,
pdu-99,10.3.154.100,Sentry4,Pdu,snmp,
pdu-100,10.3.154.101,Sentry4,Pdu,snmp,
pdu-101,10.3.154.102,Sentry4,Pdu,snmp,
pdu-102,10.3.154.103,Sentry4,Pdu,snmp,
pdu-103,10.3.154.104,Sentry4,Pdu,snmp,
pdu-104,10.3.154.105,Sentry4,Pdu,snmp,
pdu-105,10.3.154.106,Sentry4,Pdu,snmp,
pdu-106,10.3.154.107,Sentry4,Pdu,snmp,
pdu-107,10.3.154.108,Sentry4,Pdu,snmp,
pdu-108,10.3.154.109,Sentry4,Pdu,snmp,
pdu-109,10.3.154.110,Sentry4,Pdu,snmp,
pdu-110,10.3.154.111,Sentry4,Pdu,snmp,
pdu-111,10.3.154.112,Sentry4,Pdu,snmp,
pdu-112,10.3.154.113,Sentry4,Pdu,snmp,
pdu-113,10.3.154.114,Sentry4,Pdu,snmp,
pdu-114,10.3.154.115,Sentry4,Pdu,snmp,
pdu-115,10.3.154.116,Sentry4,Pdu,snmp,
pdu-116,10.3.154.117,Sentry4,Pdu,snmp,
pdu-117,10.3.154.118,Sentry4,Pdu,snmp,
pdu-118,10.3.154.119,Sentry4,Pdu,snmp,
pdu-119,10.3.154.120,Sentry4,Pdu,snmp,
pdu-120,10.3.154.121,Sentry4,Pdu,snmp,
pdu-121,10.3.154.122,Sentry4,Pdu,snmp,
pdu-122,10.3.154.123,Sentry4,Pdu,snmp,
pdu-135,10.3.154.77,Sentry4,Pdu,snmp,
Sentry_6224b9,10.3.154.75,Sentry4,Pdu,snmp,
console-80,10.3.145.80,Cisco,ConsoleServer,ssh,
console-81,10.3.145.81,Cisco,ConsoleServer,ssh,
console-82,10.3.145.82,Cisco,ConsoleServer,ssh,
console-178,10.3.145.178,Cisco,ConsoleServer,ssh,
console-179,10.3.145.179,Cisco,ConsoleServer,ssh,
console-194,10.3.145.194,Cisco,ConsoleServer,ssh,
console-199,10.3.145.199,Cisco,ConsoleServer,ssh,
console-212,10.3.145.212,Cisco,ConsoleServer,ssh,
console-213,10.3.145.184,Cisco,ConsoleServer,ssh,
console-196,10.3.145.196,Cisco,ConsoleServer,ssh,
str43-0101-0400-07c0,10.3.150.241,Cisco,ConsoleServer,ssh,
str-8101-D04-U36,10.64.246.197/23,Cisco-8101-O32,DevSonic,,sonic
