StartDevice,StartPort,EndDevice,EndPort,BandWidth,VlanID,VlanMode,AutoNeg
str-7260cx3-11,Ethernet3/1,str-7260cx3-fan-06,Ethernet64/1,100000,"2525-2556,3006-3061,3905-3934",Trunk,off
str-7260cx3-11,Ethernet14/1,str-acs-serv-11,p4p1,40000,,Trunk,off
str-7260cx3-11,Ethernet17/1,str-acs-serv-03,ens4f0,40000,,Trunk,off
str-7260cx3-11,Ethernet18/1,str-acs-serv-03,p5p2,40000,,Trunk,off
str-7260cx3-11,Ethernet19/1,str-acs-serv-01,p4p1,40000,,Trunk,off
str-7260cx3-11,Ethernet20/1,str-acs-serv-01,p4p2,40000,,Trunk,off
str-7260cx3-11,Ethernet21/1,str-acs-serv-02,p4p1,40000,,Trunk,off
str-7260cx3-11,Ethernet22/1,str-acs-serv-02,p4p2,40000,,Trunk,off
str-7260cx3-11,Ethernet23/1,str-acs-serv-03,p4p1,40000,,Trunk,off
str-7260cx3-11,Ethernet24/1,str-acs-serv-03,p4p2,40000,,Trunk,off
str-7260cx3-11,Ethernet25/1,str-acs-serv-05,p4p1,40000,,Trunk,off
str-7260cx3-11,Ethernet26/1,str-acs-serv-06,p4p1,40000,,Trunk,off
str-7260cx3-11,Ethernet27/1,str-acs-serv-07,p4p1,40000,,Trunk,off
str-7260cx3-11,Ethernet31/1,str-7060cx-32s-18,Ethernet32/1,100000,1949-1978,Trunk,off
str-7260cx3-11,Ethernet33/1,str-7060cx-32s-04,Ethernet31/1,40000,"2065-2105,1717-1728,1945-1948",Trunk,off
str-7260cx3-11,Ethernet35/1,str-7060cx-32s-17,Ethernet32/1,100000,1389-1440,Trunk,off
str-7260cx3-11,Ethernet45/1,str-7060cx-32s-08,Ethernet124,100000,1559-1576,Trunk,off
str-7260cx3-11,Ethernet47/1,str-7060cx-32s-07,Ethernet32/1,100000,"1385-1388,1530-1558",Trunk,off
str-7260cx3-11,Ethernet49/1,str-7060cx-32s-06,Ethernet32/1,100000,1501-1529,Trunk,off
str-7260cx3-11,Ethernet51/1,str-7060cx-32s-05,Ethernet32/1,100000,"1481-1500,2106-2120",Trunk,off
str-7260cx3-11,Ethernet55/1,str-7060cx-32s-03,Ethernet32/1,100000,1659-1716,Trunk,off
str-7260cx3-11,Ethernet57/1,str-7260-24,Ethernet64/1,100000,681-712,Trunk,off
str-7260cx3-11,Ethernet9/1,str-7060cx-32s-02,Ethernet32/1,100000,1609-1658,Trunk,off
str-7260cx3-11,Ethernet58/1,str-7260-08,Ethernet64/1,100000,"349-360,521-536,713-744",Trunk,off
str-7260cx3-11,Ethernet53/1,str-msn4700-fanout-01,Ethernet248,100000,3873-3903,Trunk,off
str-7260cx3-11,Ethernet64/1,str-msn4700-fanout-02,Ethernet248,100000,3470-3500,Trunk,off
str-msn2700-01,Ethernet0,str-7260-24,Ethernet1/1,100000,681,Access,
str-msn2700-01,Ethernet4,str-7260-24,Ethernet2/1,100000,682,Access,
str-msn2700-01,Ethernet8,str-7260-24,Ethernet3/1,100000,683,Access,
str-msn2700-01,Ethernet12,str-7260-24,Ethernet4/1,100000,684,Access,
str-msn2700-01,Ethernet16,str-7260-24,Ethernet5/1,100000,685,Access,
str-msn2700-01,Ethernet20,str-7260-24,Ethernet6/1,100000,686,Access,
str-msn2700-01,Ethernet24,str-7260-24,Ethernet7/1,100000,687,Access,
str-msn2700-01,Ethernet28,str-7260-24,Ethernet8/1,100000,688,Access,
str-msn2700-01,Ethernet32,str-7260-24,Ethernet9/1,100000,689,Access,
str-msn2700-01,Ethernet36,str-7260-24,Ethernet10/1,100000,690,Access,
str-msn2700-01,Ethernet40,str-7260-24,Ethernet11/1,100000,691,Access,
str-msn2700-01,Ethernet44,str-7260-24,Ethernet12/1,100000,692,Access,
str-msn2700-01,Ethernet48,str-7260-24,Ethernet13/1,100000,693,Access,
str-msn2700-01,Ethernet52,str-7260-24,Ethernet14/1,100000,694,Access,
str-msn2700-01,Ethernet56,str-7260-24,Ethernet15/1,100000,695,Access,
str-msn2700-01,Ethernet60,str-7260-24,Ethernet16/1,100000,696,Access,
str-msn2700-01,Ethernet64,str-7260-24,Ethernet17/1,100000,697,Access,
str-msn2700-01,Ethernet68,str-7260-24,Ethernet18/1,100000,698,Access,
str-msn2700-01,Ethernet72,str-7260-24,Ethernet19/1,100000,699,Access,
str-msn2700-01,Ethernet76,str-7260-24,Ethernet20/1,100000,700,Access,
str-msn2700-01,Ethernet80,str-7260-24,Ethernet21/1,100000,701,Access,
str-msn2700-01,Ethernet84,str-7260-24,Ethernet22/1,100000,702,Access,
str-msn2700-01,Ethernet88,str-7260-24,Ethernet23/1,100000,703,Access,
str-msn2700-01,Ethernet92,str-7260-24,Ethernet24/1,100000,704,Access,
str-msn2700-01,Ethernet96,str-7260-24,Ethernet25/1,100000,705,Access,
str-msn2700-01,Ethernet100,str-7260-24,Ethernet26/1,100000,706,Access,
str-msn2700-01,Ethernet104,str-7260-24,Ethernet27/1,100000,707,Access,
str-msn2700-01,Ethernet108,str-7260-24,Ethernet28/1,100000,708,Access,
str-msn2700-01,Ethernet112,str-7260-24,Ethernet29/1,100000,709,Access,
str-msn2700-01,Ethernet116,str-7260-24,Ethernet30/1,100000,710,Access,
str-msn2700-01,Ethernet120,str-7260-24,Ethernet31/1,100000,711,Access,
str-msn2700-01,Ethernet124,str-7260-24,Ethernet32/1,100000,712,Access,
str-msn2700-02,Ethernet0,str-7260-08,Ethernet1/1,100000,713,Access,
str-msn2700-02,Ethernet4,str-7260-08,Ethernet2/1,100000,714,Access,
str-msn2700-02,Ethernet8,str-7260-08,Ethernet3/1,100000,715,Access,
str-msn2700-02,Ethernet12,str-7260-08,Ethernet4/1,100000,716,Access,
str-msn2700-02,Ethernet16,str-7260-08,Ethernet5/1,100000,717,Access,
str-msn2700-02,Ethernet20,str-7260-08,Ethernet6/1,100000,718,Access,
str-msn2700-02,Ethernet24,str-7260-08,Ethernet7/1,100000,719,Access,
str-msn2700-02,Ethernet28,str-7260-08,Ethernet8/1,100000,720,Access,
str-msn2700-02,Ethernet32,str-7260-08,Ethernet9/1,100000,721,Access,
str-msn2700-02,Ethernet36,str-7260-08,Ethernet10/1,100000,722,Access,
str-msn2700-02,Ethernet40,str-7260-08,Ethernet11/1,100000,723,Access,
str-msn2700-02,Ethernet44,str-7260-08,Ethernet12/1,100000,724,Access,
str-msn2700-02,Ethernet48,str-7260-08,Ethernet13/1,100000,725,Access,
str-msn2700-02,Ethernet52,str-7260-08,Ethernet14/1,100000,726,Access,
str-msn2700-02,Ethernet56,str-7260-08,Ethernet15/1,100000,727,Access,
str-msn2700-02,Ethernet60,str-7260-08,Ethernet16/1,100000,728,Access,
str-msn2700-02,Ethernet64,str-7260-08,Ethernet17/1,100000,729,Access,
str-msn2700-02,Ethernet68,str-7260-08,Ethernet18/1,100000,730,Access,
str-msn2700-02,Ethernet72,str-7260-08,Ethernet19/1,100000,731,Access,
str-msn2700-02,Ethernet76,str-7260-08,Ethernet20/1,100000,732,Access,
str-msn2700-02,Ethernet80,str-7260-08,Ethernet21/1,100000,733,Access,
str-msn2700-02,Ethernet84,str-7260-08,Ethernet22/1,100000,734,Access,
str-msn2700-02,Ethernet88,str-7260-08,Ethernet23/1,100000,735,Access,
str-msn2700-02,Ethernet92,str-7260-08,Ethernet24/1,100000,736,Access,
str-msn2700-02,Ethernet96,str-7260-08,Ethernet25/1,100000,737,Access,
str-msn2700-02,Ethernet100,str-7260-08,Ethernet26/1,100000,738,Access,
str-msn2700-02,Ethernet104,str-7260-08,Ethernet27/1,100000,739,Access,
str-msn2700-02,Ethernet108,str-7260-08,Ethernet28/1,100000,740,Access,
str-msn2700-02,Ethernet112,str-7260-08,Ethernet29/1,100000,741,Access,
str-msn2700-02,Ethernet116,str-7260-08,Ethernet30/1,100000,742,Access,
str-msn2700-02,Ethernet120,str-7260-08,Ethernet31/1,100000,743,Access,
str-msn2700-02,Ethernet124,str-7260-08,Ethernet32/1,100000,744,Access,
str-msn2700a1-03,Ethernet0,str-7260cx3-fan-06,Ethernet33/1,100000,3905,Access,
str-msn2700a1-03,Ethernet4,str-7260cx3-fan-06,Ethernet34/1,100000,3906,Access,
str-msn2700a1-03,Ethernet8,str-7260cx3-fan-06,Ethernet35/1,100000,3907,Access,
str-msn2700a1-03,Ethernet12,str-7260cx3-fan-06,Ethernet36/1,100000,3908,Access,
str-msn2700a1-03,Ethernet16,str-7260cx3-fan-06,Ethernet37/1,100000,3909,Access,
str-msn2700a1-03,Ethernet20,str-7260cx3-fan-06,Ethernet38/1,100000,3910,Access,
str-msn2700a1-03,Ethernet24,str-7260cx3-fan-06,Ethernet39/1,100000,3911,Access,on
str-msn2700a1-03,Ethernet28,str-7260cx3-fan-06,Ethernet40/1,100000,3912,Access,on
str-msn2700a1-03,Ethernet32,str-7260cx3-fan-06,Ethernet41/1,100000,3913,Access,on
str-msn2700a1-03,Ethernet36,str-7260cx3-fan-06,Ethernet42/1,100000,3914,Access,on
str-msn2700a1-03,Ethernet40,str-7260cx3-fan-06,Ethernet43/1,100000,3915,Access,
str-msn2700a1-03,Ethernet44,str-7260cx3-fan-06,Ethernet44/1,100000,3916,Access,
str-msn2700a1-03,Ethernet48,str-7260cx3-fan-06,Ethernet45/1,100000,3917,Access,
str-msn2700a1-03,Ethernet52,str-7260cx3-fan-06,Ethernet46/1,100000,3918,Access,
str-msn2700a1-03,Ethernet56,str-7260cx3-fan-06,Ethernet47/1,100000,3919,Access,
str-msn2700a1-03,Ethernet60,str-7260cx3-fan-06,Ethernet48/1,100000,3920,Access,
str-msn2700a1-03,Ethernet64,str-7260cx3-fan-06,Ethernet49/1,100000,3921,Access,
str-msn2700a1-03,Ethernet68,str-7260cx3-fan-06,Ethernet50/1,100000,3922,Access,
str-msn2700a1-03,Ethernet72,str-7260cx3-fan-06,Ethernet51/1,100000,3923,Access,
str-msn2700a1-03,Ethernet76,str-7260cx3-fan-06,Ethernet52/1,100000,3924,Access,
str-msn2700a1-03,Ethernet80,str-7260cx3-fan-06,Ethernet53/1,100000,3925,Access,
str-msn2700a1-03,Ethernet84,str-7260cx3-fan-06,Ethernet54/1,100000,3926,Access,
str-msn2700a1-03,Ethernet88,str-7260cx3-fan-06,Ethernet55/1,100000,3927,Access,
str-msn2700a1-03,Ethernet92,str-7260cx3-fan-06,Ethernet56/1,100000,3928,Access,
str-msn2700a1-03,Ethernet96,str-7260cx3-fan-06,Ethernet57/1,100000,3929,Access,
str-msn2700a1-03,Ethernet100,str-7260cx3-fan-06,Ethernet58/1,100000,3930,Access,
str-msn2700a1-03,Ethernet104,str-7260-08,Ethernet33/1,100000,745,Access,
str-msn2700a1-03,Ethernet108,str-7260-08,Ethernet34/1,100000,746,Access,
str-msn2700a1-03,Ethernet112,str-7260cx3-fan-06,Ethernet59/1,100000,3931,Access,
str-msn2700a1-03,Ethernet116,str-7260cx3-fan-06,Ethernet60/1,100000,3932,Access,
str-msn2700a1-03,Ethernet120,str-7260cx3-fan-06,Ethernet61/1,100000,3933,Access,
str-msn2700a1-03,Ethernet124,str-7260cx3-fan-06,Ethernet62/1,100000,3934,Access,
str-7260cx3-acs-1,Ethernet0,str-7060cx-32s-02,Ethernet1/1,50000,1609,Access,
str-7260cx3-acs-1,Ethernet2,str-7060cx-32s-02,Ethernet1/3,50000,1610,Access,
str-7260cx3-acs-1,Ethernet4,str-7060cx-32s-02,Ethernet2/1,50000,1611,Access,
str-7260cx3-acs-1,Ethernet6,str-7060cx-32s-02,Ethernet2/3,50000,1612,Access,
str-7260cx3-acs-1,Ethernet8,str-7060cx-32s-02,Ethernet3/1,50000,1613,Access,
str-7260cx3-acs-1,Ethernet10,str-7060cx-32s-02,Ethernet3/3,50000,1614,Access,
str-7260cx3-acs-1,Ethernet12,str-7060cx-32s-02,Ethernet4/1,50000,1615,Access,
str-7260cx3-acs-1,Ethernet14,str-7060cx-32s-02,Ethernet4/3,50000,1616,Access,
str-7260cx3-acs-1,Ethernet16,str-7060cx-32s-02,Ethernet5/1,50000,1617,Access,
str-7260cx3-acs-1,Ethernet18,str-7060cx-32s-02,Ethernet5/3,50000,1618,Access,
str-7260cx3-acs-1,Ethernet20,str-7060cx-32s-02,Ethernet6/1,50000,1619,Access,
str-7260cx3-acs-1,Ethernet22,str-7060cx-32s-02,Ethernet6/3,50000,1620,Access,
str-7260cx3-acs-1,Ethernet24,str-7060cx-32s-02,Ethernet7/1,50000,1621,Access,
str-7260cx3-acs-1,Ethernet26,str-7060cx-32s-02,Ethernet7/3,50000,1622,Access,
str-7260cx3-acs-1,Ethernet28,str-7060cx-32s-02,Ethernet8/1,50000,1623,Access,
str-7260cx3-acs-1,Ethernet30,str-7060cx-32s-02,Ethernet8/3,50000,1624,Access,
str-7260cx3-acs-1,Ethernet32,str-7060cx-32s-02,Ethernet9/1,50000,1625,Access,
str-7260cx3-acs-1,Ethernet34,str-7060cx-32s-02,Ethernet9/3,50000,1626,Access,
