StartDevice,StartPort,EndDevice,EndPort
pdu-107,36,str-7260cx3-acs-1,PSU1
pdu-108,36,str-7260cx3-acs-1,PSU2
pdu-104,11,str-a7050-acs-3,PSU1
pdu-105,11,str-a7050-acs-3,PSU2
pdu-109,18,str-a7060cx-acs-1,PSU1
pdu-109,17,str-a7060cx-acs-1,PSU2
pdu-107,21,str-a7060cx-acs-10,PSU1
pdu-108,21,str-a7060cx-acs-10,PSU2
pdu-105,32,str-agc7648-acs-1,PSU1
pdu-110,39,str-dx010-acs-1,PSU1
pdu-110,40,str-dx010-acs-1,PSU2
pdu-102,26,str-msn2700-01,PSU1
pdu-103,26,str-msn2700-01,PSU2
pdu-102,36,str-msn2700-02,PSU1
pdu-103,36,str-msn2700-02,PSU2
pdu-107,29,str-msn2700-20,PSU1
pdu-108,29,str-msn2700-20,PSU2
pdu-107,27,str-msn2700-22,PSU1
pdu-108,27,str-msn2700-22,PSU2
pdu-99,42,str-s6000-acs-10,PSU1
pdu-98,42,str-s6000-acs-10,PSU2
pdu-99,37,str-s6000-acs-11,PSU1
pdu-98,37,str-s6000-acs-11,PSU2
pdu-97,25,str-7050qx-32s-acs-04,PSU1
pdu-96,25,str-7050qx-32s-acs-04,PSU2
pdu-99,31,str-s6100-acs-1,PSU1
pdu-98,31,str-s6100-acs-1,PSU2
pdu-107,35,str-7060cx-32s-02,PSU1
pdu-108,35,str-7060cx-32s-02,PSU2
pdu-107,34,str-7060cx-32s-03,PSU1
pdu-108,34,str-7060cx-32s-03,PSU2
pdu-107,33,str-7060cx-32s-04,PSU1
pdu-108,33,str-7060cx-32s-04,PSU2
pdu-107,25,str-7060cx-32s-05,PSU1
pdu-108,25,str-7060cx-32s-05,PSU2
pdu-107,24,str-7060cx-32s-06,PSU1
pdu-108,24,str-7060cx-32s-06,PSU2
pdu-107,22,str-7060cx-32s-07,PSU1
pdu-108,22,str-7060cx-32s-07,PSU2
pdu-107,20,str-7060cx-32s-08,PSU1
pdu-108,20,str-7060cx-32s-08,PSU2
pdu-107,30,str-7060cx-32s-17,PSU1
pdu-108,30,str-7060cx-32s-17,PSU2
pdu-109,41,str-7060cx-32s-18,PSU1
pdu-110,41,str-7060cx-32s-18,PSU2
pdu-109,38,str-7060cx-32s-21,PSU1
pdu-110,38,str-7060cx-32s-21,PSU2
pdu-105,28,str-7060cx-32s-22,PSU1
pdu-106,28,str-7060cx-32s-22,PSU2
pdu-97,22,str-7260-02,PSU1
pdu-96,22,str-7260-02,PSU2
pdu-102,35,str-7260-08,PSU1
pdu-103,35,str-7260-08,PSU2
pdu-99,39,str-7260-16,PSU1
pdu-98,39,str-7260-16,PSU2
pdu-99,28,str-7260-17,PSU1
pdu-98,28,str-7260-17,PSU2
pdu-99,34,str-7260-18,PSU1
pdu-98,34,str-7260-18,PSU2
pdu-102,24,str-7260-24,PSU1
pdu-103,24,str-7260-24,PSU2
pdu-107,10,str-7260cx3-fan-06,PSU1
pdu-101,27,str-acs-serv-01,PSU1
pdu-101,25,str-acs-serv-02,PSU1
pdu-99,21,str-acs-serv-03,PSU1
pdu-100,21,str-acs-serv-03,PSU2
pdu-100,32,str-acs-serv-06,PSU1
pdu-100,31,str-acs-serv-07,PSU1
pdu-100,19,str-acs-serv-11,PSU1
pdu-100,15,str-acs-serv-13,PSU1
pdu-100,11,str-acs-serv-14,PSU1
pdu-100,10,str-acs-serv-15,PSU1
pdu-101,40,str-msn4700-01,PSU1
pdu-100,40,str-msn4700-01,PSU2
pdu-100,34,str-msn4700-fanout-01,PSU1
pdu-101,37,str-msn4700-fanout-01,PSU2
pdu-108,23,str-msn2700a1-03,PSU1
pdu-107,23,str-msn2700a1-03,PSU2
pdu-97,39,str-msn4700-02,PSU1
pdu-96,39,str-msn4700-02,PSU2
pdu-97,38,str-msn4700-fanout-02,PSU1
pdu-96,38,str-msn4700-fanout-02,PSU2
