StartDevice,StartPort,EndDevice,EndPort,EndFeed
pdu-16,28,svcstr2-8800-sup-1,PSU1,
pdu-16,25,svcstr2-8800-sup-1,PSU2,A
pdu-127,24,svcstr2-8800-sup-1,PSU2,B
pdu-127,27,svcstr2-8800-sup-1,PSU3,
pdu-16,24,svcstr2-8800-sup-1,PSU4,A
pdu-16,23,svcstr2-8800-sup-1,PSU4,B
pdu-127,23,svcstr2-8800-sup-1,PSU5,A
pdu-16,26,svcstr2-8800-sup-1,PSU5,B
pdu-127,28,svcstr2-8800-sup-1,PSU6,A
pdu-127,26,svcstr2-8800-sup-1,PSU6,B
pdu-16,22,svcstr2-8800-sup-1,PSU7,
pdu-127,22,svcstr2-8800-sup-1,PSU8,A
pdu-16,27,svcstr2-8800-sup-1,PSU8,B
pdu-127,25,svcstr2-8800-sup-1,PSU9,
