StartDevice,StartPort,EndDevice,Console_type,Console_menu_type,Proxy
console-5,9,svcstr-n3164-acs-1,ssh,,
console-5,7,svcstr-n3164-acs-2,ssh,,
console-5,28,svcstr-7050-acs-1,ssh,,
console-5,26,svcstr-7050-acs-2,ssh,,
console-5,31,svcstr-7050-acs-3,ssh,,
console-5,29,svcstr-7050-acs-4,ssh,,
console-5,18,svcstr-7250-sup-1,ssh,,
console-5,42,svcstr-7250-lc1-1,ssh,,
console-5,43,svcstr-7250-lc2-1,ssh,,
console-5,44,svcstr-7250-lc3-1,ssh,,
console-5,45,svcstr-7250-lc4-1,ssh,,
console-5,17,svcstr-7250x3b-2,ssh,,
console-5,16,svcstr-7250x3b-1,ssh,,
console-5,2,svcstr-z9332f-01,ssh,,
console-5,3,svcstr-z9332f-02,ssh,,
console-5,13,svcstr-7280dr3-1,ssh,,
console-5,15,svcstr-7280dr3-2,ssh,,
console-6,13,svcstr-z9332f-03,ssh,,
console-6,14,svcstr-7260cx3-acs-13,ssh,,
console-6,15,svcstr-z9332f-04,ssh,,
console-6,16,svcstr-7260cx3-acs-14,ssh,,
console-6,23,svcstr-8800-sup-1,ssh,,
console-6,25,svcstr-7808-sup-1,ssh,,
console-6,26,svcstr-7260cx3-acs-15,ssh,,
console-6,27,svcstr-7260cx3-acs-16,ssh,,
console-6,11,svcstr-nh5010-ut2-3,ssh,,
