StartDevice,StartPort,EndDevice,EndPort
pdu-124,34,svcstr-n3164-acs-2,PSU1
pdu-125,34,svcstr-n3164-acs-2,PSU2
pdu-124,5,svcstr-7050-acs-1,PSU1
pdu-125,5,svcstr-7050-acs-1,PSU2
pdu-124,3,svcstr-7050-acs-2,PSU1
pdu-125,3,svcstr-7050-acs-2,PSU2
pdu-124,8,svcstr-7050-acs-3,PSU1
pdu-125,8,svcstr-7050-acs-3,PSU2
pdu-124,6,svcstr-7050-acs-4,PSU1
pdu-125,6,svcstr-7050-acs-4,PSU2
pdu-124,29,svcstr-7260cx3-acs-5,PSU1
pdu-125,29,svcstr-7260cx3-acs-5,PSU2
pdu-124,37,svcstr-7260cx3-acs-1,PSU1
pdu-125,37,svcstr-7260cx3-acs-1,PSU2
pdu-124,37,svcstr-7260cx3-acs-1,PSU1
pdu-125,37,svcstr-7260cx3-acs-1,PSU2
pdu-124,33,svcstr-7260cx3-acs-3,PSU1
pdu-125,33,svcstr-7260cx3-acs-3,PSU2
pdu-124,4,svcstr-7260cx3-acs-6,PSU1
pdu-125,4,svcstr-7260cx3-acs-6,PSU2
pdu-124,18,svcstr-7260cx3-acs-7,PSU1
pdu-125,18,svcstr-7260cx3-acs-7,PSU2
pdu-124,7,svcstr-7260cx3-acs-8,PSU1
pdu-125,7,svcstr-7260cx3-acs-8,PSU2
pdu-117,29,svcstr-7260cx3-acs-11,PSU1
pdu-118,29,svcstr-7260cx3-acs-11,PSU2
pdu-117,30,svcstr-7260cx3-acs-11,PSU1
pdu-118,30,svcstr-7260cx3-acs-12,PSU2
pdu-138,23,svcstr-7260cx3-acs-13,PSU1
pdu-139,23,svcstr-7260cx3-acs-13,PSU2
pdu-138,25,svcstr-7260cx3-acs-14,PSU1
pdu-139,25,svcstr-7260cx3-acs-14,PSU2
pdu-124,1,svcstr-server-1,PSU1
pdu-125,1,svcstr-server-1,PSU2
pdu-124,2,svcstr-server-2,PSU1
pdu-125,2,svcstr-server-2,PSU2
pdu-117,41,svcstr-server-3,PSU1
pdu-118,41,svcstr-server-3,PSU2
pdu-138,26,svcstr-server-6,PSU1
pdu-139,26,svcstr-server-6,PSU2
pdu-124,31,svcstr-7250x3b-2,PSU1
pdu-125,31,svcstr-7250x3b-2,PSU2
pdu-124,30,svcstr-7250x3b-1,PSU1
pdu-125,30,svcstr-7250x3b-1,PSU2
pdu-124,29,svcstr-z9332f-01,PSU1
pdu-125,29,svcstr-z9332f-01,PSU2
pdu-124,28,svcstr-z9332f-02,PSU1
pdu-125,28,svcstr-z9332f-02,PSU2
pdu-124,25,svcstr-7280dr3-1,PSU1
pdu-125,25,svcstr-7280dr3-1,PSU2
pdu-124,26,svcstr-7280dr3-2,PSU1
pdu-125,26,svcstr-7280dr3-2,PSU2
pdu-138,22,svcstr-z9332f-03,PSU1
pdu-139,22,svcstr-z9332f-03,PSU2
pdu-138,24,svcstr-z9332f-04,PSU1
pdu-139,24,svcstr-z9332f-04,PSU2
pdu-138,2,svcstr-8800-sup-2,PSU1
pdu-139,3,svcstr-8800-sup-2,PSU2
pdu-139,2,svcstr-8800-sup-2,PSU3
pdu-138,1,svcstr-8800-sup-2,PSU4
pdu-138,3,svcstr-8800-sup-2,PSU5
pdu-139,1,svcstr-8800-sup-2,PSU6
pdu-140,1,svcstr-7808-sup-1,PSU4
pdu-141,1,svcstr-7808-sup-1,PSU4
pdu-140,5,svcstr-7808-sup-1,PSU5
pdu-141,5,svcstr-7808-sup-1,PSU5
pdu-140,9,svcstr-7808-sup-1,PSU6
pdu-141,9,svcstr-7808-sup-1,PSU6
pdu-140,10,svcstr-7808-sup-1,PSU10
pdu-141,10,svcstr-7808-sup-1,PSU10
pdu-140,14,svcstr-7808-sup-1,PSU11
pdu-141,14,svcstr-7808-sup-1,PSU11
pdu-140,17,svcstr-7808-sup-1,PSU12
pdu-141,17,svcstr-7808-sup-1,PSU12
pdu-140,23,svcstr-7260cx3-acs-15,PSU1
pdu-141,23,svcstr-7260cx3-acs-15,PSU2
pdu-140,22,svcstr-7260cx3-acs-16,PSU1
pdu-141,22,svcstr-7260cx3-acs-16,PSU2
