Hostname,ManagementIp,HwSku,Type,Protocol,Os
strtk5-7260-root-01,10.212.69.34/27,Arista-7260CX3,FanoutRoot,,
strtk5-8101-fanout-02,10.212.69.39/27,Cisco-8101-O32,FanoutLeaf,,sonic
strtk5-7260-fanout-02,10.212.69.36/27,Arista-7260CX3,FanoutLeaf,,
strtk5-7260-fanout-03,10.212.69.37/27,Arista-7260CX3,FanoutLeaf,,
strtk5-7260-fanout-04,10.212.69.51/27,Arista-7260QX-64,FanoutLeaf,,
strtk5-7260-fanout-05,10.212.69.53/27,Arista-7260QX-64,FanoutLeaf,,
strtk5-7260-fanout-06,10.212.69.55/27,Arista-7260QX-64,FanoutLeaf,,
strtk5-7260-fanout-07,10.212.69.57/27,Arista-7260QX-64,FanoutLeaf,,
strtk5-7260-fanout-08,10.212.69.60/27,Arista-7260QX-64,FanoutLeaf,,
strtk5-7260-fanout-09,10.212.69.98/27,Arista-7260QX-64,FanoutLeaf,,
strtk5-7260-fanout-10,10.212.69.101/27,Arista-7260QX-64,FanoutLeaf,,
strtk5-7260-fanout-11,10.212.69.104/27,Arista-7260QX-64,FanoutLeaf,,
strtk5-7260-fanout-12,10.212.69.105/27,Arista-7260QX-64,FanoutLeaf,,
strtk5-7260-fanout-13,10.212.69.109/27,Arista-7260QX-64,FanoutLeaf,,
strtk5-7260-fanout-14,10.212.69.110/27,Arista-7260QX-64,FanoutLeaf,,
strtk5-7260-fanout-15,10.212.69.112/27,Arista-7260QX-64,FanoutLeaf,,
strtk5-7260-fanout-16,10.212.69.114/27,Arista-7260QX-64,FanoutLeaf,,
strtk5-7260-fanout-17,10.212.69.125/27,Arista-7260CX3,FanoutLeaf,,
strtk5-7260-fanout-18,10.212.69.116/27,Arista-7260CX3,FanoutLeaf,,
strtk5-7260-fanout-19,10.212.69.120/27,Arista-7260CX3,FanoutLeaf,,
strtk5-7260-fanout-20,10.212.69.121/27,Arista-7260CX3,FanoutLeaf,,
strtk5-7260-fanout-21,10.212.69.122/27,Arista-7260CX3,FanoutLeaf,,
strtk5-7260-fanout-23,10.212.69.130/27,Arista-7260CX3,FanoutLeaf,,
strtk5-7260-fanout-24,10.212.69.131/27,Arista-7260CX3,FanoutLeaf,,
strtk5-7260-fanout-25,10.212.69.133/27,Arista-7260QX-64,FanoutLeaf,,
strtk5-7260-fanout-26,10.212.69.134/27,Arista-7260QX-64,FanoutLeaf,,
strtk5-e1031-fan-4,10.212.69.132/27,Celestica-E1031-T48S4,FanoutLeafSonic,,sonic
strtk5-7260-24,10.212.69.139/27,Arista-7260QX-64,FanoutLeaf,,

strtk5-8101-01,10.212.69.38/27,Cisco-8101-O8C48,DevSonic,,sonic
strtk5-s6000-09,10.212.69.50/27,Force10-S6000,DevSonic,,sonic
strtk5-n3132-acs-2,10.212.69.63/27,Nexus-3132-GE-Q32,DevSonic,,sonic
strtk5-msn2700-02,10.212.69.59/27,Mellanox-SN2700,DevSonic,,sonic
strtk5-msn2700-01,10.212.69.100/27,Mellanox-SN2700,DevSonic,,sonic
strtk5-msn2700-06,10.212.69.61/27,Mellanox-SN2700,DevSonic,,sonic
strtk5-n3132-acs-1,10.212.69.136/27,Nexus-3132-GX-Q32,DevSonic,,sonic
strtk5-n3132-acs-3,10.212.69.107/27,Nexus-3132-GE-Q32,DevSonic,,sonic
strtk5-7260-01,10.212.69.35/27,Arista-7260CX3-C64,DevSonic,,sonic
strtk5-7260-7,10.212.69.124/27,Arista-7260CX3-C64,DevSonic,,sonic
strtk5-s6100-acs-2,10.212.69.108/27,Force10-S6100,DevSonic,,sonic
strtk5-s6100-acs-5,10.212.69.103/27,Force10-S6100,DevSonic,,sonic
strtk5-s6100-acs-4,10.212.69.111/27,Force10-S6100,DevSonic,,sonic
strtk5-dx010-acs-4,10.212.69.117/27,Celestica-DX010-C32,DevSonic,,sonic
strtk5-dx010-acs-5,10.212.69.118/27,Celestica-DX010-D48C8,DevSonic,,sonic
strtk5-msn4600c-acs-02,10.212.69.119/27,ACS-MSN4600C,DevSonic,,sonic
strtk5-msn2700-03,10.212.69.52/27,Mellanox-SN2700,DevSonic,,sonic
strtk5-s6000-06,10.212.69.58/27,Force10-S6000,DevSonic,,sonic
strtk5-s6000-08,10.212.69.54/27,Force10-S6000,DevSonic,,sonic
strtk5-s6000-07,10.212.69.56/27,Force10-S6000,DevSonic,,sonic
strtk5-msn2700-04,10.212.69.99/27,Mellanox-SN2700,DevSonic,,sonic
strtk5-s6000-14,10.212.69.102/27,Force10-S6000,DevSonic,,sonic
strtk5-sn3800-01,10.212.69.126/27,ACS-MSN3800,DevSonic,,sonic
strtk5-e1031-acs-3,10.212.69.137/27,Celestica-E1031-T48S4,DevSonic,,sonic
