StartDevice,StartPort,EndDevice,EndPort,BandWidth,VlanID,VlanMode
strtk5-7260-root-01,Ethernet3/1,strtk5-7260-fanout-03,Ethernet64/1,100000,,Trunk
strtk5-7260-root-01,Ethernet4/1,strtk5-7260-fanout-04,Ethernet64,40000,"425-456,753-776",Trunk
strtk5-7260-root-01,Ethernet5/1,strtk5-7260-fanout-05,Ethernet64,40000,"393-424,629-648,745-752",Trunk
strtk5-7260-root-01,Ethernet6/1,strtk5-7260-fanout-06,Ethernet64,40000,"361-392,537-552,617-628",Trunk
strtk5-7260-root-01,Ethernet7/1,strtk5-7260-fanout-07,Ethernet64,40000,"349-360,521-536,713-744",Trunk
strtk5-7260-root-01,Ethernet8/1,strtk5-7260-fanout-08,Ethernet64,40000,"329-348,809-840,865-872",Trunk
strtk5-7260-root-01,Ethernet9/1,strtk5-7260-fanout-09,Ethernet64,40000,"777-808,841-864",Trunk
strtk5-7260-root-01,Ethernet10/1,strtk5-7260-fanout-10,Ethernet64,40000,"937-968,1152-1178",Trunk
strtk5-7260-root-01,Ethernet11/1,strtk5-7260-fanout-11,Ethernet64,40000,"873-904,1129-1151",Trunk
strtk5-7260-root-01,Ethernet12/1,strtk5-7260-fanout-12,Ethernet64,40000,"649-680,1179-1192,1236",Trunk
strtk5-7260-root-01,Ethernet13/1,strtk5-7260-fanout-13,Ethernet64,40000,"1225-1235,1237-1284",Trunk
strtk5-7260-root-01,Ethernet14/1,strtk5-7260-fanout-14,Ethernet64,40000,1285-1344,Trunk
strtk5-7260-root-01,Ethernet15/1,strtk5-7260-fanout-15,Ethernet64,40000,"1345-1384,2524,2620",Trunk
strtk5-7260-root-01,Ethernet16/1,strtk5-7260-fanout-16,Ethernet64,40000,"2461-2523",Trunk
strtk5-7260-root-01,Ethernet17/1,strtk5-7260-fanout-17,Ethernet1/1,100000,"2621-2683",Trunk
