StartDevice,StartPort,EndDevice,EndPort
pdu-228,13,strtk5-msn2700-04,PSU1
pdu-229,12,strtk5-msn2700-04,PSU2
pdu-228,14,strtk5-7260-fanout-09,PSU1
pdu-229,14,strtk5-7260-fanout-09,PSU2
pdu-228,15,strtk5-msn2700-06,PSU1
pdu-229,16,strtk5-msn2700-06,PSU2
pdu-228,16,strtk5-7260-fanout-08,PSU1
pdu-229,18,strtk5-7260-fanout-08,PSU2
pdu-228,17,strtk5-s6000-06,PSU1
pdu-229,20,strtk5-s6000-06,PSU2
pdu-228,18,strtk5-msn2700-02,PSU1
pdu-229,22,strtk5-msn2700-02,PSU2
pdu-228,19,strtk5-7260-fanout-07,PSU1
pdu-229,24,strtk5-7260-fanout-07,PSU2
pdu-228,20,strtk5-a7050-acs-1,PSU1
pdu-229,28,strtk5-a7050-acs-1,PSU2
pdu-228,21,strtk5-s6000-07,PSU1
pdu-229,30,strtk5-s6000-07,PSU2
pdu-228,22,strtk5-7260-fanout-06,PSU1
pdu-229,32,strtk5-7260-fanout-06,PSU2
pdu-228,23,strtk5-n3132-acs-2,PSU1
pdu-229,34,strtk5-n3132-acs-2,PSU2
pdu-228,24,strtk5-s6000-08,PSU1
pdu-229,36,strtk5-s6000-08,PSU2
pdu-228,37,strtk5-7260-fanout-05,PSU1
pdu-229,38,strtk5-7260-fanout-05,PSU2
pdu-228,38,strtk5-msn2700-03,PSU1
pdu-229,40,strtk5-msn2700-03,PSU2
pdu-228,41,strtk5-7260-fanout-04,PSU1
pdu-229,42,strtk5-7260-fanout-04,PSU2
pdu-227,48,strtk5-7260-root-01,PSU1
pdu-228,48,strtk5-7260-root-01,PSU2
pdu-227,46,strtk5-8101-01,PSU1
pdu-228,47,strtk5-8101-01,PSU2
pdu-227,45,strtk5-7260-01,PSU1
pdu-228,46,strtk5-7260-01,PSU2
pdu-227,41,strtk5-8101-fanout-02,PSU1
pdu-228,45,strtk5-8101-fanout-02,PSU2
pdu-227,40,strtk5-7260-fanout-02,PSU1
pdu-228,44,strtk5-7260-fanout-02,PSU2
pdu-227,39,strtk5-7260-fanout-03,PSU1
pdu-228,40,strtk5-7260-fanout-03,PSU2
pdu-227,26,strtk5-serv-01,PSU1
pdu-227,27,strtk5-serv-02,PSU1
pdu-227,29,strtk5-serv-03,PSU1
pdu-227,32,strtk5-serv-04,PSU1
pdu-227,38,strtk5-serv-05,PSU1
pdu-228,42,strtk5-s6000-09,PSU1
pdu-229,44,strtk5-s6000-09,PSU2
pdu-229,9,strtk5-7260-fanout-16,PSU1
pdu-230,8,strtk5-7260-fanout-16,PSU2
pdu-229,11,strtk5-n3164-acs-2,PSU1
pdu-230,10,strtk5-n3164-acs-2,PSU2
pdu-229,13,strtk5-a7050-acs-3,PSU1
pdu-230,12,strtk5-a7050-acs-3,PSU2
pdu-229,15,strtk5-7260-fanout-15,PSU1
pdu-230,14,strtk5-7260-fanout-15,PSU2
pdu-229,17,strtk5-s6100-acs-4,PSU1
pdu-230,16,strtk5-s6100-acs-4,PSU2
pdu-229,19,strtk5-7260-fanout-14,PSU1
pdu-230,18,strtk5-7260-fanout-14,PSU2
pdu-229,21,strtk5-7260-fanout-13,PSU1
pdu-230,20,strtk5-7260-fanout-13,PSU2
pdu-229,23,strtk5-s6100-acs-2,PSU1
pdu-230,22,strtk5-s6100-acs-2,PSU2
pdu-229,25,strtk5-n3132-acs-3,PSU1
pdu-230,24,strtk5-n3132-acs-3,PSU2
pdu-229,31,strtk5-7260-fanout-12,PSU1
pdu-230,30,strtk5-7260-fanout-12,PSU2
pdu-229,33,strtk5-s6000-12,PSU1
pdu-230,32,strtk5-s6000-12,PSU2
pdu-229,35,strtk5-7260-fanout-11,PSU1
pdu-230,34,strtk5-7260-fanout-11,PSU2
pdu-229,37,strtk5-s6100-acs-5,PSU1
pdu-230,36,strtk5-s6100-acs-5,PSU2
pdu-229,39,strtk5-7260-fanout-10,PSU1
pdu-230,38,strtk5-7260-fanout-10,PSU2
pdu-229,41,strtk5-s6000-14,PSU1
pdu-230,40,strtk5-s6000-14,PSU2
pdu-229,43,strtk5-7260-24,PSU1
pdu-230,42,strtk5-7260-24,PSU2
pdu-229,45,strtk5-msn2700-01,PSU1
pdu-230,44,strtk5-msn2700-01,PSU2
pdu-230,11,strtk5-7260-fanout-24,PSU1
pdu-231,12,strtk5-7260-fanout-24,PSU2
pdu-230,13,strtk5-7260-7,PSU1
pdu-231,14,strtk5-7260-7,PSU2
pdu-230,15,strtk5-e1031-fan-4,PSU1
pdu-231,16,strtk5-e1031-fan-4,PSU2
pdu-230,17,strtk5-e1031-acs-3,PSU1
pdu-231,18,strtk5-e1031-acs-3,PSU2
pdu-230,19,strtk5-7260-fanout-21,PSU1
pdu-231,19,strtk5-7260-fanout-21,PSU2
pdu-230,21,strtk5-7260-fanout-23,PSU1
pdu-231,22,strtk5-7260-fanout-23,PSU2
pdu-230,23,strtk5-a7170-acs-1,PSU1
pdu-231,24,strtk5-a7170-acs-1,PSU2
pdu-230,29,strtk5-7260-fanout-19,PSU1
pdu-231,30,strtk5-7260-fanout-19,PSU2
pdu-230,31,strtk5-dx010-acs-5,PSU1
pdu-231,32,strtk5-dx010-acs-5,PSU2
pdu-230,33,strtk5-7260-fanout-20,PSU1
pdu-231,34,strtk5-7260-fanout-20,PSU2
pdu-230,35,strtk5-msn4600c-acs-02,PSU1
pdu-231,36,strtk5-msn4600c-acs-02,PSU2
pdu-230,37,strtk5-dx010-acs-4,PSU1
pdu-231,38,strtk5-dx010-acs-4,PSU2
pdu-230,39,strtk5-7260-fanout-18,PSU1
pdu-231,40,strtk5-7260-fanout-18,PSU2
pdu-230,41,strtk5-sn3800-01,PSU1
pdu-231,42,strtk5-sn3800-01,PSU2
pdu-230,43,strtk5-7260-fanout-17,PSU1
pdu-231,44,strtk5-7260-fanout-17,PSU2
pdu-231,37,strtk5-7260-fanout-25,PSU1
pdu-232,38,strtk5-7260-fanout-25,PSU2
