StartDevice,StartPort,EndDevice,EndPort,BandWidth,VlanID,VlanMode
svcstr2-7260cx3-acs-1,Ethernet63/1,svcstr2-7260cx3-acs-2,Ethernet64/1,100000,"233-291",Trunk
svcstr2-7260cx3-acs-1,Ethernet64/1,svcstr2-7260cx3-acs-3,Ethernet64/1,100000,"201-232,292-296",Trunk
svcstr2-7260cx3-acs-1,Ethernet65,svcstr2-z9332f-01,Ethernet256,10000,"201-232",Trunk
svcstr2-7260cx3-acs-1,Ethernet1/1,svcstr2-server-5,ens4f1,100000,,Trunk
svcstr2-8800-lc1-1,Ethernet0,svcstr2-z9332f-01,Ethernet0,400000,201,Access
svcstr2-8800-lc1-1,Ethernet8,svcstr2-z9332f-01,Ethernet8,400000,202,Access
svcstr2-8800-lc1-1,Ethernet16,svcstr2-z9332f-01,Ethernet16,400000,203,Access
svcstr2-8800-lc1-1,Ethernet24,svcstr2-z9332f-01,Ethernet24,400000,204,Access
svcstr2-8800-lc1-1,Ethernet32,svcstr2-z9332f-01,Ethernet32,400000,205,Access
svcstr2-8800-lc1-1,Ethernet40,svcstr2-z9332f-01,Ethernet40,400000,206,Access
svcstr2-8800-lc1-1,Ethernet48,svcstr2-z9332f-01,Ethernet48,400000,207,Access
svcstr2-8800-lc1-1,Ethernet56,svcstr2-z9332f-01,Ethernet56,400000,208,Access
svcstr2-8800-lc1-1,Ethernet64,svcstr2-z9332f-01,Ethernet64,400000,209,Access
svcstr2-8800-lc1-1,Ethernet72,svcstr2-z9332f-01,Ethernet72,400000,210,Access
svcstr2-8800-lc1-1,Ethernet80,svcstr2-z9332f-01,Ethernet80,400000,211,Access
svcstr2-8800-lc1-1,Ethernet88,svcstr2-z9332f-01,Ethernet88,400000,212,Access
svcstr2-8800-lc1-1,Ethernet96,svcstr2-z9332f-01,Ethernet96,400000,213,Access
svcstr2-8800-lc1-1,Ethernet104,svcstr2-z9332f-01,Ethernet104,400000,214,Access
svcstr2-8800-lc1-1,Ethernet112,svcstr2-z9332f-01,Ethernet112,400000,215,Access
svcstr2-8800-lc1-1,Ethernet120,svcstr2-z9332f-01,Ethernet120,400000,216,Access
svcstr2-8800-lc1-1,Ethernet128,svcstr2-z9332f-01,Ethernet128,400000,217,Access
svcstr2-8800-lc1-1,Ethernet136,svcstr2-z9332f-01,Ethernet136,400000,218,Access
svcstr2-8800-lc1-1,Ethernet144,svcstr2-z9332f-01,Ethernet144,400000,219,Access
svcstr2-8800-lc1-1,Ethernet152,svcstr2-z9332f-01,Ethernet152,400000,220,Access
svcstr2-8800-lc1-1,Ethernet160,svcstr2-z9332f-01,Ethernet160,400000,221,Access
svcstr2-8800-lc1-1,Ethernet168,svcstr2-z9332f-01,Ethernet168,400000,222,Access
svcstr2-8800-lc1-1,Ethernet176,svcstr2-z9332f-01,Ethernet176,400000,223,Access
svcstr2-8800-lc1-1,Ethernet184,svcstr2-z9332f-01,Ethernet184,400000,224,Access
svcstr2-8800-lc1-1,Ethernet192,svcstr2-z9332f-01,Ethernet192,400000,225,Access
svcstr2-8800-lc1-1,Ethernet200,svcstr2-z9332f-01,Ethernet200,400000,226,Access
svcstr2-8800-lc1-1,Ethernet208,svcstr2-z9332f-01,Ethernet208,400000,227,Access
svcstr2-8800-lc1-1,Ethernet216,svcstr2-z9332f-01,Ethernet216,400000,228,Access
svcstr2-8800-lc1-1,Ethernet224,svcstr2-z9332f-01,Ethernet224,400000,229,Access
svcstr2-8800-lc1-1,Ethernet232,svcstr2-z9332f-01,Ethernet232,400000,230,Access
svcstr2-8800-lc1-1,Ethernet240,svcstr2-z9332f-01,Ethernet240,400000,231,Access
svcstr2-8800-lc1-1,Ethernet248,svcstr2-z9332f-01,Ethernet248,400000,232,Access
svcstr2-8800-lc2-1,Ethernet0,svcstr2-7260cx3-acs-2,Ethernet1/1,100000,233,Access
svcstr2-8800-lc2-1,Ethernet8,svcstr2-7260cx3-acs-2,Ethernet2/1,100000,234,Access
svcstr2-8800-lc2-1,Ethernet16,svcstr2-7260cx3-acs-2,Ethernet3/1,100000,235,Access
svcstr2-8800-lc2-1,Ethernet24,svcstr2-7260cx3-acs-2,Ethernet4/1,100000,236,Access
svcstr2-8800-lc2-1,Ethernet32,svcstr2-7260cx3-acs-2,Ethernet5/1,100000,237,Access
svcstr2-8800-lc2-1,Ethernet40,svcstr2-7260cx3-acs-2,Ethernet6/1,100000,238,Access
svcstr2-8800-lc2-1,Ethernet48,svcstr2-7260cx3-acs-2,Ethernet7/1,100000,239,Access
svcstr2-8800-lc2-1,Ethernet56,svcstr2-7260cx3-acs-2,Ethernet8/1,100000,240,Access
svcstr2-8800-lc2-1,Ethernet64,svcstr2-7260cx3-acs-2,Ethernet9/1,100000,241,Access
svcstr2-8800-lc2-1,Ethernet72,svcstr2-7260cx3-acs-2,Ethernet10/1,100000,242,Access
svcstr2-8800-lc2-1,Ethernet80,svcstr2-7260cx3-acs-2,Ethernet11/1,100000,243,Access
svcstr2-8800-lc2-1,Ethernet88,svcstr2-7260cx3-acs-2,Ethernet12/1,100000,244,Access
svcstr2-8800-lc2-1,Ethernet96,svcstr2-7260cx3-acs-2,Ethernet13/1,100000,245,Access
svcstr2-8800-lc2-1,Ethernet104,svcstr2-7260cx3-acs-2,Ethernet14/1,100000,246,Access
svcstr2-8800-lc2-1,Ethernet112,svcstr2-7260cx3-acs-2,Ethernet15/1,100000,247,Access
svcstr2-8800-lc2-1,Ethernet120,svcstr2-7260cx3-acs-2,Ethernet16/1,100000,248,Access
svcstr2-8800-lc2-1,Ethernet128,svcstr2-7260cx3-acs-2,Ethernet17/1,100000,249,Access
svcstr2-8800-lc2-1,Ethernet136,svcstr2-7260cx3-acs-2,Ethernet18/1,100000,250,Access
svcstr2-8800-lc2-1,Ethernet144,svcstr2-7260cx3-acs-2,Ethernet19/1,100000,251,Access
svcstr2-8800-lc2-1,Ethernet152,svcstr2-7260cx3-acs-2,Ethernet20/1,100000,252,Access
svcstr2-8800-lc2-1,Ethernet160,svcstr2-7260cx3-acs-2,Ethernet21/1,100000,253,Access
svcstr2-8800-lc2-1,Ethernet168,svcstr2-7260cx3-acs-2,Ethernet22/1,100000,254,Access
svcstr2-8800-lc2-1,Ethernet176,svcstr2-7260cx3-acs-2,Ethernet23/1,100000,255,Access
svcstr2-8800-lc2-1,Ethernet184,svcstr2-7260cx3-acs-2,Ethernet24/1,100000,256,Access
svcstr2-8800-lc2-1,Ethernet192,svcstr2-7260cx3-acs-2,Ethernet25/1,100000,257,Access
svcstr2-8800-lc2-1,Ethernet200,svcstr2-7260cx3-acs-2,Ethernet26/1,100000,258,Access
svcstr2-8800-lc2-1,Ethernet208,svcstr2-7260cx3-acs-2,Ethernet27/1,100000,259,Access
svcstr2-8800-lc2-1,Ethernet216,svcstr2-7260cx3-acs-2,Ethernet28/1,100000,260,Access
svcstr2-8800-lc2-1,Ethernet224,svcstr2-7260cx3-acs-2,Ethernet29/1,100000,261,Access
svcstr2-8800-lc2-1,Ethernet232,svcstr2-7260cx3-acs-2,Ethernet30/1,100000,262,Access
svcstr2-8800-lc2-1,Ethernet240,svcstr2-7260cx3-acs-2,Ethernet31/1,100000,263,Access
svcstr2-8800-lc2-1,Ethernet248,svcstr2-7260cx3-acs-2,Ethernet32/1,100000,264,Access
svcstr2-8800-lc3-1,Ethernet0,svcstr2-7260cx3-acs-2,Ethernet33/1,100000,265,Access
svcstr2-8800-lc3-1,Ethernet8,svcstr2-7260cx3-acs-2,Ethernet34/1,100000,266,Access
svcstr2-8800-lc3-1,Ethernet16,svcstr2-7260cx3-acs-2,Ethernet35/1,100000,267,Access
svcstr2-8800-lc3-1,Ethernet24,svcstr2-7260cx3-acs-2,Ethernet36/1,100000,268,Access
svcstr2-8800-lc3-1,Ethernet32,svcstr2-7260cx3-acs-2,Ethernet37/1,100000,269,Access
svcstr2-8800-lc3-1,Ethernet40,svcstr2-7260cx3-acs-2,Ethernet38/1,100000,270,Access
