StartDevice,StartPort,EndDevice,EndPort,BandWidth,VlanID,VlanMode
churchill-mono-01,Ethernet8,VM0108,Ethernet1,40000,1689,Access
churchill-mono-01,Ethernet9,VM0109,Ethernet1,40000,1690,Access
churchill-mono-01,Ethernet2,VM0102,Ethernet1,40000,1683,Access
churchill-mono-01,Ethernet3,VM0103,Ethernet1,40000,1684,Access
churchill-mono-01,Ethernet0,VM0100,Ethernet1,40000,1681,Access
churchill-mono-01,Ethernet1,VM0101,Ethernet1,40000,1682,Access
churchill-mono-01,Ethernet6,VM0106,Ethernet1,40000,1687,Access
churchill-mono-01,Ethernet7,VM0107,Ethernet1,40000,1688,Access
churchill-mono-01,Ethernet4,VM0104,Ethernet1,40000,1685,Access
churchill-mono-01,Ethernet5,VM0105,Ethernet1,40000,1686,Access
churchill-mono-01,Ethernet18,VM0118,Ethernet1,40000,1699,Access
churchill-mono-01,Ethernet19,VM0119,Ethernet1,40000,1700,Access
churchill-mono-01,Ethernet14,VM0114,Ethernet1,40000,1695,Access
churchill-mono-01,Ethernet15,VM0115,Ethernet1,40000,1696,Access
churchill-mono-01,Ethernet16,VM0116,Ethernet1,40000,1697,Access
churchill-mono-01,Ethernet17,VM0117,Ethernet1,40000,1698,Access
churchill-mono-01,Ethernet10,VM0110,Ethernet1,40000,1691,Access
churchill-mono-01,Ethernet11,VM0111,Ethernet1,40000,1692,Access
churchill-mono-01,Ethernet12,VM0112,Ethernet1,40000,1693,Access
churchill-mono-01,Ethernet13,VM0113,Ethernet1,40000,1694,Access
churchill-mono-01,Ethernet30,VM0130,Ethernet1,40000,1711,Access
churchill-mono-01,Ethernet31,VM0131,Ethernet1,40000,1712,Access
churchill-mono-01,Ethernet29,VM0129,Ethernet1,40000,1710,Access
churchill-mono-01,Ethernet28,VM0128,Ethernet1,40000,1709,Access
churchill-mono-01,Ethernet21,VM0121,Ethernet1,40000,1702,Access
churchill-mono-01,Ethernet20,VM0120,Ethernet1,40000,1701,Access
churchill-mono-01,Ethernet23,VM0123,Ethernet1,40000,1704,Access
churchill-mono-01,Ethernet22,VM0122,Ethernet1,40000,1703,Access
churchill-mono-01,Ethernet25,VM0125,Ethernet1,40000,1706,Access
churchill-mono-01,Ethernet24,VM0124,Ethernet1,40000,1705,Access
churchill-mono-01,Ethernet27,VM0127,Ethernet1,40000,1708,Access
churchill-mono-01,Ethernet26,VM0126,Ethernet1,40000,1707,Access
