StartDevice,StartPort,EndDevice,EndPort,BandWidth,VlanID,VlanMode
siren-01,Ethernet1_9,VM0108,Ethernet1,10000,1689,Access
siren-01,Ethernet1_10,VM0109,Ethernet1,10000,1690,Access
siren-01,Ethernet1_3,VM0102,Ethernet1,10000,1683,Access
siren-01,Ethernet1_4,VM0103,Ethernet1,10000,1684,Access
siren-01,Ethernet1_1,VM0100,Ethernet1,10000,1681,Access
siren-01,Ethernet1_2,VM0101,Ethernet1,10000,1682,Access
siren-01,Ethernet1_7,VM0106,Ethernet1,10000,1687,Access
siren-01,Ethernet1_8,VM0107,Ethernet1,10000,1688,Access
siren-01,Ethernet1_5,VM0104,Ethernet1,10000,1685,Access
siren-01,Ethernet1_6,VM0105,Ethernet1,10000,1686,Access
siren-01,Ethernet1_19,VM0118,Ethernet1,10000,1699,Access
siren-01,Ethernet1_20,VM0119,Ethernet1,10000,1700,Access
siren-01,Ethernet1_15,VM0114,Ethernet1,10000,1695,Access
siren-01,Ethernet1_16,VM0115,Ethernet1,10000,1696,Access
siren-01,Ethernet1_17,VM0116,Ethernet1,10000,1697,Access
siren-01,Ethernet1_18,VM0117,Ethernet1,10000,1698,Access
siren-01,Ethernet1_11,VM0110,Ethernet1,10000,1691,Access
siren-01,Ethernet1_12,VM0111,Ethernet1,10000,1692,Access
siren-01,Ethernet1_13,VM0112,Ethernet1,10000,1693,Access
siren-01,Ethernet1_14,VM0113,Ethernet1,10000,1694,Access
siren-01,Ethernet1_31,VM0130,Ethernet1,400000,1711,Access
siren-01,Ethernet1_32,VM0131,Ethernet1,400000,1712,Access
siren-01,Ethernet1_30,VM0129,Ethernet1,10000,1710,Access
siren-01,Ethernet1_29,VM0128,Ethernet1,10000,1709,Access
siren-01,Ethernet1_22,VM0121,Ethernet1,10000,1702,Access
siren-01,Ethernet1_21,VM0120,Ethernet1,10000,1701,Access
siren-01,Ethernet1_24,VM0123,Ethernet1,10000,1704,Access
siren-01,Ethernet1_23,VM0122,Ethernet1,10000,1703,Access
siren-01,Ethernet1_26,VM0125,Ethernet1,10000,1706,Access
siren-01,Ethernet1_25,VM0124,Ethernet1,10000,1705,Access
siren-01,Ethernet1_28,VM0127,Ethernet1,10000,1708,Access
siren-01,Ethernet1_27,VM0126,Ethernet1,10000,1707,Access
