Release,RunType,Feature,TestCaseID,FunctionName
Arlo+,daily,Regression,ft_acl_egress_fwd_src_ipv4,test_ft_acl_egress_ipv4
Arlo+,daily,Regression,ft_acl_ip_in_forward_port_channel,test_ft_acl_port_channel_ingress
Arlo+,daily,Regression,ft_acl_ipv6_in_forward_port_channel,test_ft_acl_port_channel_ingress
Arlo+,daily,Regression,ft_acl_rule_update_with_acl_loader_update_full,test_ft_acl_loader
Arlo+,daily,Regression,ft_acl_rule_update_with_acl_loader_update_increment,test_ft_acl_loader
Arlo+,daily,Regression,ft_acl_rule_upgrade,test_ft_acl_ingress_ipv4
Arlo+,daily,Regression,ft_acl_show_commands,test_ft_acl_ingress_ipv4
Arlo+,daily,Regression,ft_acl_v4_deny_all_after_forward_rule,test_ft_acl_egress_ipv4
Arlo+,daily,Regression,ft_acl_v4_eg_drop_dst_ip,test_ft_acl_egress_ipv4
Arlo+,daily,Regression,ft_acl_v4_eg_drop_src_ip,test_ft_acl_egress_ipv4
Arlo+,daily,Regression,ft_acl_v4_eg_drop_src_ip_and_dst_port,test_ft_acl_egress_ipv4
Arlo+,daily,Regression,ft_acl_v4_eg_fwd_dst_ip,test_ft_acl_egress_ipv4
Arlo+,daily,Regression,ft_acl_v4_eg_fwd_src_and_dst_ip,test_ft_acl_egress_ipv4
Arlo+,daily,Regression,ft_acl_v4_eg_fwd_src_ip,test_ft_acl_egress_ipv4
Arlo+,daily,Regression,ft_acl_v4_in_drop_dst_ip,test_ft_acl_ingress_ipv4
Arlo+,daily,Regression,ft_acl_v4_in_drop_dst_port_range,test_ft_acl_ingress_ipv4
Arlo+,daily,Regression,ft_acl_v4_in_drop_ip_proto_src_dst_ip,test_ft_acl_ingress_ipv4
Arlo+,daily,Regression,ft_acl_v4_in_drop_ip_proto_src_ip,test_ft_acl_ingress_ipv4
Arlo+,daily,Regression,ft_acl_v4_in_drop_src_ip,test_ft_acl_ingress_ipv4
Arlo+,daily,Regression,ft_acl_v4_in_drop_src_port,test_ft_acl_ingress_ipv4
Arlo+,daily,Regression,ft_acl_v4_in_drop_src_port_range,test_ft_acl_ingress_ipv4
Arlo+,daily,Regression,ft_acl_v4_in_fwd_dst_ip,test_ft_acl_ingress_ipv4
Arlo+,daily,Regression,ft_acl_v4_in_fwd_dst_port_range,test_ft_acl_ingress_ipv4
Arlo+,daily,Regression,ft_acl_v4_in_fwd_ip_proto_src_dst_ip,test_ft_acl_ingress_ipv4
Arlo+,daily,Regression,ft_acl_v4_in_fwd_ip_proto_src_dst_port,test_ft_acl_ingress_ipv4
Arlo+,daily,Regression,ft_acl_v4_in_fwd_ip_proto_src_ip,test_ft_acl_ingress_ipv4
Arlo+,daily,Regression,ft_acl_v4_in_fwd_ip_proto_src_port,test_ft_acl_ingress_ipv4
Arlo+,daily,Regression,ft_acl_v4_in_fwd_l4_dst_port,test_ft_acl_ingress_ipv4
Arlo+,daily,Regression,ft_acl_v4_in_fwd_l4_src_port,test_ft_acl_ingress_ipv4
Arlo+,daily,Regression,ft_acl_v4_in_fwd_src_and_dst_ip,test_ft_acl_ingress_ipv4
Arlo+,daily,Regression,ft_acl_v4_in_fwd_src_ip,test_ft_acl_ingress_ipv4
Arlo+,daily,Regression,ft_acl_v4_in_fwd_src_port_range,test_ft_acl_ingress_ipv4
Arlo+,daily,Regression,ft_acl_v4_in_fwd_vlan_l4_dst_port_ip_proto,test_ft_acl_ingress_ipv4
Arlo+,daily,Regression,ft_acl_v4_ing_drop_dst_port,test_ft_acl_ingress_ipv4
Arlo+,daily,Regression,ft_acl_v4_ingress_create,test_ft_acl_ingress_ipv4
Arlo+,daily,Regression,ft_acl_v4_ingress_drop_ip_protocol_dst_ip,test_ft_acl_ingress_ipv4
Arlo+,daily,Regression,ft_acl_v4_ingress_drop_ip_protocol_src_port,test_ft_acl_ingress_ipv4
Arlo+,daily,Regression,ft_acl_v4_ingress_forward_ip_protocol_dst_ip,test_ft_acl_ingress_ipv4
Arlo+,daily,Regression,ft_acl_v6_eg_drop_dst_ip,test_ft_acl_egress_ipv6
Arlo+,daily,Regression,ft_acl_v6_eg_drop_src_ip,test_ft_acl_egress_ipv6
Arlo+,daily,Regression,ft_acl_v6_eg_fwd_dst_ip,test_ft_acl_egress_ipv6
Arlo+,daily,Regression,ft_acl_v6_eg_fwd_src_dst_ip,test_ft_acl_egress_ipv6
Arlo+,daily,Regression,ft_acl_v6_eg_fwd_src_ip,test_ft_acl_egress_ipv6
Arlo+,daily,Regression,ft_acl_v6_in_create,test_ft_acl_egress_ipv6
Arlo+,daily,Regression,ft_acl_v6_in_drop_dst_ip,test_ft_acl_ingress_ipv6
Arlo+,daily,Regression,ft_acl_v6_in_drop_src_ip,test_ft_acl_ingress_ipv6
Arlo+,daily,Regression,ft_acl_v6_in_fwd_dst_ip,test_ft_acl_ingress_ipv6
Arlo+,daily,Regression,ft_acl_v6_in_fwd_dstip_ip_protocol,test_ft_acl_ingress_ipv6
Arlo+,daily,Regression,ft_acl_v6_in_fwd_src_dst_ip,test_ft_acl_ingress_ipv6
Arlo+,daily,Regression,ft_acl_v6_in_fwd_src_ip,test_ft_acl_ingress_ipv6
Arlo+,daily,Regression,ft_acl_v6_in_fwd_srcip_ip_protocol,test_ft_acl_ingress_ipv6
Arlo+,daily,Regression,ft_acl_v6_ing_drop_ip_proto_src_dst_ip,test_ft_acl_ingress_ipv6
Arlo+,daily,Regression,ft_acl_v6_ing_fwd_eth_type,test_ft_acl_ingress_ipv6
Arlo+,daily,Regression,ft_acl_v6_ing_fwd_ip_proto_src_dst_ip,test_ft_acl_ingress_ipv6
Arlo+,daily,Regression,ft_acl_v6_ingress_drop_eth_type,test_ft_acl_ingress_ipv6
Arlo+,daily,Regression,ft_acl_v6_ingress_drop_ip_protocol,test_ft_acl_ingress_ipv6
Arlo+,daily,Regression,ft_acl_v6_ingress_drop_ip_protocol_dst_port,test_ft_acl_ingress_ipv6
Arlo+,daily,Regression,ft_acl_v6_ingress_drop_src_ip_ip_protocol,test_ft_acl_ingress_ipv6
Arlo+,daily,Regression,ft_acl_v6_ingress_drop_tcp_flags,test_ft_acl_ingress_ipv6
Arlo+,daily,Regression,ft_acl_v6_ingress_fwd_tcp_flags,test_ft_acl_ingress_ipv6
Arlo+,daily,Regression,ft_acl_v6_rule_update_full,test_ft_acl_ingress_ipv4
Arlo+,daily,Regression,ft_aclshow,test_ft_acl_ingress_ipv4
Arlo+,daily,Regression,ft_ipv4_acl_in_srcip_dstip_port_redirect,test_ft_acl_ingress_ipv4
Arlo+,daily,Regression,ft_ipv4_acl_in_srcip_dstport_redirect,test_ft_acl_ingress_ipv4
Arlo+,daily,Regression,ipv4acl_ingress_l4srcport_range_l4dstport_range_forward,test_ft_acl_ingress_ipv4
Arlo+,daily,Regression,ipv4acl_ingress_srcip_ipprotocol_forward,test_ft_acl_ingress_ipv4
Arlo+,daily,Regression,ipv4acl_ingress_srcip_l4dst_port_drop,test_ft_acl_ingress_ipv4
Arlo+,daily,Regression,ipv4acl_ingress_dstip_l4dstport_range_forward,test_ft_acl_ingress_ipv4
Arlo+,daily,Regression,FtOpSoQosAclFn097,test_ft_acl_ingress_ipv4
Arlo+,daily,Regression,ipv6acl_ingress_tcpflags_forward,test_ft_acl_ingress_ipv6
Arlo+,daily,Regression,ipv6acl_ingress_tcpflags_drop,test_ft_acl_ingress_ipv6
Arlo+,daily,Regression,ipv4acl_ingress_tcpflas_drop,test_ft_acl_ingress_ipv4
Arlo+,daily,Regression,FtOpSoQosAclFn102,test_ft_acl_port_channel_V4_ingress
Arlo+,daily,Regression,FtOpSoQosAclFn103,test_ft_acl_port_channel_V4_ingress
Arlo+,daily,Regression,FtOpSoQosAclFn104,test_ft_acl_port_channel_V4_ingress
Arlo+,daily,Regression,FtOpSoQosAclFn105,test_ft_acl_port_channel_ingress
Arlo+,daily,Regression,FtOpSoQosAclFn106,test_ft_acl_port_channel_ingress
Arlo+,daily,Regression,ipv4acl_ingress_ip_protocol,test_ft_acl_ingress_ipv4
Arlo+,daily,Regression,ipv4acl_ingress_l4ports_forward,test_ft_acl_ingress_ipv4
Arlo+,daily,Regression,ipv4acl_ingress_srcip_dstip_drop,test_ft_acl_ingress_ipv4
Arlo+,daily,Regression,ipv4acl_ingress_srcip_dstip_forward,test_ft_acl_ingress_ipv4
Arlo+,daily,Regression,ipv4acl_ingress_srcip_dstip_redirect,test_ft_acl_ingress_ipv4
Arlo+,daily,Regression,ipv6acl_ingress_ip_protocol,test_ft_acl_ingress_ipv6
Arlo+,daily,Regression,ipv6acl_ingress_srcip_dstip_drop,test_ft_acl_ingress_ipv6
Arlo+,daily,Regression,ipv6acl_ingress_srcip_dstip_forward,test_ft_acl_ingress_ipv6
Arlo+,daily,Regression,ft_v4_v6_queue,test_ft_cos_cpu_counters
Arlo+,daily,Regression,ft_cos_routing,test_ft_cos_cpu_counters
Arlo+,daily,Regression,ft_cos_switching,test_ft_cos_cpu_counters
Arlo+,daily,Regression,ft_arp_clear_cache_static_and_dynamic_entries,test_ft_arp_clear_cache_static_and_dynamic_entries
Arlo+,daily,Regression,ft_arp_dynamic,test_ft_arp_clear_cache_static_and_dynamic_entries
Arlo+,daily,Regression,ft_arp_dynamic_renew_traffic_test,test_ft_arp_dynamic_renew_traffic_test
Arlo+,daily,Regression,ft_arp_entry_link_failure,test_ft_arp_entry_link_failure
Arlo+,daily,Regression,ft_arp_static,test_ft_arp_clear_cache_static_and_dynamic_entries
Arlo+,daily,Regression,ft_bgp_v6peer_auth_simple,TestBGPRif.test_ft_bgp_clear
