Release,RunType,Feature,TestCaseID,FunctionName
Arlo+,daily,CHEF,ft_chef_client_stop_restart,test_ft_chef_config_apply
Arlo+,daily,CHEF,ft_chef_config_apply_1,test_ft_chef_config_apply
Arlo+,daily,CHEF,ft_chef_config_apply_multp_clients,test_ft_chef_config_apply
Arlo+,daily,CHEF,ft_chef_config_apply_remove,test_ft_chef_config_apply
Arlo+,daily,CHEF,ft_chef_config_apply_with_errors,test_ft_chef_config_apply_with_errors
Arlo+,daily,CHEF,ft_chef_config_cli_cmd_recipe,test_ft_chef_config_cli_cmd_recipe
Arlo+,daily,CHEF,ft_chef_var_client_log,test_ft_chef_config_apply_with_errors
Arlo+,daily,PFC,ft_pfc_asym_10g,test_ft_pfc_asym
Arlo+,daily,PFC,ft_pfc_sym_10g_both_lossy_lossless_traffics,test_ft_pfc_sym
Arlo+,daily,PFC,ft_pfc_sym_10g_multi_vlan_tx_rx_traffic,test_ft_pfc_sym_multi_vlan
Arlo+,daily,PFC,FtOpSoSysPFCFn003,test_ft_pfc_sym_multi_vlan
Arlo+,daily,PFC,FtOpSoSysPFCFn005,test_ft_pfc_with_shut_noshut
Arlo+,daily,PFC,ft_pfc_sym_10g_lossless,test_ft_pfc_sym
Arlo+,daily,PFC,ft_pfc_sym_10g_lossy,test_ft_pfc_sym
Arlo+,daily,PFC,ft_pfc_asym_10g_multi_vlan_tx_rx_traffic,test_ft_pfc_asym_multi_vlan
Arlo+,daily,CRM,ft_crm_portchannel_fdb_free,test_ft_crm_fdb
Arlo+,daily,CRM,ft_crm_portchannel_fdb_percentage,test_ft_crm_fdb
Arlo+,daily,CRM,ft_crm_portchannel_fdb_used,test_ft_crm_fdb
Arlo+,daily,CRM,ft_crm_acl_group_entry_free,test_ft_crm_acl_entry
Arlo+,daily,CRM,ft_crm_acl_group_entry_percentage,test_ft_crm_acl_entry
Arlo+,daily,CRM,ft_crm_acl_group_entry_used,test_ft_crm_acl_entry
Arlo+,daily,CRM,ft_crm_acl_table_free,test_ft_crm_acl_table
Arlo+,daily,CRM,ft_crm_acl_table_percentage,test_ft_crm_acl_table
Arlo+,daily,CRM,ft_crm_acl_table_used,test_ft_crm_acl_table
Arlo+,daily,CRM,ft_crm_fdb_free,test_ft_crm_fdb
Arlo+,daily,CRM,ft_crm_fdb_percentage,test_ft_crm_fdb
Arlo+,daily,CRM,ft_crm_fdb_used,test_ft_crm_fdb
Arlo+,daily,CRM,ft_crm_ipv4_neighbor_free,test_ft_crm_neighbor_v4
Arlo+,daily,CRM,ft_crm_ipv4_neighbor_percentage,test_ft_crm_neighbor_v4
Arlo+,daily,CRM,ft_crm_ipv4_neighbor_used,test_ft_crm_neighbor_v4
Arlo+,daily,CRM,ft_crm_ipv4_nexthop_used_percentage_free,test_ft_crm_nexthop_v4
Arlo+,daily,CRM,ft_crm_ipv4_route_used_percentage_free,test_ft_crm_route_v4
Arlo+,daily,CRM,ft_crm_ipv6_neighbor_used_percentage_free,test_ft_crm_neighbor_v6
Arlo+,daily,CRM,ft_crm_ipv6_nexthop_used_percentage_free,test_ft_crm_nexthop_v6
Arlo+,daily,CRM,ft_crm_ipv6_route_used_percentage_free,test_ft_crm_route_v6
Arlo+,daily,CRM,ft_crm_nexthop_group_member_used_percentage_free,test_ft_crm_nhop_group_member
Arlo+,daily,CRM,ft_crm_nexthop_group_object_used_percentage_free,test_ft_crm_nhop_group
Arlo+,daily,Ansible,ft_ansible_copy_playbook,test_ft_ansible_playbooks_chk_use_vdi
Arlo+,daily,Ansible,ft_ansible_host_adhoc_cmd,test_ft_ansible_playbooks_chk_use_vdi
Arlo+,daily,Ansible,ft_ansible_host_fact_playbook,test_ft_ansible_playbooks_chk_use_vdi
Arlo+,daily,Ansible,ft_ansible_host_multiple_grp_ping,test_ft_ansible_playbooks_chk_use_vdi
Arlo+,daily,Ansible,ft_ansible_host_ping_playbook,test_ft_ansible_playbooks_chk_use_vdi
Arlo+,daily,Ansible,ft_ansible_host_ping_using_pwd,test_ft_ansible_playbooks_chk_use_vdi
Arlo+,daily,Ansible,ft_ansible_host_ping_using_ssh,test_ft_ansible_playbooks_chk_use_vdi
Arlo+,daily,Ansible,ft_ansible_package_chk_using_cmd,test_ft_ansible_playbooks_chk_use_vdi
Arlo+,daily,Ansible,ft_ansible_playbook_handler,test_ft_ansible_playbooks_chk_use_vdi
Arlo+,daily,Ansible,ft_ansible_playbook_role,test_ft_ansible_playbooks_chk_use_vdi
Arlo+,daily,Ansible,ft_ansible_fact_cmd_line,test_ft_ansible_playbooks_chk_use_vdi
Arlo+,daily,Ansible,ft_ansible_playbook_tags,test_ft_ansible_playbooks_chk_use_vdi
Arlo+,long,L3 Performance enhancements,FtOpSoRtPerfFn031,test_ft_l3_performance_enhancements_v4_bgp_link_flap_convergence_time
Arlo+,long,L3 Performance enhancements,FtOpSoRtPerfFn032,test_ft_l3_performance_enhancements_v4_bgp_session_failover_convergence_time
Arlo+,long,L3 Performance enhancements,FtOpSoRtPerfFn025,test_ft_l3_performance_enhancements_v4_route_intstall_withdraw
Arlo+,long,L3 Performance enhancements,FtOpSoRtPerfFn026,test_ft_l3_performance_enhancements_v4_route_intstall_withdraw
Arlo+,long,L3 Performance enhancements,FtOpSoRtPerfFn042,test_ft_l3_performance_enhancements_v6_route_intstall_withdraw
Arlo+,long,L3 Performance enhancements,FtOpSoRtPerfFn043,test_ft_l3_performance_enhancements_v6_route_intstall_withdraw
Arlo+,daily,VRF-Lite,FtOpSoRoVrfCli001,test_VrfFun001_06
Arlo+,daily,VRF-Lite,FtOpSoRoVrfCli002,test_VrfFun002
Arlo+,daily,VRF-Lite,FtOpSoRoVrfCli003,test_VrfFun003
Arlo+,daily,VRF-Lite,FtOpSoRoVrfCli004,test_VrfFun004
Arlo+,daily,VRF-Lite,FtOpSoRoVrfCli005,test_VrfFun_05_50
Arlo+,daily,VRF-Lite,FtOpSoRoVrfCli006,test_VrfFun001_06
Arlo+,daily,VRF-Lite,FtOpSoRoVrfCli007,test_VrfFun_07_08
Arlo+,daily,VRF-Lite,FtOpSoRoVrfCli008,test_VrfFun_07_08
Arlo+,daily,VRF-Lite,FtOpSoRoVrfFun010,test_VrfFun_10_12_14
Arlo+,daily,VRF-Lite,FtOpSoRoVrfFun012,test_VrfFun_10_12_14
Arlo+,daily,VRF-Lite,FtOpSoRoVrfFun014,test_VrfFun_10_12_14
Arlo+,daily,VRF-Lite,FtOpSoRoVrfFun016,test_VrfFun002
Arlo+,daily,VRF-Lite,FtOpSoRoVrfFun017,test_VrfFun002
Arlo+,daily,VRF-Lite,FtOpSoRoVrfFun018,test_VrfFun002
Arlo+,daily,VRF-Lite,FtOpSoRoVrfFun019,test_VrfFun003
Arlo+,daily,VRF-Lite,FtOpSoRoVrfFun020,test_VrfFun_20_24_25_32_33_44_45
Arlo+,daily,VRF-Lite,FtOpSoRoVrfFun021,test_VrfFun003
Arlo+,daily,VRF-Lite,FtOpSoRoVrfFun022,test_VrfFun004
Arlo+,daily,VRF-Lite,FtOpSoRoVrfFun023,test_VrfFun004
Arlo+,daily,VRF-Lite,FtOpSoRoVrfFun024,test_VrfFun_20_24_25_32_33_44_45
Arlo+,daily,VRF-Lite,FtOpSoRoVrfFun025,test_VrfFun_20_24_25_32_33_44_45
Arlo+,daily,VRF-Lite,FtOpSoRoVrfFun026,test_VrfFun_26_27
Arlo+,daily,VRF-Lite,FtOpSoRoVrfFun027,test_VrfFun_26_27
Arlo+,daily,VRF-Lite,FtOpSoRoVrfFun028,test_VrfFun_28_36_43_47
Arlo+,daily,VRF-Lite,FtOpSoRoVrfFun029,test_VrfFun_29_30_41_42_54_55
Arlo+,daily,VRF-Lite,FtOpSoRoVrfFun030,test_VrfFun_29_30_41_42_54_55
Arlo+,daily,VRF-Lite,FtOpSoRoVrfFun031,test_VrfFun_31_43
Arlo+,daily,VRF-Lite,FtOpSoRoVrfFun032,test_VrfFun_20_24_25_32_33_44_45
Arlo+,daily,VRF-Lite,FtOpSoRoVrfFun033,test_VrfFun_20_24_25_32_33_44_45
Arlo+,daily,VRF-Lite,FtOpSoRoVrfFun034,test_VrfFun_34_46
Arlo+,daily,VRF-Lite,FtOpSoRoVrfFun035,test_VrfFun_35_49
Arlo+,daily,VRF-Lite,FtOpSoRoVrfFun036,test_VrfFun_28_36_43_47
Arlo+,daily,VRF-Lite,FtOpSoRoVrfFun037,test_VrfFun_26_27
Arlo+,daily,VRF-Lite,FtOpSoRoVrfFun038,test_VrfFun_38_39_48
Arlo+,daily,VRF-Lite,FtOpSoRoVrfFun039,test_VrfFun_38_39_48
Arlo+,daily,VRF-Lite,FtOpSoRoVrfFun040,test_VrfFun_28_36_43_47
Arlo+,daily,VRF-Lite,FtOpSoRoVrfFun041,test_VrfFun_29_30_41_42_54_55
Arlo+,daily,VRF-Lite,FtOpSoRoVrfFun042,test_VrfFun_29_30_41_42_54_55
Arlo+,daily,VRF-Lite,FtOpSoRoVrfFun043,test_VrfFun_31_43
Arlo+,daily,VRF-Lite,FtOpSoRoVrfFun044,test_VrfFun_20_24_25_32_33_44_45
Arlo+,daily,VRF-Lite,FtOpSoRoVrfFun045,test_VrfFun_20_24_25_32_33_44_45
Arlo+,daily,VRF-Lite,FtOpSoRoVrfFun046,test_VrfFun_34_46
Arlo+,daily,VRF-Lite,FtOpSoRoVrfFun047,test_VrfFun_28_36_43_47
Arlo+,daily,VRF-Lite,FtOpSoRoVrfFun048,test_VrfFun_38_39_48
Arlo+,daily,VRF-Lite,FtOpSoRoVrfFun049,test_VrfFun_35_49
Arlo+,daily,VRF-Lite,FtOpSoRoVrfFun054,test_VrfFun_29_30_41_42_54_55
Arlo+,daily,VRF-Lite,FtOpSoRoVrfFun055,test_VrfFun_29_30_41_42_54_55
Arlo+,daily,VRF-Lite,FtOpSoRoVrfFun050,test_VrfFun_05_50
Arlo+,long,VRF-Lite,FtOpSoRoVrfFun052,test_vrf_scale
Arlo+,long,VRF-Lite,FtOpSoRoVrfScl056,test_vrf_bgp
Arlo+,long,VRF-Lite,FtOpSoRoVrfScl057,test_vrf_route_leak
Arlo+,long,VRF-Lite,FtOpSoRoVrfScl058,test_vrf_reload
Arlo+,daily,L2 Forwarding enhancements,FtOpSoSwL2FwdCli001,test_l2fwd_vlan_range
Arlo+,daily,L2 Forwarding enhancements,FtOpSoSwL2FwdCli002,test_mac_aging
Arlo+,daily,L2 Forwarding enhancements,FtOpSoSwL2FwdCli003,test_static_mac
Arlo+,daily,L2 Forwarding enhancements,FtOpSoSwL2FwdCli004,test_mac_aging
Arlo+,daily,L2 Forwarding enhancements,FtOpSoSwL2FwdFn001,test_l2fwd_vlan_range
Arlo+,daily,L2 Forwarding enhancements,FtOpSoSwL2FwdFn002,test_l2fwd_vlan_range
Arlo+,daily,L2 Forwarding enhancements,FtOpSoSwL2FwdFn003,test_static_mac
Arlo+,daily,L2 Forwarding enhancements,FtOpSoSwL2FwdFn004,test_del_reconfig_vlan
Arlo+,daily,L2 Forwarding enhancements,FtOpSoSwL2FwdFn005,test_static_mac
Arlo+,daily,L2 Forwarding enhancements,FtOpSoSwL2FwdFn006,test_modify_port_mode
Arlo+,daily,L2 Forwarding enhancements,FtOpSoSwL2FwdFn007,test_mac_aging
Arlo+,daily,L2 Forwarding enhancements,FtOpSoSwL2FwdFn008,test_mac_aging
Arlo+,daily,L2 Forwarding enhancements,FtOpSoSwL2FwdFn009,test_mac_aging
Arlo+,daily,L2 Forwarding enhancements,FtOpSoSwL2FwdFn010,test_l2fwd_vlan_range
Arlo+,daily,L2 Forwarding enhancements,FtOpSoSwL2FwdFn011,test_l2fwd_vlan_range
Arlo+,daily,L2 Forwarding enhancements,FtOpSoSwL2FwdFn012,test_l2fwd_vlan_range
Arlo+,daily,L2 Forwarding enhancements,FtOpSoSwL2FwdFn013,test_stp_mac_move
Arlo+,daily,L2 Forwarding enhancements,FtOpSoSwL2FwdFn014,test_stp_mac_move
Arlo+,daily,L2 Forwarding enhancements,FtOpSoSwL2FwdFn015,test_static_mac
